id,supCode,supName,opeBal,cloBal,supActive,supLogo,supPhone,supEmail,supWeb,supBillFrom,supShipFrom,supAcNum,supCrLim,supPytTerm,supBank,supLegName,supTRN,supTP,supTOJ,supCP,supCPN,comment
32110010,32110010,Mickcara and Co LLC,7771,0,Yes,,04 706 2222,alfhealth.procurement@alfuttaim.com,www.Mickcara.com,"PO Box: 152, Mezzanine Floor, Al Futtaim Health Corporate Office, Health Hub Clinic,","PO Box: 152, Mezzanine Floor, Al Futtaim Health Corporate Office, Health Hub Clinic,",237844277,20000,60,United Overseas Bank (UOB),Al LLC,,Pharmacy,,Pathiya Parambath Aboobaker,,
32110011,32110011,Skin for Life LLC,68145,0,Yes,,04-3422288,praveen@alhilalms.ae,www.Skin.com,Jumeirah near Mercato Shopping Mall Dubai United Arab Emirates,Jumeirah near Mercato Shopping Mall Dubai United Arab Emirates,28842555,80000,90,Banco Sabadell,Al LLC,,Pharmacy,,Noufal (Accounts) Extension 1,,
32110012,32110012,SPA and Co LLC,0,9499,Yes,,02-6669665,hakeem@emirates.net.ae,www.SPA.com,Abu Dhabi - Khalidia Abu Dhabi United Arab Emirates,Abu Dhabi - Khalidia Abu Dhabi United Arab Emirates,67842555,3000,90,Erste Group Bank AG,Al LLC,1.00E+14,Clinic,,Lilia,,
32110013,32110013,Ultrasonic and Co LLC,0,0,Yes,,06-7660292,,www.Ultrasonic.com,Souk Jameya King Faisal Street Opposite Al Madina Police Station U,Souk Jameya King Faisal Street Opposite Al Madina Police Station U,9242518,0,120,Industrial Bank of Korea,Al LLC,1.00E+14,Clinic,,Marwan Shehadeh,,
32110014,32110014,VCA and Co LLC,6463,1290,Yes,,02-6213666,alhendawymedicalcenter@hotma,www.VCA.com,Opposite Madina Zayed Shop ADCB Bank Building Al Murror Road Abu,Opposite Madina Zayed Shop ADCB Bank Building Al Murror Road Abu,24642555,10000,90,State Street Corp,Al LLC,1.00E+14,Derma/Dental/PS/Gynecology,,Dr. Ahmed Ghanem,,
32110391,32110391,Across It,0,227500,No,,04-44652491,ahmed@acrossit.com.qa/redeye@,www.Across.com,Doha Qatar,Doha Qatar,39142555,0,30,Groupe BPCE,Across LLC,1.01E+14,Derma/Dental,,Dr. Mohammed Hattab,,
32110446,32110446,Abu Dhabi Obaji Center (Don't use),0,0,No,,02-4457100,pasteur@emirates.net.ae,www.Abu.com,Al Karama Street Abu Dhabi United Arab Emirates,Al Karama Street Abu Dhabi United Arab Emirates,44642555,0,30,Mizuho Financial Group,Abu LLC,1.00E+14,Clinic,,Mohammed Saeed Abdulla Helal Alkuwaiti,,
32110641,32110641,Academie Esthetique,0,0,No,,04-4370566,info@academie-esthetique.com,www.Academie.com,Building 72 Suite 102 Pharmacy Building Dubai Health Care City Dub,Building 72 Suite 102 Pharmacy Building Dubai Health Care City Dub,64142555,0,0,Societe Generale,Academie LLC,,Pharmacy,,Ahmed Abu Sharia,,
32110707,32110707,ADAM'S MEDICAL CENTER,0,0,Yes,,02-6767366,radwan77uae@yahoo.com,www.ADAM'S.com,Electra St. Al Otaiba Abu Dhabi United Arab Emirates,Electra St. Al Otaiba Abu Dhabi United Arab Emirates,70742555,0,30,Postal Savings Bank of China,ADAM'S LLC,1.00E+14,Derma/Dental/PS,,Dr. Khalid Al Awadi,,
32110733,32110733,Abu Sharia Pharmacy LLC,0,27324,Yes,,02-6670181,,www.Abu.com,Khalidya Mall Abu Dhabi United Arab Emirates,Khalidya Mall Abu Dhabi United Arab Emirates,73342555,20,30,Sumitomo Mitsui Financial Group,Abu LLC,,Beauty Center,,Asaivinoth,,
32110774,32110774,515 Med Spa-(Yara Spa),0,-1795,Yes,,04-3488610,,www.515.com,Jumeirah Beach Road Dubai United Arab Emirates,Jumeirah Beach Road Dubai United Arab Emirates,77442555,0,0,JPMorgan Chase & Co,515 LLC,,,,,,
32110807,32110807,Aesthetica Clinic LLC,17758,-12715,Yes,,04-2822209,aestheticaworld@lycos.com,www.Aesthetica.com,Al Hamrain Center Dubai United Arab Emirates,Al Hamrain Center Dubai United Arab Emirates,80742555,100000,90,Goldman Sachs Group,Aesthetica LLC,,GENERAL TRADING LLC,,Naveen Raj,,
32110902,32110902,Advanced Specialists Medical Center,724,0,Yes,,04-2524666,,www.Advanced.com,Al Mizhar 1 Arabian Shopping Mall Dubai United Arab Emirates,Al Mizhar 1 Arabian Shopping Mall Dubai United Arab Emirates,90242555,10000,90,Royal Bank of Scotland Group,Advanced LLC,1.00E+14,Derma/Dental,,Yasser Geissah,,
32111147,32111147,Acacia Medical Centre,8925,1065,Yes,,04 344 5515,,www.Acacia.com,Room 111 Al Shafar Building Al Bidah Burdubai,Room 111 Al Shafar Building Al Bidah Burdubai,114742555,30000,90,Barclays PLC,Acacia LLC,,TBF,,Arwa Ali Mohammad,050-5368568,
32111206,32111206,Advanced Center For Day Care Surgery,19754,-2476,Yes,,02-6227700,ahmed@acds.ae,www.Advanced.com,Jasmine Tower Building,Jasmine Tower Building,120642555,100000,90,Norinchukin Bank,Advanced LLC,,Clinic,,Magdy Al Faramwy,050 762 1052,
32111270,32111270,Aestheticon DMCC,15487,0,Yes,,0-44313084,,www.Aestheticon.com,"Unit 2202, Cluster Y3, Swiss Tower","Unit 2202, Cluster Y3, Swiss Tower",127042555,20000,60,Agricultural Development Bank of China,Aestheticon LLC,1.00E+14,Derma,,Dr. Farida Rahman Al Mulla,050-7557755,
32111989,32111989,About You Polyclinic,898729,7140,Yes,,04-3588865,,www.About.com,Al Hudaiba Awards Building,Al Hudaiba Awards Building,198943412,0,0,Japan Post Bank,About LLC,,Skincare,,Latifa,506255592,
32111998,32111998,Acacia Medical Center,36145,20270,Yes,,02-4445513,finance@acaciamedicalcenter.com,www.Acacia.com,"Villa No 15, Al Karamah Street","Villa No 15, Al Karamah Street",199843440,50000,90,Banco Santander,Acacia LLC,In Process,Derma/PS,,Dr Amr Hendam,,
32112000,32112000,Abeer Al Yaseen (DONT USE),0,40,No,,04 437 0670,manager@abeerbeautyspa.com,www.Abeer.com,Vision Tower 2-Dubai,Vision Tower 2-Dubai,200042752,0,30,China Development Bank,Abeer LLC,1.00E+14,Dental,,Hala Toutinji,,
32112100,32112100,Adan Hospital,0,0,Yes,,03-99391427,daliasadeq@yahoo.com,www.Adan.com,Adan,Adan,210043843,0,30,Royal Bank of Canada,Adan LLC,,,,Ruth Lisa Koprowski (Principa,050-6519069,
32112252,32112252,Aamer Home Health Care Center LLC,0,12330,Yes,,03 737 0057,info@aamerhealth.com,www.Aamer.com,"Al Daheri Bldg - No 173, Al Ain , Abu Dhabi","Al Daheri Bldg - No 173, Al Ain , Abu Dhabi",225244012,0,0,HSBC Holdings,Aamer LLC,1.00E+14,Beauty Center,,Rafat Alsafadi,,
32112319,32112319,Advance Cure Diagnostic Centre LLC,0,0,Yes,,02 410 0982,mcarla@cure.ae,www.Advance.com,"Villa 313, Al Bateen St., Abu Dhabi, PO Box: 61887","Villa 313, Al Bateen St., Abu Dhabi, PO Box: 61887",231943825,20000,60,Toronto-Dominion Bank,Advance LLC,,TBF,,Ahmed Mahmoud (General Manage,-55297948,
32112323,32112323,Aesthetic Today L.L.C.,0,0,Yes,,04 458 1100,ikhayat@laesteticaclinic.com,www.Aesthetic.com,"10F-B-06, 10th Floor, Tower B, Empire Heights, Downtown","10F-B-06, 10th Floor, Tower B, Empire Heights, Downtown",232344220,20000,60,Shanghai Pudong Development Bank,Aesthetic LLC,1.00E+14,Derma/PS,,Dr. Khaled Othman,,
32112379,32112379,Advanced International Business Group,0,0,Yes,,+968 245683 556,krutika@aibgoman.com,www.Advanced.com,"PO Box: 133, PC: 118, Qurm","PO Box: 133, PC: 118, Qurm",237943795,0,0,UniCredit S.p.A.,Advanced LLC,,Hospital,,Dalia Sadiq,,
32112421,32112421,4S Dental Laboratory DMCC,0,0,Yes,,04 456 2950,dentallab4s@outlook.com,www.4S.com,"PO Box: 336630, 1403, HDS Business Centre, Cluster M, Jumeirah Lake Tower","PO Box: 336630, 1403, HDS Business Centre, Cluster M, Jumeirah Lake Tower",242144179,20000,90,Mitsubishi UFJ Financial Group,4S LLC,4.23E+12,Regular,Supply,Shah Noor,050-4781165,
32112428,32112428,2002 Ladies Saloon,0,7655,Yes,,06-5657268,omarm@usa.com,www.2002.com,Fire Station R/A  Infront of power house   Al Zahra St.,Fire Station R/A  Infront of power house   Al Zahra St.,4342518,0,90,Raiffeisen Schweiz,Al LLC,,Pharmacy,,Amal Mohammad Rashad Abualrub,,
