id,itmCode,itmName,opeQty,cloQty,itmActive,itmLogo,uPrice,brand,supplier,barCode,uom,min,max,roQty,discount,taxable,input,output,bisUnit,itmType,expiry,ref,comment
10009001,10009001,G5 Slimming Applicators,5,0,Yes,images/itmLogo/File_O02UScE.jpg,2000,G5 ,G5  and Co LLC,110-51533-50019,PCs,1,5,2,25,Yes,0,5,Equipment,Applicators,0,"Body Sliming: Hospitals, skin care centers",
10010000,10010000,Hiemt A,2,0,Yes,images/itmLogo/File_WfKdG59.jpg,61000,Hiemt,Hiemt and Co LLC,110-51533-50021,PCs,1,5,2,20,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10011000,10011000,Hydra Fresh,10,0,Yes,images/itmLogo/File_vxIpGPi.jpg,53000,Hydra,Hydra and Co LLC,110-51533-50022,PCs,3,15,5,35,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10012000,10012000,Hydra-new,10,0,Yes,images/itmLogo/File_ZyC6gvS.jpg,12000,Hydra,Hydra and Co LLC,110-51533-50023,PCs,15,25,10,15,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10013000,10013000,Jumia,10,0,Yes,images/itmLogo/File_b3d0rN0.jpg,18000,Jumia,Jumia and Co LLC,110-51533-50024,PCs,3,15,5,35,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10014000,10014000,Konmision,12,0,Yes,images/itmLogo/File_YZmttpx.jpg,28000,Konmision,Konmision and Co LLC,110-51533-50025,PCs,7,9,7,13,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10015000,10015000,Mickcara,2,0,Yes,images/itmLogo/File_GNbF34m.jpg,31000,Mickcara,Mickcara and Co LLC,110-51533-50026,PCs,2,10,5,20,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10016000,10016000,My Ultrasonic,1,0,Yes,images/itmLogo/File_PKsvu7P.jpg,7000,Ultrasonic,Ultrasonic and Co LLC,110-51533-50027,PCs,15,40,10,50,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10017000,10017000,SPA Slim,5,0,Yes,images/itmLogo/File_I65npNe.jpg,6000,SPA,SPA and Co LLC,110-51533-50028,PCs,2,7,3,20,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10018000,10018000,SVTA Radio,5,0,Yes,images/itmLogo/File_1Vb9hCL.jpg,18000,SPA,SPA and Co LLC,110-51533-50037,PCs,10,30,5,40,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10018001,10018001,SVTA Radio Hand Pice 1,2,0,Yes,images/itmLogo/File_FoyG2wY.jpg,1200,SPA,SPA and Co LLC,110-51533-50029,PCs,1,5,2,25,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10018002,10018002,SVTA Radio Hand Pice 2,2,0,Yes,images/itmLogo/File_o9A8bCk.jpg,1500,SPA,SPA and Co LLC,110-51533-50030,PCs,10,30,5,40,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10018003,10018003,SVTA Radio Hand Pice 3,10,0,Yes,images/itmLogo/File_Rcj3XsF.jpg,1400,SPA,SPA and Co LLC,110-51533-50031,PCs,1,5,2,20,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10018004,10018004,SVTA Radio Hand Pice 4,10,0,Yes,images/itmLogo/File_yBiJulJ.jpg,1300,SPA,SPA and Co LLC,110-51533-50032,PCs,3,15,5,35,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10018005,10018005,SVTA Radio Hand Pice 5,10,0,Yes,images/itmLogo/File_i4mRxP3.jpg,1600,SPA,SPA and Co LLC,110-51533-50033,PCs,2,10,5,20,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10018006,10018006,SVTA Radio Hand Pice 6,12,0,Yes,images/itmLogo/File_WKNIUxH.jpg,1700,SPA,SPA and Co LLC,110-51533-50034,PCs,15,40,10,50,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10018007,10018007,SVTA Radio Hand Pice 7,2,0,Yes,images/itmLogo/File_4leweBu.jpg,1800,SPA,SPA and Co LLC,110-51533-50035,PCs,2,7,3,20,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10018008,10018008,SVTA Radio Hand Pice 8,1,0,Yes,images/itmLogo/File_zXf3SfE.jpg,1000,SPA,SPA and Co LLC,110-51533-50036,PCs,1,5,2,25,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
10019000,10019000,VCA Laser,2,0,Yes,images/itmLogo/File_OnMQDwR.jpg,28000,VCA,VCA and Co LLC,110-51533-50038,PCs,1,5,2,20,Yes,0,5,Equipment,Machine,0,"Body Sliming: Hospitals, skin care centers",
10019001,10019001,VCA Leaser Hand Piece,2,0,Yes,images/itmLogo/File_J80iKQO.jpg,31000,VCA,VCA and Co LLC,110-51533-50039,PCs,3,15,5,35,Yes,0,5,Equipment,Hand Piece,0,"Body Sliming: Hospitals, skin care centers",
