id,soRef,soDat,cusCode,cusName,soTBD,soTAD,soTax,soTAT,shipTo,soComm,opnClo,spCName,spCode,qotRef,qotDat,traDate,action
2300012,2300012,2/7/2023,22310200.0,German Clinic FZ LLC,42700.0,38000.0,1900.0,39900.0,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Crio Lipo and DeodLeaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894.0,2300016.0,1/26/2023,2023-5-28 15-12-57, 
2300013,2300013,2/4/2023,22310093.0,Women's Medical Center (Dr. Ameena),4060.0,3600.0,180.0,3780.0,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,VTA Radio Hand Pice 4 and 5 Women's Medical Center (Dr. Ameena),Open,Jaime  Endaya,417.0,2300006.0,1/23/2023,2023-5-28 15-13-2, 
2300014,2300014,2/7/2023,22310269.0,Flora Beauty Spa,49000.0,43000.0,2150.0,45150.0,Umm Ramool Rashidiya Dubai United Arab Emirates,Caviation Laser to Flora Beauty Spa,Open,Joyson Joseph Kalaparambath,1098.0,2300021.0,1/26/2023,2023-5-28 15-13-8, 
2300015,2300015,1/31/2023,22310131.0,Ali Bin Ali Medical,38500.0,33800.0,1690.0,35490.0,Doha Qatar,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Sanjay Kumar Mandal,329.0,2300010.0,1/19/2023,2023-5-28 15-13-13, 
2300016,2300016,1/17/2023,22310131.0,Ali Bin Ali Medical,32760.0,31470.0,1574.0,33044.0,Doha Qatar,"SVTA Radio and Hand Pice 1, 2, 3 , 4, 5 to Ali Bin Ali Medical",Open,Jalil Khadim Hussain,1008.0,2300011.0,1/5/2023,2023-5-28 15-13-18, 
2300017,2300017,2/7/2023,22310439.0,NAS Medical,119000.0,98000.0,4900.0,102900.0,Dubai United Arab Emirates,Hydra Fresh,Open,Ariel Abapo Naciogoyo,370.0,2300024.0,1/26/2023,2023-5-28 15-13-24, 
2300018,2300018,2/11/2023,22310133.0,Al Samnan Clinic,42000.0,38520.0,1926.0,40446.0,Al Wasit Street Samnan Sharjah United Arab Emirates,Hydra-new and Jumia to Al Samnan Clinic,Open,Franco Viola Parota,366.0,2300013.0,1/30/2023,2023-5-28 15-13-29, 
2300019,2300019,2/17/2023,22310055.0,Al Noor Pharmacy,66080.0,56000.0,2800.0,58800.0,Mina,Portable Diode Laser Hair Removal Equipment to Al Noor Pharmacy,Open,Franco Viola Parota,366.0,2300027.0,2/5/2023,2023-5-28 15-13-35, 
2300020,2300020,2/7/2023,22310207.0,Delta Pharmacy,79200.0,72000.0,3600.0,75600.0,Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Delta Pharmacy,Open,Raj Kumar Giri,981.0,2300018.0,1/26/2023,2023-5-28 15-13-40, 
2300021,2300021,3/11/2023,22310093.0,Women's Medical Center (Dr. Ameena),7700.0,6600.0,330.0,6930.0,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SVTA Radio Hand Pice 3 & 4 to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370.0,2300030.0,2/27/2023,2023-5-28 15-13-46, 
2300022,2300022,2/11/2023,22310182.0,Spaces Spa Center,40915.0,36000.0,1800.0,37800.0,Oasis Center Dubai United Arab Emirates,Microneedling RF & HandPiece to Spaces Spa Center,Open,Jinu Ambadan Jose,709.0,2300014.0,1/30/2023,2023-5-28 15-13-52, 
2300023,2300023,2/7/2023,22310210.0,Al Burg Clinic,7000.0,5000.0,250.0,5250.0,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,SVTA Radio Hand Pice 5 & 6 to Al Burg Clinic,Open,Michael Cadiang Manza,994.0,2300019.0,1/26/2023,2023-5-28 15-14-0, 
2300024,2300024,3/10/2023,22310133.0,Al Samnan Clinic,19600.0,17000.0,850.0,17850.0,Al Wasit Street Samnan Sharjah United Arab Emirates,My Ultrasonic to Al Samnan Clinic,Open,Allen Madrid Gomez,598.0,2300035.0,2/26/2023,2023-5-28 15-14-11, 
2300025,2300025,1/27/2023,22310269.0,Flora Beauty Spa,89600.0,84880.0,4244.0,89124.0,Umm Ramool Rashidiya Dubai United Arab Emirates,SVTA Radio & VCA Laser to Flora Beauty Spa,Open,Franco Viola Parota,366.0,2300022.0,1/15/2023,2023-5-28 15-14-16, 
2300026,2300026,3/11/2023,22310055.0,Al Noor Pharmacy,5460.0,4800.0,240.0,5040.0,Mina,SVTA Radio Hand Pice 1 to Al Noor Pharmacy,Open,Allen Joseph Anora,365.0,2300028.0,2/27/2023,2023-5-28 15-14-23, 
2300027,2300027,2/10/2023,22310102.0,Health &amp; Aesthetic Medical Center,26880.0,23400.0,1170.0,24570.0,Buheira Corniche - Sharjah United Arab Emirates,SVTA Radio and Hand Piece to Health &amp; Aesthetic Medical Center,Open,Jaime  Endaya,417.0,2300008.0,1/29/2023,2023-5-28 15-14-31, 
2300028,2300028,2/26/2023,22310200.0,German Clinic FZ LLC,118400.0,105000.0,5250.0,110250.0,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,VCA Laser to VCA Leaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894.0,2300038.0,2/14/2023,2023-5-28 15-14-39, 
2300029,2300029,2/26/2023,22310207.0,Delta Pharmacy,81900.0,78000.0,3900.0,81900.0,Sharjah United Arab Emirates,RF Fractional CO2 Laser to Delta Pharmacy,Open,Raj Kumar Giri,981.0,2300039.0,2/14/2023,2023-5-28 15-14-48, 
2300030,2300030,1/27/2023,22310280.0,Gulf Beauty Salon - Abu Dhabi,145600.0,136000.0,6800.0,142800.0,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,G5 Slimming & Hiemt A to Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138.0,2300023.0,1/15/2023,2023-5-28 15-14-54, 
2300031,2300031,3/10/2023,22310131.0,Ali Bin Ali Medical,4200.0,3850.0,193.0,4043.0,Doha Qatar,DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Lucero Jackson Riconose,418.0,2300034.0,2/26/2023,2023-5-28 15-15-7, 
2300032,2300032,2/18/2023,22310029.0,Al Jameya Pharmacy,19600.0,15900.0,795.0,16695.0,Union Cooperative Society  Ghusais,DeodLeaser & DeodLeaser Hand Piece to Al Jameya Pharmacy,Open,Allen Joseph Anora,365.0,2300025.0,2/6/2023,2023-5-28 15-15-13, 
2300033,2300033,2/7/2023,22310252.0,Faith Pharmacy,4200.0,3900.0,195.0,4095.0,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,DeodLeaser Hand Piece to Faith Pharmacy,Open,Jalil Khadim Hussain,1008.0,2300020.0,1/26/2023,2023-5-28 15-15-21, 
2300034,2300034,2/23/2023,22310269.0,Flora Beauty Spa,17500.0,13800.0,690.0,14490.0,Umm Ramool Rashidiya Dubai United Arab Emirates,DeodLeaser & DeodLeaser Hand Piece to Flora Beauty Spa,Open,Joyson Joseph Kalaparambath,1098.0,2300043.0,2/11/2023,2023-5-28 15-15-26, 
2300035,2300035,2/27/2023,22310097.0,Sahar Pharmacy,63000.0,55000.0,2750.0,57750.0,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Mickcara & My Ultrasonic to Sahar Pharmacy,Open,Tampos Antonio Magalona,415.0,2300031.0,2/15/2023,2023-5-28 15-15-32, 
2300036,2300036,3/24/2023,22310055.0,Al Noor Pharmacy,19600.0,19080.0,954.0,20034.0,Mina,Mina,Open,Tampos Antonio Magalona,415.0,2300048.0,3/12/2023,2023-5-28 15-15-39, 
2300037,2300037,3/10/2023,22310102.0,Health &amp; Aesthetic Medical Center,119200.0,105500.0,5275.0,110775.0,Buheira Corniche - Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Health &amp; Aesthetic Medical Center,Open,Sanjay Kumar Mandal,329.0,2300033.0,2/26/2023,2023-5-28 15-15-43, 
2300038,2300038,3/17/2023,22310093.0,Women's Medical Center (Dr. Ameena),171500.0,168300.0,8415.0,176715.0,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Open,Franco Viola Parota,366.0,2300049.0,3/5/2023,2023-5-28 15-15-50, 
2300039,2300039,3/6/2023,22310029.0,Al Jameya Pharmacy,64400.0,59000.0,2950.0,61950.0,Union Cooperative Society  Ghusais,Jumia and Konmision to Al Jameya Pharmacy,Open,Lucero Jackson Riconose,418.0,2300026.0,2/22/2023,2023-5-28 15-15-55, 
2300040,2300040,3/10/2023,22310097.0,Sahar Pharmacy,79200.0,72000.0,3600.0,75600.0,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Sahar Pharmacy,Open,Tampos Antonio Magalona,415.0,2300032.0,2/26/2023,2023-5-28 15-16-2, 
2300041,2300041,4/5/2023,22310131.0,Ali Bin Ali Medical,12180.0,11720.0,586.0,12306.0,Doha Qatar,Doha Qatar,Open,Jaime  Endaya,417.0,2300052.0,3/24/2023,2023-5-28 15-16-10, 
2300042,2300042,4/11/2023,22310182.0,Spaces Spa Center,30240.0,26760.0,1338.0,28098.0,Oasis Center Dubai United Arab Emirates,Oasis Center Dubai United Arab Emirates,Open,Jaime  Endaya,417.0,2300054.0,3/30/2023,2023-5-28 15-16-16, 
2300043,2300043,3/10/2023,22310182.0,Spaces Spa Center,190400.0,166000.0,8300.0,174300.0,Oasis Center Dubai United Arab Emirates,Hydra Fresh & Hydra-new & Jumia to Spaces Spa Center,Open,Jinu Ambadan Jose,709.0,2300036.0,2/26/2023,2023-5-28 15-16-21, 
2300044,2300044,3/9/2023,22310210.0,Al Burg Clinic,4060.0,3720.0,186.0,3906.0,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,SVTA Radio Hand Pice 4 & 5,Open,Michael Cadiang Manza,994.0,2300041.0,2/25/2023,2023-5-28 15-16-27, 
2300045,2300045,3/10/2023,22310200.0,German Clinic FZ LLC,66500.0,57050.0,2853.0,59903.0,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Caviation Laser & Crio Lipo to German Clinic FZ LLC,Open,Dev Kumar Rai,894.0,2300037.0,2/26/2023,2023-5-28 15-16-32, 
2300046,2300046,3/22/2023,22310252.0,Faith Pharmacy,18200.0,15560.0,778.0,16338.0,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,Open,Allen Madrid Gomez,598.0,2300058.0,3/10/2023,2023-5-28 15-16-37, 
2300047,2300047,3/9/2023,22310210.0,Al Burg Clinic,45640.0,40000.0,2000.0,42000.0,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Microneedling RF & Microneedling RF - HandPiece to Al Burg Clinic,Open,Michael Cadiang Manza,994.0,2300040.0,2/25/2023,2023-5-28 15-16-42, 
2300048,2300048,4/12/2023,22310280.0,Gulf Beauty Salon - Abu Dhabi,36190.0,31275.0,1564.0,32839.0,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,Open,Jinu Ambadan Jose,709.0,2300060.0,3/31/2023,2023-5-28 15-17-12, 
2300049,2300049,4/12/2023,22310269.0,Flora Beauty Spa,42000.0,38520.0,1926.0,40446.0,Umm Ramool Rashidiya Dubai United Arab Emirates,Umm Ramool Rashidiya Dubai United Arab Emirates,Open,Franco Viola Parota,366.0,2300059.0,3/31/2023,2023-5-28 15-17-17, 
2300050,2300050,3/25/2023,22310286.0,Hamad Pharmacy,5880.0,5220.0,261.0,5481.0,Al Wasit Street Al Shaba Sharjah United Arab Emirates,Al Wasit Street Al Shaba Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370.0,2300061.0,3/13/2023,2023-5-28 15-17-21, 
2300051,2300051,4/8/2023,22310298.0,HANI Pharmacy Abu Dhabi,40600.0,35900.0,1795.0,37695.0,Hamdah Street Near Standard Chartered Bank Abu Dhabi,Hamdah Street Near Standard Chartered Bank Abu Dhabi,Open,Dev Kumar Rai,894.0,2300062.0,3/27/2023,2023-5-28 15-17-26, 
2300052,2300052,4/8/2023,22310359.0,Life Pharmacy LLC,79200.0,72000.0,3600.0,75600.0,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,Open,Raj Kumar Giri,981.0,2300064.0,3/27/2023,2023-5-28 15-17-32, 
2300053,2300053,2/26/2023,22310280.0,Gulf Beauty Salon - Abu Dhabi,35980.0,27980.0,1399.0,29379.0,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,SVTA Radio and hand piece to  Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138.0,2300045.0,2/14/2023,2023-5-28 15-17-36, 
2300054,2300054,2/23/2023,22310252.0,Faith Pharmacy,6440.0,5050.0,253.0,5303.0,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,SVTA Radio Hand Pice 7 & 8 to Faith Pharmacy,Open,Jalil Khadim Hussain,1008.0,2300042.0,2/11/2023,2023-5-28 15-17-41, 
2300055,2300055,3/17/2023,22310097.0,Sahar Pharmacy,60200.0,58445.0,2922.0,61367.0,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370.0,2300050.0,3/5/2023,2023-5-28 15-17-46, 
2300056,2300056,3/18/2023,22310102.0,Health & Aesthetic Medical Center,40915.0,37800.0,1890.0,39690.0,Buheira Corniche - Sharjah United Arab Emirates,Buheira Corniche - Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370.0,2300051.0,3/6/2023,2023-5-28 15-17-52, 
2300057,2300057,2/26/2023,22310280.0,Gulf Beauty Salon - Abu Dhabi,18200.0,15000.0,750.0,15750.0,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,My Ultrasonic & SPA Slim to Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138.0,2300044.0,2/14/2023,2023-5-28 15-17-57, 
2300058,2300058,4/8/2023,22310747.0,Marjan Beauty Saloon JLT,109200.0,88200.0,4410.0,92610.0,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,Open,Ariel Abapo Naciogoyo,370.0,2300070.0,3/27/2023,2023-5-28 15-18-1, 
2300059,2300059,4/19/2023,22310776.0,Mafraq Hospital,21700.0,18000.0,900.0,18900.0,P.O. 2951 Abu Dhabi - United Arab Emirates,P.O. 2951 Abu Dhabi - United Arab Emirates,Open,Allen Joseph Anora,365.0,2300071.0,4/7/2023,2023-5-28 15-18-6, 
2300060,2300060,4/5/2023,22310133.0,Al Samnan Clinic,57120.0,53390.0,2670.0,56060.0,Al Wasit Street Samnan Sharjah United Arab Emirates,Al Wasit Street Samnan Sharjah United Arab Emirates,Open,Allen Joseph Anora,365.0,2300053.0,3/24/2023,2023-5-28 15-18-10, 
2300061,2300061,4/11/2023,22310200.0,German Clinic FZ LLC,22400.0,20100.0,1005.0,21105.0,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Open,Lucero Jackson Riconose,418.0,2300055.0,3/30/2023,2023-5-28 15-18-15, 
2300062,2300062,4/18/2023,22310802.0,Elite Medical Centre,59780.0,49700.0,2485.0,52185.0,Jumeirah 1 Beach Road Dubai United Arab Emirates,Jumeirah 1 Beach Road Dubai United Arab Emirates,Open,Franco Viola Parota,366.0,2300073.0,4/6/2023,2023-5-28 15-18-20, 
2300063,2300063,3/18/2023,22310210.0,Al Burg Clinic,34580.0,33290.0,1665.0,34955.0,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Open,Jalil Khadim Hussain,1008.0,2300057.0,3/6/2023,2023-5-28 15-18-26, 
2300064,2300064,5/10/2023,22310827.0,Al Soor Pharmacy LLC,13440.0,12680.0,634.0,13314.0,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,Open,Ariel Abapo Naciogoyo,370.0,2300075.0,4/28/2023,2023-5-28 15-18-30, 
2300065,2300065,4/1/2023,22310207.0,Delta Pharmacy,42700.0,38000.0,1900.0,39900.0,Sharjah United Arab Emirates,Sharjah United Arab Emirates,Open,Sanjay Kumar Mandal,329.0,2300056.0,3/20/2023,2023-5-28 15-18-35, 
2300066,2300066,3/15/2023,22310029.0,Al Jameya Pharmacy,95305.0,89290.0,4465.0,93755.0,Union Cooperative Society  Ghusais,Union Cooperative Society  Ghusais,Open,Allen Joseph Anora,365.0,2300047.0,3/3/2023,2023-5-28 15-18-40, 
2300067,2300067,4/8/2023,22310341.0,Kaya Trading,5600.0,3400.0,170.0,3570.0,"LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.","LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.",Open,Dev Kumar Rai,894.0,2300063.0,3/27/2023,2023-5-28 15-18-45, 
2300068,2300068,5/9/2023,22311027.0,Visage Pharmacy,119200.0,105500.0,5275.0,110775.0,Corniche Road Abudhabi,Corniche Road Abudhabi,Open,Sanjay Kumar Mandal,329.0,2300079.0,4/27/2023,2023-5-28 15-18-50, 
2300069,2300069,5/9/2023,22311066.0,American European Medical Center,9800.0,7200.0,360.0,7560.0,American European Medical Center-Abudhabi,American European Medical Center-Abudhabi,Open,Allen Madrid Gomez,598.0,2300081.0,4/27/2023,2023-5-28 15-18-55, 
2300070,2300070,4/8/2023,22310436.0,NADA Pharmacy,6860.0,4860.0,243.0,5103.0,Sharjah United Arab Emirates,Sharjah United Arab Emirates,Open,Michael Cadiang Manza,994.0,2300065.0,3/27/2023,2023-5-28 15-19-0, 
2300071,2300071,4/8/2023,22310439.0,NAS Medical,2100.0,1800.0,90.0,1890.0,Dubai United Arab Emirates,Dubai United Arab Emirates,Open,Jalil Khadim Hussain,1008.0,2300066.0,3/27/2023,2023-5-28 15-19-6, 
2300072,2300072,4/27/2023,22311242.0,ICON CLINIC LLC,118400.0,105000.0,5250.0,110250.0,Dr. Abeer Sawwaf Abudhabi,Dr. Abeer Sawwaf Abudhabi,Open,Dev Kumar Rai,894.0,2300084.0,4/15/2023,2023-5-28 15-19-15, 
2300073,2300073,5/5/2023,22310789.0,Al Sharq Hospital,64400.0,59000.0,2950.0,61950.0,Fujairah United Arab Emirates,Fujairah United Arab Emirates,Open,Lucero Jackson Riconose,418.0,2300072.0,4/23/2023,2023-5-28 15-19-21, 
2300074,2300074,3/28/2023,22310646.0,American Hospital Dubai LLC,103600.0,98880.0,4944.0,103824.0,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,Open,Franco Viola Parota,366.0,2300068.0,3/16/2023,2023-5-28 15-19-34, 
2300075,2300075,5/8/2023,22311809.0,Carmen Beauty Salon,8120.0,7780.0,389.0,8169.0,"khalidiya street,","khalidiya street,",Open,Michael Cadiang Manza,994.0,2300087.0,4/26/2023,2023-5-28 15-19-39, 
2300076,2300076,4/8/2023,22310580.0,Al Qaser Medical Center,24500.0,18500.0,925.0,19425.0,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,Open,Joyson Joseph Kalaparambath,1098.0,2300067.0,3/27/2023,2023-5-28 15-19-47, 
2300077,2300077,4/24/2023,22311863.0,Beverly Hills Speciality Center LLC,19600.0,15900.0,795.0,16695.0,"Al walid Khalid Bin Khadim Bldg,","Al walid Khalid Bin Khadim Bldg,",Open,Joyson Joseph Kalaparambath,1098.0,2300089.0,4/12/2023,2023-5-28 15-19-54, 
2300078,2300078,4/27/2023,22311988.0,Glamour Care Clinics LLC,28000.0,24800.0,1240.0,26040.0,"Villa 813, Jumeirah Beach Road,","Villa 813, Jumeirah Beach Road,",Open,Jessie Tolntion Matitu,1138.0,2300090.0,4/15/2023,2023-5-28 15-19-58, 
2300079,2300079,4/27/2023,22311998.0,Acacia Medical Center,55720.0,47720.0,2386.0,50106.0,"Villa No 15, Al Karamah Street","Villa No 15, Al Karamah Street",Open,Jessie Tolntion Matitu,1138.0,2300091.0,4/15/2023,2023-5-28 15-20-3, 
2300080,2300080,5/14/2023,22310029.0,Al Jameya Pharmacy,93905.0,87890.0,4395.0,92285.0,Union Cooperative Society  Ghusais,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,Open,Allen Joseph Anora,365.0,2300092.0,5/2/2023,2023-5-28 15-20-7, 
2300081,2300081,5/10/2023,22310807.0,Aesthetica Clinic LLC,13020.0,12360.0,618.0,12978.0,Al Hamrain Center Dubai United Arab Emirates,Al Hamrain Center Dubai United Arab Emirates,Open,Allen Joseph Anora,365.0,2300074.0,4/28/2023,2023-5-28 15-20-12, 
2300082,2300082,3/28/2023,22310701.0,Grace Medical Centre,142800.0,133200.0,6660.0,139860.0,26th street Abu Dhabi United Arab Emirates,26th street Abu Dhabi United Arab Emirates,Open,Jessie Tolntion Matitu,1138.0,2300069.0,3/16/2023,2023-5-28 15-20-17, 
2300083,2300083,5/10/2023,22310873.0,Sera Beauty Lounge,7560.0,6460.0,323.0,6783.0,Business Central Tower Media City Dubai United Arab Emriates,Business Central Tower Media City Dubai United Arab Emriates,Open,Ariel Abapo Naciogoyo,370.0,2300076.0,4/28/2023,2023-5-28 15-20-23, 
2300084,2300084,4/28/2023,22310888.0,Heavenly Spa,53200.0,45200.0,2260.0,47460.0,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,Open,Tampos Antonio Magalona,415.0,2300077.0,4/16/2023,2023-5-28 15-20-28, 
2300085,2300085,5/9/2023,22311052.0,Top Medical Group,8400.0,8050.0,403.0,8453.0,Dubai,Dubai,Open,Lucero Jackson Riconose,418.0,2300080.0,4/27/2023,2023-5-28 15-20-33, 
2300086,2300086,5/9/2023,22311134.0,Al Dar Medical Center,190400.0,166000.0,8300.0,174300.0,FujirahkhorfkanCornish area,FujirahkhorfkanCornish area,Open,Jinu Ambadan Jose,709.0,2300082.0,4/27/2023,2023-5-28 15-20-37, 
2300087,2300087,5/9/2023,22311163.0,Health Point Hospital LLC,72100.0,62650.0,3133.0,65783.0,Zayed Sports City Airportroad Abudhabi,Zayed Sports City Airportroad Abudhabi,Open,Dev Kumar Rai,894.0,2300083.0,4/27/2023,2023-5-28 15-20-42, 
2300088,2300088,5/23/2023,22310097.0,Sahar Pharmacy,16800.0,16280.0,814.0,17094.0,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,Open,Tampos Antonio Magalona,415.0,2300093.0,5/11/2023,2023-5-28 15-20-45, 
2300089,2300089,5/9/2023,22310916.0,Alexandria Pharmacy,79200.0,72000.0,3600.0,75600.0,Nahda 2 Dubai United Arab Emirates,Nahda 2 Dubai United Arab Emirates,Open,Tampos Antonio Magalona,415.0,2300078.0,4/27/2023,2023-5-28 15-20-50, 
2300090,2300090,4/27/2023,22311663.0,Zulekha Hospital LLC,81900.0,78000.0,3900.0,81900.0,"Al Qusais road,","Al Qusais road,",Open,Raj Kumar Giri,981.0,2300085.0,4/15/2023,2023-5-28 15-20-54, 
