id,soRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300008,2300008,3,10002000,Diode Laser Hair Removal Device,1,51380,3380,48000,2023-5-24 2-37-50, 
2300008,2300008,4,10006000,Caviation Laser,3,24500,8500,65000,2023-5-24 2-37-50, 
2300008,2300008,5,10007000,Crio Lipo,2,36400,7800,65000,2023-5-24 2-37-50, 
2300009,2300009,1,10005000,Bruun Mci,1,86800,19800,67000,2023-5-24 2-38-5, 
2300009,2300009,2,10006000,Caviation Laser,1,24500,5500,19000,2023-5-24 2-38-5, 
2300009,2300009,3,10007000,Crio Lipo,1,36400,7400,29000,2023-5-24 2-38-5, 
2300009,2300009,4,10008001,DeodLeaser Hand Piece,5,2100,2500,8000,2023-5-24 2-38-5, 
2300009,2300009,5,10008000,DeodLeaser,1,15400,3400,12000,2023-5-24 2-38-5, 
2300009,2300009,6,10009001,G5 Slimming Applicators,4,2800,3200,8000,2023-5-24 2-38-5, 
2300010,2300010,1,10018001,SVTA Radio Hand Pice 1,3,1680,1040,4000,2023-5-24 2-38-21, 
2300010,2300010,2,10018002,SVTA Radio Hand Pice 2,5,2100,1500,9000,2023-5-24 2-38-21, 
2300010,2300010,3,10018003,SVTA Radio Hand Pice 3,4,1960,840,7000,2023-5-24 2-38-21, 
2300010,2300010,4,10018004,SVTA Radio Hand Pice 4,2,1820,640,3000,2023-5-24 2-38-21, 
2300010,2300010,5,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-24 2-38-21, 
2300010,2300010,6,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3000,2023-5-24 2-38-21, 
2300010,2300010,7,10018007,SVTA Radio Hand Pice 7,4,2520,2080,8000,2023-5-24 2-38-21, 
2300010,2300010,8,10018008,SVTA Radio Hand Pice 8,7,1400,1800,8000,2023-5-24 2-38-21, 
2300010,2300010,9,10018000,SVTA Radio,1,25200,1200,24000,2023-5-24 2-38-21, 
2300011,2300011,1,10001000,Microneedling RF,1,31465,6465,25000,2023-5-24 2-38-40, 
2300011,2300011,2,10001001,Microneedling RF - HandPiece,3,4725,3175,11000,2023-5-24 2-38-40, 
2300011,2300011,3,10002000,Diode Laser Hair Removal Device,1,51380,5380,46000,2023-5-24 2-38-40, 
2300011,2300011,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,0,47180,2023-5-24 2-38-40, 
2300011,2300011,5,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,3,6300,0,18900,2023-5-24 2-38-40, 
2300012,2300012,1,10005000,Bruun Mci,1,86800,16800,70000,2023-5-24 2-38-57, 
2300012,2300012,2,10006000,Caviation Laser,1,24500,6500,18000,2023-5-24 2-38-57, 
2300013,2300013,1,10001000,Microneedling RF,1,31465,6465,25000,2023-5-24 2-40-16, 
2300013,2300013,2,10001001,Microneedling RF - HandPiece,3,4725,5175,9000,2023-5-24 2-40-16, 
2300013,2300013,3,10002000,Diode Laser Hair Removal Device,1,51380,7380,44000,2023-5-24 2-40-16, 
2300013,2300013,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,9180,38000,2023-5-24 2-40-16, 
2300013,2300013,5,10004000,RF Fractional CO2 Laser,1,81900,6900,75000,2023-5-24 2-40-16, 
2300013,2300013,6,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,4400,11000,2023-5-24 2-40-16, 
2300013,2300013,7,10005000,Bruun Mci,1,86800,17800,69000,2023-5-24 2-40-16, 
2300013,2300013,8,10006000,Caviation Laser,1,24500,6500,18000,2023-5-24 2-40-16, 
2300013,2300013,9,10007000,Crio Lipo,1,36400,8400,28000,2023-5-24 2-40-16, 
2300014,2300014,1,10008001,DeodLeaser Hand Piece,4,2100,1400,7000,2023-5-24 2-40-45, 
2300014,2300014,2,10004002,RF Fractional CO2 Laser - Accessories,3,1400,1200,3000,2023-5-24 2-40-45, 
2300014,2300014,3,10017000,SPA Slim,2,8400,3800,13000,2023-5-24 2-40-45, 
2300014,2300014,4,10018001,SVTA Radio Hand Pice 1,6,1680,2080,8000,2023-5-24 2-40-45, 
2300015,2300015,1,10001000,Microneedling RF,1,31465,6465,25000,2023-5-24 2-40-56, 
2300015,2300015,2,10001001,Microneedling RF - HandPiece,3,4725,3175,11000,2023-5-24 2-40-56, 
2300015,2300015,3,10002000,Diode Laser Hair Removal Device,1,51380,5380,46000,2023-5-24 2-40-56, 
2300015,2300015,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,0,47180,2023-5-24 2-40-56, 
2300015,2300015,5,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,3,6300,0,18900,2023-5-24 2-40-56, 
2300016,2300016,1,10018001,SVTA Radio Hand Pice 1,3,1680,1040,4000,2023-5-24 2-41-11, 
2300016,2300016,2,10018002,SVTA Radio Hand Pice 2,5,2100,1500,9000,2023-5-24 2-41-11, 
2300016,2300016,3,10018003,SVTA Radio Hand Pice 3,4,1960,840,7000,2023-5-24 2-41-11, 
2300016,2300016,4,10018004,SVTA Radio Hand Pice 4,2,1820,640,3000,2023-5-24 2-41-11, 
2300016,2300016,5,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-24 2-41-11, 
2300016,2300016,6,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3000,2023-5-24 2-41-11, 
2300016,2300016,7,10018007,SVTA Radio Hand Pice 7,4,2520,2080,8000,2023-5-24 2-41-11, 
2300016,2300016,8,10018008,SVTA Radio Hand Pice 8,7,1400,1800,8000,2023-5-24 2-41-11, 
2300016,2300016,9,10018000,SVTA Radio,1,25200,1200,24000,2023-5-24 2-41-11, 
2300017,2300017,1,10004000,RF Fractional CO2 Laser,1,81900,11900,70000,2023-5-24 2-41-34, 
2300017,2300017,2,10004001,RF Fractional CO2 Laser - Handpiece,3,7700,3100,20000,2023-5-24 2-41-34, 
2300017,2300017,3,10004002,RF Fractional CO2 Laser - Accessories,4,1400,600,5000,2023-5-24 2-41-34, 
2300017,2300017,4,10005000,Bruun Mci,1,86800,4800,82000,2023-5-24 2-41-34, 
2300017,2300017,5,10006000,Caviation Laser,1,24500,5500,19000,2023-5-24 2-41-34, 
2300017,2300017,6,10007000,Crio Lipo,1,36400,7400,29000,2023-5-24 2-41-34, 
2300018,2300018,1,10019000,VCA Laser,1,39200,7200,32000,2023-5-24 2-41-49, 
2300018,2300018,2,10019001,VCA Leaser Hand Piece,3,4000,4000,8000,2023-5-24 2-41-49, 
2300018,2300018,3,10015000,Mickcara,2,43400,16800,70000,2023-5-24 2-41-49, 
2300018,2300018,4,10016000,My Ultrasonic,5,9800,5000,44000,2023-5-24 2-41-49, 
2300018,2300018,5,10017000,SPA Slim,2,8400,4800,12000,2023-5-24 2-41-49, 
2300019,2300019,1,10001001,Microneedling RF - HandPiece,2,4725,1450,8000,2023-5-24 2-42-2, 
2300019,2300019,2,10001000,Microneedling RF,1,31465,6465,25000,2023-5-24 2-42-2, 
2300019,2300019,3,10002000,Diode Laser Hair Removal Device,1,51380,9380,42000,2023-5-24 2-42-2, 
2300019,2300019,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,11180,36000,2023-5-24 2-42-2, 
2300020,2300020,1,10001000,Microneedling RF,2,31465,8930,54000,2023-5-24 2-42-35, 
2300020,2300020,2,10001001,Microneedling RF - HandPiece,5,4725,5625,18000,2023-5-24 2-42-35, 
2300020,2300020,3,10002000,Diode Laser Hair Removal Device,1,51380,7380,44000,2023-5-24 2-42-35, 
2300020,2300020,4,10003000,Portable Diode Laser Hair Removal Equipment,2,47180,14360,80000,2023-5-24 2-42-35, 
2300020,2300020,5,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,7,6300,8100,36000,2023-5-24 2-42-35, 
2300020,2300020,6,10004000,RF Fractional CO2 Laser,1,81900,7900,74000,2023-5-24 2-42-35, 
2300020,2300020,7,10004001,RF Fractional CO2 Laser - Handpiece,4,7700,5800,25000,2023-5-24 2-42-35, 
2300020,2300020,8,10004002,RF Fractional CO2 Laser - Accessories,8,1400,2000,9200,2023-5-24 2-42-35, 
2300021,2300021,1,10005000,Bruun Mci,1,86800,19800,67000,2023-5-24 2-42-50, 
2300021,2300021,2,10006000,Caviation Laser,1,24500,5500,19000,2023-5-24 2-42-50, 
2300021,2300021,3,10007000,Crio Lipo,1,36400,7400,29000,2023-5-24 2-42-50, 
2300021,2300021,4,10008001,DeodLeaser Hand Piece,5,2100,2500,8000,2023-5-24 2-42-50, 
2300021,2300021,5,10008000,DeodLeaser,1,15400,3400,12000,2023-5-24 2-42-50, 
2300021,2300021,6,10009001,G5 Slimming Applicators,4,2800,3200,8000,2023-5-24 2-42-50, 
2300022,2300022,1,10004000,RF Fractional CO2 Laser,1,81900,11900,70000,2023-5-24 2-43-1, 
2300022,2300022,2,10004001,RF Fractional CO2 Laser - Handpiece,3,7700,3100,20000,2023-5-24 2-43-1, 
2300022,2300022,3,10004002,RF Fractional CO2 Laser - Accessories,4,1400,600,5000,2023-5-24 2-43-1, 
2300022,2300022,4,10005000,Bruun Mci,1,86800,4800,82000,2023-5-24 2-43-1, 
2300022,2300022,5,10006000,Caviation Laser,1,24500,5500,19000,2023-5-24 2-43-1, 
2300022,2300022,6,10007000,Crio Lipo,1,36400,7400,29000,2023-5-24 2-43-1, 
2300023,2300023,1,10001001,Microneedling RF - HandPiece,2,4725,1450,8000,2023-5-24 2-43-15, 
2300023,2300023,2,10001000,Microneedling RF,1,31465,6465,25000,2023-5-24 2-43-15, 
2300023,2300023,3,10002000,Diode Laser Hair Removal Device,1,51380,9380,42000,2023-5-24 2-43-15, 
2300023,2300023,4,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,11180,36000,2023-5-24 2-43-15, 
2300024,2300024,1,10005000,Bruun Mci,1,86800,16800,70000,2023-5-24 2-43-33, 
2300024,2300024,2,10006000,Caviation Laser,1,24500,6500,18000,2023-5-24 2-43-33, 
