id,soRef,soDat,cusCode,cusName,soTBD,soTAD,soTax,soTAT,shipTo,soComm,opnClo,spCName,spCode,qotRef,qotDat,traDate,action
2300020,2300020,2/7/2023,22310207,Delta Pharmacy,79200,72000,3600,75600,Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Delta Pharmacy,Open,Raj Kumar Giri,981,2300018,1/26/2023,2023-5-28 15-13-40, 
2300021,2300021,3/11/2023,22310093,Women's Medical Center (Dr. Ameena),7700,6600,330,6930,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SVTA Radio Hand Pice 3 & 4 to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370,2300030,2/27/2023,2023-5-28 15-13-46, 
2300022,2300022,2/11/2023,22310182,Spaces Spa Center,40915,36000,1800,37800,Oasis Center Dubai United Arab Emirates,Microneedling RF & HandPiece to Spaces Spa Center,Open,Jinu Ambadan Jose,709,2300014,1/30/2023,2023-5-28 15-13-52, 
2300023,2300023,2/7/2023,22310210,Al Burg Clinic,7000,5000,250,5250,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,SVTA Radio Hand Pice 5 & 6 to Al Burg Clinic,Open,Michael Cadiang Manza,994,2300019,1/26/2023,2023-5-28 15-14-0, 
2300024,2300024,3/10/2023,22310133,Al Samnan Clinic,19600,17000,850,17850,Al Wasit Street Samnan Sharjah United Arab Emirates,My Ultrasonic to Al Samnan Clinic,Open,Allen Madrid Gomez,598,2300035,2/26/2023,2023-5-28 15-14-11, 
2300025,2300025,1/27/2023,22310269,Flora Beauty Spa,89600,84880,4244,89124,Umm Ramool Rashidiya Dubai United Arab Emirates,SVTA Radio & VCA Laser to Flora Beauty Spa,Open,Franco Viola Parota,366,2300022,1/15/2023,2023-5-28 15-14-16, 
2300026,2300026,3/11/2023,22310055,Al Noor Pharmacy,5460,4800,240,5040,Mina,SVTA Radio Hand Pice 1 to Al Noor Pharmacy,Open,Allen Joseph Anora,365,2300028,2/27/2023,2023-5-28 15-14-23, 
2300027,2300027,2/10/2023,22310102,Health &amp; Aesthetic Medical Center,26880,23400,1170,24570,Buheira Corniche - Sharjah United Arab Emirates,SVTA Radio and Hand Piece to Health &amp; Aesthetic Medical Center,Open,Jaime  Endaya,417,2300008,1/29/2023,2023-5-28 15-14-31, 
2300028,2300028,2/26/2023,22310200,German Clinic FZ LLC,118400,105000,5250,110250,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,VCA Laser to VCA Leaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894,2300038,2/14/2023,2023-5-28 15-14-39, 
2300029,2300029,2/26/2023,22310207,Delta Pharmacy,81900,78000,3900,81900,Sharjah United Arab Emirates,RF Fractional CO2 Laser to Delta Pharmacy,Open,Raj Kumar Giri,981,2300039,2/14/2023,2023-5-28 15-14-48, 
2300030,2300030,1/27/2023,22310280,Gulf Beauty Salon - Abu Dhabi,145600,136000,6800,142800,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,G5 Slimming & Hiemt A to Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138,2300023,1/15/2023,2023-5-28 15-14-54, 
2300031,2300031,3/10/2023,22310131,Ali Bin Ali Medical,4200,3850,193,4043,Doha Qatar,DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Lucero Jackson Riconose,418,2300034,2/26/2023,2023-5-28 15-15-7, 
2300032,2300032,2/18/2023,22310029,Al Jameya Pharmacy,19600,15900,795,16695,Union Cooperative Society  Ghusais,DeodLeaser & DeodLeaser Hand Piece to Al Jameya Pharmacy,Open,Allen Joseph Anora,365,2300025,2/6/2023,2023-5-28 15-15-13, 
2300033,2300033,2/7/2023,22310252,Faith Pharmacy,4200,3900,195,4095,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,DeodLeaser Hand Piece to Faith Pharmacy,Open,Jalil Khadim Hussain,1008,2300020,1/26/2023,2023-5-28 15-15-21, 
2300034,2300034,2/23/2023,22310269,Flora Beauty Spa,17500,13800,690,14490,Umm Ramool Rashidiya Dubai United Arab Emirates,DeodLeaser & DeodLeaser Hand Piece to Flora Beauty Spa,Open,Joyson Joseph Kalaparambath,1098,2300043,2/11/2023,2023-5-28 15-15-26, 
2300035,2300035,2/27/2023,22310097,Sahar Pharmacy,63000,55000,2750,57750,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Mickcara & My Ultrasonic to Sahar Pharmacy,Open,Tampos Antonio Magalona,415,2300031,2/15/2023,2023-5-28 15-15-32, 
2300036,2300036,3/24/2023,22310055,Al Noor Pharmacy,19600,19080,954,20034,Mina,Mina,Open,Tampos Antonio Magalona,415,2300048,3/12/2023,2023-5-28 15-15-39, 
2300037,2300037,3/10/2023,22310102,Health &amp; Aesthetic Medical Center,119200,105500,5275,110775,Buheira Corniche - Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Health &amp; Aesthetic Medical Center,Open,Sanjay Kumar Mandal,329,2300033,2/26/2023,2023-5-28 15-15-43, 
2300038,2300038,3/17/2023,22310093,Women's Medical Center (Dr. Ameena),171500,168300,8415,176715,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Open,Franco Viola Parota,366,2300049,3/5/2023,2023-5-28 15-15-50, 
2300039,2300039,3/6/2023,22310029,Al Jameya Pharmacy,64400,59000,2950,61950,Union Cooperative Society  Ghusais,Jumia and Konmision to Al Jameya Pharmacy,Open,Lucero Jackson Riconose,418,2300026,2/22/2023,2023-5-28 15-15-55, 
2300040,2300040,3/10/2023,22310097,Sahar Pharmacy,79200,72000,3600,75600,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Sahar Pharmacy,Open,Tampos Antonio Magalona,415,2300032,2/26/2023,2023-5-28 15-16-2, 
2300041,2300041,4/5/2023,22310131,Ali Bin Ali Medical,12180,11720,586,12306,Doha Qatar,Doha Qatar,Open,Jaime  Endaya,417,2300052,3/24/2023,2023-5-28 15-16-10, 
2300042,2300042,4/11/2023,22310182,Spaces Spa Center,30240,26760,1338,28098,Oasis Center Dubai United Arab Emirates,Oasis Center Dubai United Arab Emirates,Open,Jaime  Endaya,417,2300054,3/30/2023,2023-5-28 15-16-16, 
2300043,2300043,3/10/2023,22310182,Spaces Spa Center,190400,166000,8300,174300,Oasis Center Dubai United Arab Emirates,Hydra Fresh & Hydra-new & Jumia to Spaces Spa Center,Open,Jinu Ambadan Jose,709,2300036,2/26/2023,2023-5-28 15-16-21, 
2300044,2300044,3/9/2023,22310210,Al Burg Clinic,4060,3720,186,3906,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,SVTA Radio Hand Pice 4 & 5,Open,Michael Cadiang Manza,994,2300041,2/25/2023,2023-5-28 15-16-27, 
2300045,2300045,3/10/2023,22310200,German Clinic FZ LLC,66500,57050,2853,59903,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Caviation Laser & Crio Lipo to German Clinic FZ LLC,Open,Dev Kumar Rai,894,2300037,2/26/2023,2023-5-28 15-16-32, 
2300046,2300046,3/22/2023,22310252,Faith Pharmacy,18200,15560,778,16338,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,Open,Allen Madrid Gomez,598,2300058,3/10/2023,2023-5-28 15-16-37, 
2300047,2300047,3/9/2023,22310210,Al Burg Clinic,45640,40000,2000,42000,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Microneedling RF & Microneedling RF - HandPiece to Al Burg Clinic,Open,Michael Cadiang Manza,994,2300040,2/25/2023,2023-5-28 15-16-42, 
2300048,2300048,4/12/2023,22310280,Gulf Beauty Salon - Abu Dhabi,36190,31275,1564,32839,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,Open,Jinu Ambadan Jose,709,2300060,3/31/2023,2023-5-28 15-17-12, 
2300049,2300049,4/12/2023,22310269,Flora Beauty Spa,42000,38520,1926,40446,Umm Ramool Rashidiya Dubai United Arab Emirates,Umm Ramool Rashidiya Dubai United Arab Emirates,Open,Franco Viola Parota,366,2300059,3/31/2023,2023-5-28 15-17-17, 
2300050,2300050,3/25/2023,22310286,Hamad Pharmacy,5880,5220,261,5481,Al Wasit Street Al Shaba Sharjah United Arab Emirates,Al Wasit Street Al Shaba Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370,2300061,3/13/2023,2023-5-28 15-17-21, 
2300051,2300051,4/8/2023,22310298,HANI Pharmacy Abu Dhabi,40600,35900,1795,37695,Hamdah Street Near Standard Chartered Bank Abu Dhabi,Hamdah Street Near Standard Chartered Bank Abu Dhabi,Open,Dev Kumar Rai,894,2300062,3/27/2023,2023-5-28 15-17-26, 
2300052,2300052,4/8/2023,22310359,Life Pharmacy LLC,79200,72000,3600,75600,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,Open,Raj Kumar Giri,981,2300064,3/27/2023,2023-5-28 15-17-32, 
2300053,2300053,2/26/2023,22310280,Gulf Beauty Salon - Abu Dhabi,35980,27980,1399,29379,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,SVTA Radio and hand piece to  Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138,2300045,2/14/2023,2023-5-28 15-17-36, 
2300054,2300054,2/23/2023,22310252,Faith Pharmacy,6440,5050,253,5303,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,SVTA Radio Hand Pice 7 & 8 to Faith Pharmacy,Open,Jalil Khadim Hussain,1008,2300042,2/11/2023,2023-5-28 15-17-41, 
2300055,2300055,3/17/2023,22310097,Sahar Pharmacy,60200,58445,2922,61367,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370,2300050,3/5/2023,2023-5-28 15-17-46, 
2300056,2300056,3/18/2023,22310102,Health & Aesthetic Medical Center,40915,37800,1890,39690,Buheira Corniche - Sharjah United Arab Emirates,Buheira Corniche - Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370,2300051,3/6/2023,2023-5-28 15-17-52, 
2300057,2300057,2/26/2023,22310280,Gulf Beauty Salon - Abu Dhabi,18200,15000,750,15750,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,My Ultrasonic & SPA Slim to Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138,2300044,2/14/2023,2023-5-28 15-17-57, 
2300058,2300058,4/8/2023,22310747,Marjan Beauty Saloon JLT,109200,88200,4410,92610,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,Open,Ariel Abapo Naciogoyo,370,2300070,3/27/2023,2023-5-28 15-18-1, 
2300059,2300059,4/19/2023,22310776,Mafraq Hospital,21700,18000,900,18900,P.O. 2951 Abu Dhabi - United Arab Emirates,P.O. 2951 Abu Dhabi - United Arab Emirates,Open,Allen Joseph Anora,365,2300071,4/7/2023,2023-5-28 15-18-6, 
2300060,2300060,4/5/2023,22310133,Al Samnan Clinic,57120,53390,2670,56060,Al Wasit Street Samnan Sharjah United Arab Emirates,Al Wasit Street Samnan Sharjah United Arab Emirates,Open,Allen Joseph Anora,365,2300053,3/24/2023,2023-5-28 15-18-10, 
2300061,2300061,4/11/2023,22310200,German Clinic FZ LLC,22400,20100,1005,21105,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Open,Lucero Jackson Riconose,418,2300055,3/30/2023,2023-5-28 15-18-15, 
2300062,2300062,4/18/2023,22310802,Elite Medical Centre,59780,49700,2485,52185,Jumeirah 1 Beach Road Dubai United Arab Emirates,Jumeirah 1 Beach Road Dubai United Arab Emirates,Open,Franco Viola Parota,366,2300073,4/6/2023,2023-5-28 15-18-20, 
2300063,2300063,3/18/2023,22310210,Al Burg Clinic,34580,33290,1665,34955,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Open,Jalil Khadim Hussain,1008,2300057,3/6/2023,2023-5-28 15-18-26, 
2300064,2300064,5/10/2023,22310827,Al Soor Pharmacy LLC,13440,12680,634,13314,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,Open,Ariel Abapo Naciogoyo,370,2300075,4/28/2023,2023-5-28 15-18-30, 
2300065,2300065,4/1/2023,22310207,Delta Pharmacy,42700,38000,1900,39900,Sharjah United Arab Emirates,Sharjah United Arab Emirates,Open,Sanjay Kumar Mandal,329,2300056,3/20/2023,2023-5-28 15-18-35, 
2300066,2300066,3/15/2023,22310029,Al Jameya Pharmacy,95305,89290,4465,93755,Union Cooperative Society  Ghusais,Union Cooperative Society  Ghusais,Open,Allen Joseph Anora,365,2300047,3/3/2023,2023-5-28 15-18-40, 
2300067,2300067,4/8/2023,22310341,Kaya Trading,5600,3400,170,3570,"LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.","LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.",Open,Dev Kumar Rai,894,2300063,3/27/2023,2023-5-28 15-18-45, 
2300068,2300068,5/9/2023,22311027,Visage Pharmacy,119200,105500,5275,110775,Corniche Road Abudhabi,Corniche Road Abudhabi,Open,Sanjay Kumar Mandal,329,2300079,4/27/2023,2023-5-28 15-18-50, 
2300069,2300069,5/9/2023,22311066,American European Medical Center,9800,7200,360,7560,American European Medical Center-Abudhabi,American European Medical Center-Abudhabi,Open,Allen Madrid Gomez,598,2300081,4/27/2023,2023-5-28 15-18-55, 
2300070,2300070,4/8/2023,22310436,NADA Pharmacy,6860,4860,243,5103,Sharjah United Arab Emirates,Sharjah United Arab Emirates,Open,Michael Cadiang Manza,994,2300065,3/27/2023,2023-5-28 15-19-0, 
2300071,2300071,4/8/2023,22310439,NAS Medical,2100,1800,90,1890,Dubai United Arab Emirates,Dubai United Arab Emirates,Open,Jalil Khadim Hussain,1008,2300066,3/27/2023,2023-5-28 15-19-6, 
2300072,2300072,4/27/2023,22311242,ICON CLINIC LLC,118400,105000,5250,110250,Dr. Abeer Sawwaf Abudhabi,Dr. Abeer Sawwaf Abudhabi,Open,Dev Kumar Rai,894,2300084,4/15/2023,2023-5-28 15-19-15, 
2300073,2300073,5/5/2023,22310789,Al Sharq Hospital,64400,59000,2950,61950,Fujairah United Arab Emirates,Fujairah United Arab Emirates,Open,Lucero Jackson Riconose,418,2300072,4/23/2023,2023-5-28 15-19-21, 
2300074,2300074,3/28/2023,22310646,American Hospital Dubai LLC,103600,98880,4944,103824,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,Open,Franco Viola Parota,366,2300068,3/16/2023,2023-5-28 15-19-34, 
2300075,2300075,5/8/2023,22311809,Carmen Beauty Salon,8120,7780,389,8169,"khalidiya street,","khalidiya street,",Open,Michael Cadiang Manza,994,2300087,4/26/2023,2023-5-28 15-19-39, 
2300076,2300076,4/8/2023,22310580,Al Qaser Medical Center,24500,18500,925,19425,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,Open,Joyson Joseph Kalaparambath,1098,2300067,3/27/2023,2023-5-28 15-19-47, 
2300077,2300077,4/24/2023,22311863,Beverly Hills Speciality Center LLC,19600,15900,795,16695,"Al walid Khalid Bin Khadim Bldg,","Al walid Khalid Bin Khadim Bldg,",Open,Joyson Joseph Kalaparambath,1098,2300089,4/12/2023,2023-5-28 15-19-54, 
2300078,2300078,4/27/2023,22311988,Glamour Care Clinics LLC,28000,24800,1240,26040,"Villa 813, Jumeirah Beach Road,","Villa 813, Jumeirah Beach Road,",Open,Jessie Tolntion Matitu,1138,2300090,4/15/2023,2023-5-28 15-19-58, 
2300079,2300079,4/27/2023,22311998,Acacia Medical Center,55720,47720,2386,50106,"Villa No 15, Al Karamah Street","Villa No 15, Al Karamah Street",Open,Jessie Tolntion Matitu,1138,2300091,4/15/2023,2023-5-28 15-20-3, 
2300080,2300080,5/14/2023,22310029,Al Jameya Pharmacy,93905,87890,4395,92285,Union Cooperative Society  Ghusais,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,Open,Allen Joseph Anora,365,2300092,5/2/2023,2023-5-28 15-20-7, 
2300081,2300081,5/10/2023,22310807,Aesthetica Clinic LLC,13020,12360,618,12978,Al Hamrain Center Dubai United Arab Emirates,Al Hamrain Center Dubai United Arab Emirates,Open,Allen Joseph Anora,365,2300074,4/28/2023,2023-5-28 15-20-12, 
2300082,2300082,3/28/2023,22310701,Grace Medical Centre,142800,133200,6660,139860,26th street Abu Dhabi United Arab Emirates,26th street Abu Dhabi United Arab Emirates,Open,Jessie Tolntion Matitu,1138,2300069,3/16/2023,2023-5-28 15-20-17, 
2300083,2300083,5/10/2023,22310873,Sera Beauty Lounge,7560,6460,323,6783,Business Central Tower Media City Dubai United Arab Emriates,Business Central Tower Media City Dubai United Arab Emriates,Open,Ariel Abapo Naciogoyo,370,2300076,4/28/2023,2023-5-28 15-20-23, 
2300084,2300084,4/28/2023,22310888,Heavenly Spa,53200,45200,2260,47460,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,Open,Tampos Antonio Magalona,415,2300077,4/16/2023,2023-5-28 15-20-28, 
2300085,2300085,5/9/2023,22311052,Top Medical Group,8400,8050,403,8453,Dubai,Dubai,Open,Lucero Jackson Riconose,418,2300080,4/27/2023,2023-5-28 15-20-33, 
2300086,2300086,5/9/2023,22311134,Al Dar Medical Center,190400,166000,8300,174300,FujirahkhorfkanCornish area,FujirahkhorfkanCornish area,Open,Jinu Ambadan Jose,709,2300082,4/27/2023,2023-5-28 15-20-37, 
2300087,2300087,5/9/2023,22311163,Health Point Hospital LLC,72100,62650,3133,65783,Zayed Sports City Airportroad Abudhabi,Zayed Sports City Airportroad Abudhabi,Open,Dev Kumar Rai,894,2300083,4/27/2023,2023-5-28 15-20-42, 
2300088,2300088,5/23/2023,22310097,Sahar Pharmacy,16800,16280,814,17094,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,Open,Tampos Antonio Magalona,415,2300093,5/11/2023,2023-5-28 15-20-45, 
2300089,2300089,5/9/2023,22310916,Alexandria Pharmacy,79200,72000,3600,75600,Nahda 2 Dubai United Arab Emirates,Nahda 2 Dubai United Arab Emirates,Open,Tampos Antonio Magalona,415,2300078,4/27/2023,2023-5-28 15-20-50, 
2300090,2300090,4/27/2023,22311663,Zulekha Hospital LLC,81900,78000,3900,81900,"Al Qusais road,","Al Qusais road,",Open,Raj Kumar Giri,981,2300085,4/15/2023,2023-5-28 15-20-54, 
2300091,2300091,4/24/2023,22311852,Zaki Ladies Salon,9240,7850,393,8243,"Dubai Resort Shop 2, Anatara, The Palm","Dubai Resort Shop 2, Anatara, The Palm",Open,Jalil Khadim Hussain,1008,2300088,4/12/2023,2023-5-28 15-20-58, 
2300092,2300092,5/16/2023,22310029,Al Jameya Pharmacy,75600,73845,3692,77537,Union Cooperative Society  Ghusais,Deod Leaserto Al Jameya Pharmacy,Open,Ariel Abapo Naciogoyo,370,2300095,5/4/2023,2023-5-28 15-21-3, 
2300093,2300093,5/8/2023,22311664,Unicare Clinic,50365,44725,2236,46961,23 North Wing BurJuman Centre Sheik Khalifa Bin,23 North Wing BurJuman Centre Sheik Khalifa Bin,Open,Michael Cadiang Manza,994,2300086,4/26/2023,2023-5-28 15-21-8, 
2300094,2300094,5/24/2023,22310182,Spaces Spa Center,5880,5220,261,5481,Oasis Center Dubai United Arab Emirates,SVTA Radio Hand Pice 1 to Spaces Spa Center,Open,Ariel Abapo Naciogoyo,370,2300106,5/12/2023,2023-5-28 15-21-13, 
2300095,2300095,6/7/2023,22310200,German Clinic FZ LLC,40600,35900,1795,37695,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Crio Lipo and DeodLeaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894,2300107,5/26/2023,2023-5-28 15-21-19, 
2300096,2300096,6/7/2023,22310200,German Clinic FZ LLC,5600,3400,170,3570,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,SVTA Radio Hand Pice 3 & 4,Open,Dev Kumar Rai,894,2300108,5/26/2023,2023-5-28 15-21-24, 
2300097,2300097,5/16/2023,22310055,Al Noor Pharmacy,97300,94100,4705,98805,Mina,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,Open,Franco Viola Parota,366,2300094,5/4/2023,2023-5-28 15-21-29, 
2300098,2300098,5/17/2023,22310093,Women's Medical Center (Dr. Ameena),40915,37800,1890,39690,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Microneedling RF and HandPiece to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370,2300096,5/5/2023,2023-5-28 15-21-33, 
2300099,2300099,6/7/2023,22310210,Al Burg Clinic,9100,7100,355,7455,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,SVTA Radio Hand Pice 5 & 6 to Al Burg Clinic,Open,Michael Cadiang Manza,994,2300110,5/26/2023,2023-5-28 15-21-38, 
