Ref,Type,Date,accCode,accHead,Amount,Comm,traDate,action,brand,department,country
2300007,dl,2/27/2023,60110001,Cogs1,22600,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,2023-5-29 21-44-5, ,0,0,0
2300007,dl,2/27/2023,37000001,Inventory at Cost,-22600,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,2023-5-29 21-44-5, ,0,0,0
2300008,dl,2/11/2023,60110001,Cogs1,30500,Crio Lipo and DeodLeaser Hand Piece to German Clinic FZ LLC,2023-5-29 21-44-24, ,0,0,0
2300008,dl,2/11/2023,37000001,Inventory at Cost,-30500,Crio Lipo and DeodLeaser Hand Piece to German Clinic FZ LLC,2023-5-29 21-44-24, ,0,0,0
2300009,dl,2/7/2023,60110001,Cogs1,27500,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,2023-5-29 21-45-4, ,0,0,0
2300009,dl,2/7/2023,37000001,Inventory at Cost,-27500,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,2023-5-29 21-45-4, ,0,0,0
2300010,dl,2/4/2023,60110001,Cogs1,7500,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,2023-5-29 21-45-21, ,0,0,0
2300010,dl,2/4/2023,37000001,Inventory at Cost,-7500,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,2023-5-29 21-45-21, ,0,0,0
2300011,dl,2/23/2023,60110001,Cogs1,2900,VTA Radio Hand Pice 4 and 5 Women's Medical Center (Dr. Ameena),2023-5-29 21-45-44, ,0,0,0
2300011,dl,2/23/2023,37000001,Inventory at Cost,-2900,VTA Radio Hand Pice 4 and 5 Women's Medical Center (Dr. Ameena),2023-5-29 21-45-44, ,0,0,0
2300012,dl,2/1/2023,60110001,Cogs1,13000,Deod Leaser and G5 Slimming Applicators to Al Samnan Clinic,2023-5-29 21-46-10, ,0,0,0
2300012,dl,2/1/2023,37000001,Inventory at Cost,-13000,Deod Leaser and G5 Slimming Applicators to Al Samnan Clinic,2023-5-29 21-46-10, ,0,0,0
2300013,dl,3/15/2023,60110001,Cogs1,8400,SPA Slim & SVTA Radio Hand Pice 1 to Women's Medical Center (Dr. Ameena),2023-5-29 21-57-37, ,0,0,0
2300013,dl,3/15/2023,37000001,Inventory at Cost,-8400,SPA Slim & SVTA Radio Hand Pice 1 to Women's Medical Center (Dr. Ameena),2023-5-29 21-57-37, ,0,0,0
2300014,dl,2/12/2023,60110001,Cogs1,9500,RF Fractional CO2 Laser - Handpiece to Ali Bin Ali Medical,2023-5-29 21-58-22, ,0,0,0
2300014,dl,2/12/2023,37000001,Inventory at Cost,-9500,RF Fractional CO2 Laser - Handpiece to Ali Bin Ali Medical,2023-5-29 21-58-22, ,0,0,0
2300015,dl,2/2/2023,60110001,Cogs1,23400,"SVTA Radio and Hand Pice 1, 2, 3 , 4, 5 to Ali Bin Ali Medical",2023-5-29 21-58-46, ,0,0,0
2300015,dl,2/2/2023,37000001,Inventory at Cost,-23400,"SVTA Radio and Hand Pice 1, 2, 3 , 4, 5 to Ali Bin Ali Medical",2023-5-29 21-58-46, ,0,0,0
2300016,dl,2/14/2023,60110001,Cogs1,35000,Caviation Laser to Flora Beauty Spa,2023-5-29 21-59-12, ,0,0,0
2300016,dl,2/14/2023,37000001,Inventory at Cost,-35000,Caviation Laser to Flora Beauty Spa,2023-5-29 21-59-12, ,0,0,0
2300017,dl,2/19/2023,60110001,Cogs1,59000,VCA Laser & VCA Leaser Hand Piece to Delta Pharmacy,2023-5-29 21-59-27, ,0,0,0
2300017,dl,2/19/2023,37000001,Inventory at Cost,-59000,VCA Laser & VCA Leaser Hand Piece to Delta Pharmacy,2023-5-29 21-59-27, ,0,0,0
2300018,dl,2/11/2023,60110001,Cogs1,85000,Hydra Fresh,2023-5-29 21-59-44, ,0,0,0
2300018,dl,2/11/2023,37000001,Inventory at Cost,-85000,Hydra Fresh,2023-5-29 21-59-44, ,0,0,0
2300019,dl,2/20/2023,60110001,Cogs1,30000,Hydra-new and Jumia to Al Samnan Clinic,2023-5-29 22-0-2, ,0,0,0
2300019,dl,2/20/2023,37000001,Inventory at Cost,-30000,Hydra-new and Jumia to Al Samnan Clinic,2023-5-29 22-0-2, ,0,0,0
2300020,dl,2/24/2023,60110001,Cogs1,47200,Portable Diode Laser Hair Removal Equipment to Al Noor Pharmacy,2023-5-29 22-0-18, ,0,0,0
2300020,dl,2/24/2023,37000001,Inventory at Cost,-47200,Portable Diode Laser Hair Removal Equipment to Al Noor Pharmacy,2023-5-29 22-0-18, ,0,0,0
2300021,dl,2/11/2023,60110001,Cogs1,5000,SVTA Radio Hand Pice 5 & 6 to Al Burg Clinic,2023-5-29 22-0-35, ,0,0,0
2300021,dl,2/11/2023,37000001,Inventory at Cost,-5000,SVTA Radio Hand Pice 5 & 6 to Al Burg Clinic,2023-5-29 22-0-35, ,0,0,0
2300022,dl,2/3/2023,60110001,Cogs1,64000,SVTA Radio & VCA Laser to Flora Beauty Spa,2023-5-29 22-0-53, ,0,0,0
2300022,dl,2/3/2023,37000001,Inventory at Cost,-64000,SVTA Radio & VCA Laser to Flora Beauty Spa,2023-5-29 22-0-53, ,0,0,0
2300023,dl,3/15/2023,60110001,Cogs1,5500,SVTA Radio Hand Pice 3 & 4 to Women's Medical Center (Dr. Ameena),2023-5-29 22-1-10, ,0,0,0
2300023,dl,3/15/2023,37000001,Inventory at Cost,-5500,SVTA Radio Hand Pice 3 & 4 to Women's Medical Center (Dr. Ameena),2023-5-29 22-1-10, ,0,0,0
2300024,dl,2/15/2023,60110001,Cogs1,29225,Microneedling RF & HandPiece to Spaces Spa Center,2023-5-29 22-1-30, ,0,0,0
2300024,dl,2/15/2023,37000001,Inventory at Cost,-29225,Microneedling RF & HandPiece to Spaces Spa Center,2023-5-29 22-1-30, ,0,0,0
2300025,dl,3/20/2023,60110001,Cogs1,14000,My Ultrasonic to Al Samnan Clinic,2023-5-29 22-1-42, ,0,0,0
2300025,dl,3/20/2023,37000001,Inventory at Cost,-14000,My Ultrasonic to Al Samnan Clinic,2023-5-29 22-1-42, ,0,0,0
2300026,dl,3/4/2023,60110001,Cogs1,87000,VCA Laser to VCA Leaser Hand Piece to German Clinic FZ LLC,2023-5-29 22-2-2, ,0,0,0
2300026,dl,3/4/2023,37000001,Inventory at Cost,-87000,VCA Laser to VCA Leaser Hand Piece to German Clinic FZ LLC,2023-5-29 22-2-2, ,0,0,0
2300027,dl,2/2/2023,60110001,Cogs1,104000,G5 Slimming & Hiemt A to Gulf Beauty Salon - Abu Dhabi,2023-5-29 22-2-22, ,0,0,0
2300027,dl,2/2/2023,37000001,Inventory at Cost,-104000,G5 Slimming & Hiemt A to Gulf Beauty Salon - Abu Dhabi,2023-5-29 22-2-22, ,0,0,0
2300028,dl,3/14/2023,60110001,Cogs1,3900,SVTA Radio Hand Pice 1 to Al Noor Pharmacy,2023-5-29 22-2-39, ,0,0,0
2300028,dl,3/14/2023,37000001,Inventory at Cost,-3900,SVTA Radio Hand Pice 1 to Al Noor Pharmacy,2023-5-29 22-2-39, ,0,0,0
2300029,dl,2/19/2023,60110001,Cogs1,14000,DeodLeaser & DeodLeaser Hand Piece to Al Jameya Pharmacy,2023-5-29 22-2-52, ,0,0,0
2300029,dl,2/19/2023,37000001,Inventory at Cost,-14000,DeodLeaser & DeodLeaser Hand Piece to Al Jameya Pharmacy,2023-5-29 22-2-52, ,0,0,0
2300030,dl,3/1/2023,60110001,Cogs1,45000,Mickcara & My Ultrasonic to Sahar Pharmacy,2023-5-29 22-3-6, ,0,0,0
2300030,dl,3/1/2023,37000001,Inventory at Cost,-45000,Mickcara & My Ultrasonic to Sahar Pharmacy,2023-5-29 22-3-6, ,0,0,0
2300031,dl,2/10/2023,60110001,Cogs1,3000,DeodLeaser Hand Piece to Faith Pharmacy,2023-5-29 22-3-28, ,0,0,0
2300031,dl,2/10/2023,37000001,Inventory at Cost,-3000,DeodLeaser Hand Piece to Faith Pharmacy,2023-5-29 22-3-28, ,0,0,0
2300032,dl,2/21/2023,60110001,Cogs1,19200,SVTA Radio and Hand Piece to Health &amp; Aesthetic Medical Center,2023-5-29 22-3-45, ,0,0,0
2300032,dl,2/21/2023,37000001,Inventory at Cost,-19200,SVTA Radio and Hand Piece to Health &amp; Aesthetic Medical Center,2023-5-29 22-3-45, ,0,0,0
2300033,dl,2/28/2023,60110001,Cogs1,58500,RF Fractional CO2 Laser to Delta Pharmacy,2023-5-29 22-4-1, ,0,0,0
2300033,dl,2/28/2023,37000001,Inventory at Cost,-58500,RF Fractional CO2 Laser to Delta Pharmacy,2023-5-29 22-4-1, ,0,0,0
2300034,dl,3/16/2023,60110001,Cogs1,3000,DeodLeaser Hand Piece to Ali Bin Ali Medical,2023-5-29 22-4-20, ,0,0,0
2300034,dl,3/16/2023,37000001,Inventory at Cost,-3000,DeodLeaser Hand Piece to Ali Bin Ali Medical,2023-5-29 22-4-20, ,0,0,0
2300035,dl,3/20/2023,60110001,Cogs1,90000,VCA Laser & VCA Leaser Hand Piece to Health &amp; Aesthetic Medical Center,2023-5-29 22-4-33, ,0,0,0
2300035,dl,3/20/2023,37000001,Inventory at Cost,-90000,VCA Laser & VCA Leaser Hand Piece to Health &amp; Aesthetic Medical Center,2023-5-29 22-4-33, ,0,0,0
2300036,dl,2/27/2023,60110001,Cogs1,12500,DeodLeaser & DeodLeaser Hand Piece to Flora Beauty Spa,2023-5-29 22-4-49, ,0,0,0
2300036,dl,2/27/2023,37000001,Inventory at Cost,-12500,DeodLeaser & DeodLeaser Hand Piece to Flora Beauty Spa,2023-5-29 22-4-49, ,0,0,0
2300037,dl,3/28/2023,60110001,Cogs1,14000,Mina,2023-5-29 22-5-8, ,0,0,0
2300037,dl,3/28/2023,37000001,Inventory at Cost,-14000,Mina,2023-5-29 22-5-8, ,0,0,0
2300038,dl,3/17/2023,60110001,Cogs1,59000,VCA Laser & VCA Leaser Hand Piece to Sahar Pharmacy,2023-5-29 22-5-28, ,0,0,0
2300038,dl,3/17/2023,37000001,Inventory at Cost,-59000,VCA Laser & VCA Leaser Hand Piece to Sahar Pharmacy,2023-5-29 22-5-28, ,0,0,0
2300039,dl,3/20/2023,60110001,Cogs1,122500,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,2023-5-29 22-5-42, ,0,0,0
2300039,dl,3/20/2023,37000001,Inventory at Cost,-122500,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,2023-5-29 22-5-42, ,0,0,0
2300040,dl,4/18/2023,60110001,Cogs1,21600,Oasis Center Dubai United Arab Emirates,2023-5-29 22-6-0, ,0,0,0
2300040,dl,4/18/2023,37000001,Inventory at Cost,-21600,Oasis Center Dubai United Arab Emirates,2023-5-29 22-6-0, ,0,0,0
2300041,dl,3/12/2023,60110001,Cogs1,46000,Jumia and Konmision to Al Jameya Pharmacy,2023-5-29 22-6-34, ,0,0,0
2300041,dl,3/12/2023,37000001,Inventory at Cost,-46000,Jumia and Konmision to Al Jameya Pharmacy,2023-5-29 22-6-34, ,0,0,0
2300042,dl,4/8/2023,60110001,Cogs1,8700,Doha Qatar,2023-5-29 22-6-55, ,0,0,0
2300042,dl,4/8/2023,37000001,Inventory at Cost,-8700,Doha Qatar,2023-5-29 22-6-55, ,0,0,0
2300043,dl,3/14/2023,60110001,Cogs1,2900,SVTA Radio Hand Pice 4 & 5,2023-5-29 22-7-12, ,0,0,0
2300043,dl,3/14/2023,37000001,Inventory at Cost,-2900,SVTA Radio Hand Pice 4 & 5,2023-5-29 22-7-12, ,0,0,0
2300044,dl,4/17/2023,60110001,Cogs1,25850,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,2023-5-29 22-7-25, ,0,0,0
2300044,dl,4/17/2023,37000001,Inventory at Cost,-25850,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,2023-5-29 22-7-25, ,0,0,0
2300045,dl,4/19/2023,60110001,Cogs1,30000,Umm Ramool Rashidiya Dubai United Arab Emirates,2023-5-29 22-7-41, ,0,0,0
2300045,dl,4/19/2023,37000001,Inventory at Cost,-30000,Umm Ramool Rashidiya Dubai United Arab Emirates,2023-5-29 22-7-41, ,0,0,0
2300046,dl,3/16/2023,60110001,Cogs1,136000,Hydra Fresh & Hydra-new & Jumia to Spaces Spa Center,2023-5-29 22-8-2, ,0,0,0
2300046,dl,3/16/2023,37000001,Inventory at Cost,-136000,Hydra Fresh & Hydra-new & Jumia to Spaces Spa Center,2023-5-29 22-8-2, ,0,0,0
2300047,dl,3/28/2023,60110001,Cogs1,4200,Al Wasit Street Al Shaba Sharjah United Arab Emirates,2023-5-29 22-8-15, ,0,0,0
2300047,dl,3/28/2023,37000001,Inventory at Cost,-4200,Al Wasit Street Al Shaba Sharjah United Arab Emirates,2023-5-29 22-8-15, ,0,0,0
2300048,dl,3/3/2023,60110001,Cogs1,25700,SVTA Radio and hand piece to  Gulf Beauty Salon - Abu Dhabi,2023-5-29 22-8-33, ,0,0,0
2300048,dl,3/3/2023,37000001,Inventory at Cost,-25700,SVTA Radio and hand piece to  Gulf Beauty Salon - Abu Dhabi,2023-5-29 22-8-33, ,0,0,0
2300049,dl,3/15/2023,60110001,Cogs1,47500,Caviation Laser & Crio Lipo to German Clinic FZ LLC,2023-5-29 22-8-48, ,0,0,0
2300049,dl,3/15/2023,37000001,Inventory at Cost,-47500,Caviation Laser & Crio Lipo to German Clinic FZ LLC,2023-5-29 22-8-48, ,0,0,0
2300050,dl,3/26/2023,60110001,Cogs1,13000,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,2023-5-29 22-9-2, ,0,0,0
2300050,dl,3/26/2023,37000001,Inventory at Cost,-13000,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,2023-5-29 22-9-2, ,0,0,0
2300051,dl,3/12/2023,60110001,Cogs1,32600,Microneedling RF & Microneedling RF - HandPiece to Al Burg Clinic,2023-5-29 22-9-19, ,0,0,0
2300051,dl,3/12/2023,37000001,Inventory at Cost,-32600,Microneedling RF & Microneedling RF - HandPiece to Al Burg Clinic,2023-5-29 22-9-19, ,0,0,0
2300052,dl,4/11/2023,60110001,Cogs1,29000,Hamdah Street Near Standard Chartered Bank Abu Dhabi,2023-5-29 22-9-35, ,0,0,0
2300052,dl,4/11/2023,37000001,Inventory at Cost,-29000,Hamdah Street Near Standard Chartered Bank Abu Dhabi,2023-5-29 22-9-35, ,0,0,0
2300053,dl,3/1/2023,60110001,Cogs1,13000,My Ultrasonic & SPA Slim to Gulf Beauty Salon - Abu Dhabi,2023-5-29 22-9-59, ,0,0,0
2300053,dl,3/1/2023,37000001,Inventory at Cost,-13000,My Ultrasonic & SPA Slim to Gulf Beauty Salon - Abu Dhabi,2023-5-29 22-9-59, ,0,0,0
2300054,dl,4/12/2023,60110001,Cogs1,59000,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,2023-5-29 22-10-18, ,0,0,0
2300054,dl,4/12/2023,37000001,Inventory at Cost,-59000,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,2023-5-29 22-10-18, ,0,0,0
2300055,dl,3/2/2023,60110001,Cogs1,4600,SVTA Radio Hand Pice 7 & 8 to Faith Pharmacy,2023-5-29 22-10-33, ,0,0,0
2300055,dl,3/2/2023,37000001,Inventory at Cost,-4600,SVTA Radio Hand Pice 7 & 8 to Faith Pharmacy,2023-5-29 22-10-33, ,0,0,0
2300056,dl,4/14/2023,60110001,Cogs1,78000,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,2023-5-29 22-10-52, ,0,0,0
2300056,dl,4/14/2023,37000001,Inventory at Cost,-78000,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,2023-5-29 22-10-52, ,0,0,0
2300057,dl,3/22/2023,60110001,Cogs1,43000,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,2023-5-29 22-11-12, ,0,0,0
2300057,dl,3/22/2023,37000001,Inventory at Cost,-43000,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,2023-5-29 22-11-12, ,0,0,0
2300058,dl,4/18/2023,60110001,Cogs1,16000,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,2023-5-29 22-11-37, ,0,0,0
2300058,dl,4/18/2023,37000001,Inventory at Cost,-16000,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,2023-5-29 22-11-37, ,0,0,0
2300059,dl,4/8/2023,60110001,Cogs1,40800,Al Wasit Street Samnan Sharjah United Arab Emirates,2023-5-29 22-12-7, ,0,0,0
2300059,dl,4/8/2023,37000001,Inventory at Cost,-40800,Al Wasit Street Samnan Sharjah United Arab Emirates,2023-5-29 22-12-7, ,0,0,0
2300060,dl,5/12/2023,60110001,Cogs1,9600,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,2023-5-29 22-13-8, ,0,0,0
2300060,dl,5/12/2023,37000001,Inventory at Cost,-9600,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,2023-5-29 22-13-8, ,0,0,0
2300061,dl,4/27/2023,60110001,Cogs1,29225,Buheira Corniche - Sharjah United Arab Emirates,2023-5-29 22-13-26, ,0,0,0
2300061,dl,4/27/2023,37000001,Inventory at Cost,-29225,Buheira Corniche - Sharjah United Arab Emirates,2023-5-29 22-13-26, ,0,0,0
2300062,dl,4/22/2023,60110001,Cogs1,15500,P.O. 2951 Abu Dhabi - United Arab Emirates,2023-5-29 22-13-41, ,0,0,0
2300062,dl,4/22/2023,37000001,Inventory at Cost,-15500,P.O. 2951 Abu Dhabi - United Arab Emirates,2023-5-29 22-13-41, ,0,0,0
2300063,dl,4/24/2023,60110001,Cogs1,42700,Jumeirah 1 Beach Road Dubai United Arab Emirates,2023-5-29 22-13-56, ,0,0,0
2300063,dl,4/24/2023,37000001,Inventory at Cost,-42700,Jumeirah 1 Beach Road Dubai United Arab Emirates,2023-5-29 22-13-56, ,0,0,0
2300064,dl,3/30/2023,60110001,Cogs1,24700,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,2023-5-29 22-14-12, ,0,0,0
2300064,dl,3/30/2023,37000001,Inventory at Cost,-24700,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,2023-5-29 22-14-12, ,0,0,0
2300065,dl,4/12/2023,60110001,Cogs1,4000,"LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.",2023-5-29 22-14-36, ,0,0,0
2300065,dl,4/12/2023,37000001,Inventory at Cost,-4000,"LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.",2023-5-29 22-14-36, ,0,0,0
2300066,dl,4/4/2023,60110001,Cogs1,30500,Sharjah United Arab Emirates,2023-5-29 22-14-54, ,0,0,0
2300066,dl,4/4/2023,37000001,Inventory at Cost,-30500,Sharjah United Arab Emirates,2023-5-29 22-14-54, ,0,0,0
2300067,dl,3/29/2023,60110001,Cogs1,68075,Union Cooperative Society  Ghusais,2023-5-29 22-15-12, ,0,0,0
2300067,dl,3/29/2023,37000001,Inventory at Cost,-68075,Union Cooperative Society  Ghusais,2023-5-29 22-15-12, ,0,0,0
2300068,dl,4/29/2023,60110001,Cogs1,87000,Dr. Abeer Sawwaf Abudhabi,2023-5-29 22-15-42, ,0,0,0
2300068,dl,4/29/2023,37000001,Inventory at Cost,-87000,Dr. Abeer Sawwaf Abudhabi,2023-5-29 22-15-42, ,0,0,0
2300069,dl,4/14/2023,60110001,Cogs1,1500,Dubai United Arab Emirates,2023-5-29 22-15-57, ,0,0,0
2300069,dl,4/14/2023,37000001,Inventory at Cost,-1500,Dubai United Arab Emirates,2023-5-29 22-15-57, ,0,0,0
2300070,dl,5/14/2023,60110001,Cogs1,90000,Corniche Road Abudhabi,2023-5-29 22-16-36, ,0,0,0
2300070,dl,5/14/2023,37000001,Inventory at Cost,-90000,Corniche Road Abudhabi,2023-5-29 22-16-36, ,0,0,0
2300071,dl,5/17/2023,60110001,Cogs1,7000,American European Medical Center-Abudhabi,2023-5-29 22-16-56, ,0,0,0
2300071,dl,5/17/2023,37000001,Inventory at Cost,-7000,American European Medical Center-Abudhabi,2023-5-29 22-16-56, ,0,0,0
2300072,dl,5/12/2023,60110001,Cogs1,46000,Fujairah United Arab Emirates,2023-5-29 22-17-16, ,0,0,0
2300072,dl,5/12/2023,37000001,Inventory at Cost,-46000,Fujairah United Arab Emirates,2023-5-29 22-17-16, ,0,0,0
2300073,dl,4/2/2023,60110001,Cogs1,74000,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,2023-5-29 22-17-32, ,0,0,0
2300073,dl,4/2/2023,37000001,Inventory at Cost,-74000,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,2023-5-29 22-17-32, ,0,0,0
2300074,dl,4/18/2023,60110001,Cogs1,4900,Sharjah United Arab Emirates,2023-5-29 22-17-55, ,0,0,0
2300074,dl,4/18/2023,37000001,Inventory at Cost,-4900,Sharjah United Arab Emirates,2023-5-29 22-17-55, ,0,0,0
2300075,dl,4/21/2023,60110001,Cogs1,17500,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,2023-5-29 22-18-7, ,0,0,0
2300075,dl,4/21/2023,37000001,Inventory at Cost,-17500,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,2023-5-29 22-18-7, ,0,0,0
2300076,dl,4/10/2023,60110001,Cogs1,5800,"khalidiya street,",2023-5-29 22-18-33, ,0,0,0
2300076,dl,4/10/2023,37000001,Inventory at Cost,-5800,"khalidiya street,",2023-5-29 22-18-33, ,0,0,0
2300077,dl,4/29/2023,60110001,Cogs1,39800,"Villa No 15, Al Karamah Street",2023-5-29 22-18-50, ,0,0,0
2300077,dl,4/29/2023,37000001,Inventory at Cost,-39800,"Villa No 15, Al Karamah Street",2023-5-29 22-18-50, ,0,0,0
2300078,dl,4/26/2023,60110001,Cogs1,14000,"Al walid Khalid Bin Khadim Bldg,",2023-5-29 22-19-3, ,0,0,0
2300078,dl,4/26/2023,37000001,Inventory at Cost,-14000,"Al walid Khalid Bin Khadim Bldg,",2023-5-29 22-19-3, ,0,0,0
2300079,dl,4/29/2023,60110001,Cogs1,20000,"Villa 813, Jumeirah Beach Road,",2023-5-29 22-19-17, ,0,0,0
2300079,dl,4/29/2023,37000001,Inventory at Cost,-20000,"Villa 813, Jumeirah Beach Road,",2023-5-29 22-19-17, ,0,0,0
2300080,dl,5/12/2023,60110001,Cogs1,9300,Al Hamrain Center Dubai United Arab Emirates,2023-5-29 22-19-31, ,0,0,0
2300080,dl,5/12/2023,37000001,Inventory at Cost,-9300,Al Hamrain Center Dubai United Arab Emirates,2023-5-29 22-19-31, ,0,0,0
2300081,dl,4/30/2023,60110001,Cogs1,38000,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,2023-5-29 22-19-49, ,0,0,0
2300081,dl,4/30/2023,37000001,Inventory at Cost,-38000,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,2023-5-29 22-19-49, ,0,0,0
2300082,dl,5/16/2023,60110001,Cogs1,67075,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,2023-5-29 22-20-6, ,0,0,0
2300082,dl,5/16/2023,37000001,Inventory at Cost,-67075,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,2023-5-29 22-20-6, ,0,0,0
2300083,dl,3/30/2023,60110001,Cogs1,102000,26th street Abu Dhabi United Arab Emirates,2023-5-29 22-20-22, ,0,0,0
2300083,dl,3/30/2023,37000001,Inventory at Cost,-102000,26th street Abu Dhabi United Arab Emirates,2023-5-29 22-20-22, ,0,0,0
2300084,dl,5/14/2023,60110001,Cogs1,5400,Business Central Tower Media City Dubai United Arab Emriates,2023-5-29 22-20-38, ,0,0,0
2300084,dl,5/14/2023,37000001,Inventory at Cost,-5400,Business Central Tower Media City Dubai United Arab Emriates,2023-5-29 22-20-38, ,0,0,0
2300085,dl,5/25/2023,60110001,Cogs1,12000,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,2023-5-29 22-20-56, ,0,0,0
2300085,dl,5/25/2023,37000001,Inventory at Cost,-12000,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,2023-5-29 22-20-56, ,0,0,0
2300086,dl,5/11/2023,60110001,Cogs1,6000,Dubai,2023-5-29 22-21-19, ,0,0,0
2300086,dl,5/11/2023,37000001,Inventory at Cost,-6000,Dubai,2023-5-29 22-21-19, ,0,0,0
2300087,dl,5/11/2023,60110001,Cogs1,59000,Nahda 2 Dubai United Arab Emirates,2023-5-29 22-21-40, ,0,0,0
2300087,dl,5/11/2023,37000001,Inventory at Cost,-59000,Nahda 2 Dubai United Arab Emirates,2023-5-29 22-21-40, ,0,0,0
2300088,dl,5/19/2023,60110001,Cogs1,136000,FujirahkhorfkanCornish area,2023-5-29 22-21-56, ,0,0,0
2300088,dl,5/19/2023,37000001,Inventory at Cost,-136000,FujirahkhorfkanCornish area,2023-5-29 22-21-56, ,0,0,0
2300089,dl,5/15/2023,60110001,Cogs1,51500,Zayed Sports City Airportroad Abudhabi,2023-5-29 22-22-14, ,0,0,0
2300089,dl,5/15/2023,37000001,Inventory at Cost,-51500,Zayed Sports City Airportroad Abudhabi,2023-5-29 22-22-14, ,0,0,0
2300090,dl,5/18/2023,60110001,Cogs1,54000,Deod Leaserto Al Jameya Pharmacy,2023-5-29 22-22-28, ,0,0,0
2300090,dl,5/18/2023,37000001,Inventory at Cost,-54000,Deod Leaserto Al Jameya Pharmacy,2023-5-29 22-22-28, ,0,0,0
