id,siRef,sno,itmCod,desc,qty,price,disc,tot,vat,traDate,action,unique,siDat,cusCode,cusName,spCode,spCName,dlRef,Sales,wac,supplier
2300032,2300032,1,10008001,DeodLeaser Hand Piece,2,2100,300,4095.0,195.0,2023-5-29 22-38-18,,2300029 10008001,2023-02-20,22310029.0,Al Jameya Pharmacy,365.0,Allen Joseph Anora,2300029,3900.0,3433.962264,Deod and Co LLC
2300032,2300032,2,10008000,DeodLeaser,1,15400,3400,12600.0,600.0,2023-5-29 22-38-18,,2300029 10008000,2023-02-20,22310029.0,Al Jameya Pharmacy,365.0,Allen Joseph Anora,2300029,12000.0,10566.03774,Deod and Co LLC
2300033,2300033,1,10018001,SVTA Radio Hand Pice 1,1,1680,280,1470.0,70.0,2023-5-29 22-38-31,,2300032 10018001,2023-02-22,22310102.0,Health &amp; Aesthetic Medical Center,417.0,Jaime  Endaya,2300032,1400.0,1148.717949,SPA and Co LLC
2300033,2300033,2,10018000,SVTA Radio,1,25200,3200,23100.0,1100.0,2023-5-29 22-38-31,,2300032 10018000,2023-02-22,22310102.0,Health &amp; Aesthetic Medical Center,417.0,Jaime  Endaya,2300032,22000.0,18051.28205,SPA and Co LLC
2300034,2300034,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,500,15645.0,745.0,2023-5-29 22-38-49,,2300037 10004001,2023-03-29,22310055.0,Al Noor Pharmacy,415.0,Tampos Antonio Magalona,2300037,14900.0,10932.91405,Skin for Life LLC
2300034,2300034,2,10004002,RF Fractional CO2 Laser - Accessories,3,1400,20,4389.0,209.0,2023-5-29 22-38-49,,2300037 10004002,2023-03-29,22310055.0,Al Noor Pharmacy,415.0,Tampos Antonio Magalona,2300037,4180.0,3067.085954,Skin for Life LLC
2300035,2300035,1,10008000,DeodLeaser,1,15400,3400,12600.0,600.0,2023-5-29 22-39-1,,2300036 10008000,2023-02-28,22310269.0,Flora Beauty Spa,1098.0,Joyson Joseph Kalaparambath,2300036,12000.0,10869.56522,Deod and Co LLC
2300035,2300035,2,10008001,DeodLeaser Hand Piece,1,2100,300,1890.0,90.0,2023-5-29 22-39-1,,2300036 10008001,2023-02-28,22310269.0,Flora Beauty Spa,1098.0,Joyson Joseph Kalaparambath,2300036,1800.0,1630.434783,Deod and Co LLC
2300036,2300036,1,10008001,DeodLeaser Hand Piece,2,2100,350,4042.5,192.5,2023-5-29 22-39-13,,2300034 10008001,2023-03-18,22310131.0,Ali Bin Ali Medical,418.0,Lucero Jackson Riconose,2300034,3850.0,3000.0,Deod and Co LLC
2300037,2300037,1,10019000,VCA Laser,1,39200,6200,34650.0,1650.0,2023-5-29 22-39-25,,2300035 10019000,2023-03-21,22310102.0,Health &amp; Aesthetic Medical Center,329.0,Sanjay Kumar Mandal,2300035,33000.0,28151.65877,VCA and Co LLC
2300037,2300037,2,10019001,VCA Leaser Hand Piece,2,40000,7500,76125.0,3625.0,2023-5-29 22-39-25,,2300035 10019001,2023-03-21,22310102.0,Health &amp; Aesthetic Medical Center,329.0,Sanjay Kumar Mandal,2300035,72500.0,61848.34123,VCA and Co LLC
2300038,2300038,1,10004000,RF Fractional CO2 Laser,2,81900,2900,168945.0,8045.0,2023-5-29 22-39-39,,2300039 10004000,2023-03-22,22310093.0,Women's Medical Center (Dr. Ameena),366.0,Franco Viola Parota,2300039,160900.0,117113.7849,Skin for Life LLC
2300038,2300038,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7770.0,370.0,2023-5-29 22-39-39,,2300039 10004001,2023-03-22,22310093.0,Women's Medical Center (Dr. Ameena),366.0,Franco Viola Parota,2300039,7400.0,5386.215092,Skin for Life LLC
2300039,2300039,1,10019000,VCA Laser,1,39200,3200,37800.0,1800.0,2023-5-29 22-39-50,,2300038 10019000,2023-03-18,22310097.0,Sahar Pharmacy,415.0,Tampos Antonio Magalona,2300038,36000.0,29500.0,VCA and Co LLC
2300039,2300039,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800.0,1800.0,2023-5-29 22-39-50,,2300038 10019001,2023-03-18,22310097.0,Sahar Pharmacy,415.0,Tampos Antonio Magalona,2300038,36000.0,29500.0,VCA and Co LLC
2300040,2300040,1,10013000,Jumia,1,25200,2200,24150.0,1150.0,2023-5-29 22-40-3,,2300041 10013000,2023-03-14,22310029.0,Al Jameya Pharmacy,418.0,Lucero Jackson Riconose,2300041,23000.0,17932.20339,Jumia and Co LLC
2300040,2300040,2,10014000,Konmision,1,39200,3200,37800.0,1800.0,2023-5-29 22-40-3,,2300041 10014000,2023-03-14,22310029.0,Al Jameya Pharmacy,418.0,Lucero Jackson Riconose,2300041,36000.0,28067.79661,Konmision and Co LLC
2300041,2300041,1,10018001,SVTA Radio Hand Pice 1,1,1680,360,1386.0,66.0,2023-5-29 22-40-15,,2300047 10018001,2023-03-29,22310286.0,Hamad Pharmacy,370.0,Ariel Abapo Naciogoyo,2300047,1320.0,1062.068966,SPA and Co LLC
2300041,2300041,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,4095.0,195.0,2023-5-29 22-40-15,,2300047 10018002,2023-03-29,22310286.0,Hamad Pharmacy,370.0,Ariel Abapo Naciogoyo,2300047,3900.0,3137.931034,SPA and Co LLC
2300042,2300042,1,10018001,SVTA Radio Hand Pice 1,3,1680,280,4998.0,238.0,2023-5-29 22-40-28,,2300040 10018001,2023-04-19,22310182.0,Spaces Spa Center,417.0,Jaime  Endaya,2300040,4760.0,3842.152466,SPA and Co LLC
2300042,2300042,2,10018000,SVTA Radio,1,25200,3200,23100.0,1100.0,2023-5-29 22-40-28,,2300040 10018000,2023-04-19,22310182.0,Spaces Spa Center,417.0,Jaime  Endaya,2300040,22000.0,17757.84753,SPA and Co LLC
2300043,2300043,1,10018004,SVTA Radio Hand Pice 4,3,1820,220,5502.0,262.0,2023-5-29 22-40-39,,2300042 10018004,2023-04-09,22310131.0,Ali Bin Ali Medical,417.0,Jaime  Endaya,2300042,5240.0,3889.761092,SPA and Co LLC
2300043,2300043,2,10018005,SVTA Radio Hand Pice 5,3,2240,240,6804.0,324.0,2023-5-29 22-40-39,,2300042 10018005,2023-04-09,22310131.0,Ali Bin Ali Medical,417.0,Jaime  Endaya,2300042,6480.0,4810.238908,SPA and Co LLC
2300044,2300044,1,10018004,SVTA Radio Hand Pice 4,1,1820,200,1701.0,81.0,2023-5-29 22-40-52,,2300043 10018004,2023-03-15,22310210.0,Al Burg Clinic,994.0,Michael Cadiang Manza,2300043,1620.0,1262.903226,SPA and Co LLC
2300044,2300044,2,10018005,SVTA Radio Hand Pice 5,1,2240,140,2205.0,105.0,2023-5-29 22-40-52,,2300043 10018005,2023-03-15,22310210.0,Al Burg Clinic,994.0,Michael Cadiang Manza,2300043,2100.0,1637.096774,SPA and Co LLC
2300045,2300045,1,10011000,Hydra Fresh,2,74200,15400,139650.0,6650.0,2023-5-29 22-41-2,,2300046 10011000,2023-03-17,22310182.0,Spaces Spa Center,709.0,Jinu Ambadan Jose,2300046,133000.0,108963.8554,Hydra and Co LLC
2300045,2300045,2,10012000,Hydra-new,1,16800,3800,13650.0,650.0,2023-5-29 22-41-2,,2300046 10012000,2023-03-17,22310182.0,Spaces Spa Center,709.0,Jinu Ambadan Jose,2300046,13000.0,10650.60241,Hydra and Co LLC
2300045,2300045,3,10013000,Jumia,1,25200,5200,21000.0,1000.0,2023-5-29 22-41-2,,2300046 10013000,2023-03-17,22310182.0,Spaces Spa Center,709.0,Jinu Ambadan Jose,2300046,20000.0,16385.54217,Jumia and Co LLC
2300046,2300046,1,10006000,Caviation Laser,1,24500,3500,22050.0,1050.0,2023-5-29 22-41-13,,2300049 10006000,2023-03-16,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300049,21000.0,17484.66258,Caviation Laser Co
2300046,2300046,2,10007000,Crio Lipo,1,36400,5400,32550.0,1550.0,2023-5-29 22-41-13,,2300049 10007000,2023-03-16,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300049,31000.0,25810.69238,Crio and Co LLC
2300046,2300046,3,10009001,G5 Slimming Applicators,2,2800,550,5302.5,252.5,2023-5-29 22-41-13,,2300049 10009001,2023-03-16,22310200.0,German Clinic FZ LLC,894.0,Dev Kumar Rai,2300049,5050.0,4204.645048,G5  and Co LLC
2300047,2300047,1,10001000,Microneedling RF,1,31465,2465,30450.0,1450.0,2023-5-29 22-41-26,,2300044 10001000,2023-04-18,22310280.0,Gulf Beauty Salon - Abu Dhabi,709.0,Jinu Ambadan Jose,2300044,29000.0,23969.6243,Adss Laser Co
2300047,2300047,2,10001001,Microneedling RF - HandPiece,1,4725,2450,2388.75,113.75,2023-5-29 22-41-26,,2300044 10001001,2023-04-18,22310280.0,Gulf Beauty Salon - Abu Dhabi,709.0,Jinu Ambadan Jose,2300044,2275.0,1880.375699,Adss Laser Co
2300048,2300048,1,10012000,Hydra-new,1,16800,280,17346.0,826.0,2023-5-29 22-41-37,,2300045 10012000,2023-04-20,22310269.0,Flora Beauty Spa,366.0,Franco Viola Parota,2300045,16520.0,12866.04361,Hydra and Co LLC
2300048,2300048,2,10013000,Jumia,1,25200,3200,23100.0,1100.0,2023-5-29 22-41-37,,2300045 10013000,2023-04-20,22310269.0,Flora Beauty Spa,366.0,Franco Viola Parota,2300045,22000.0,17133.95639,Jumia and Co LLC
2300049,2300049,1,10018005,SVTA Radio Hand Pice 5,2,2240,4800,-336.0,-16.0,2023-5-29 22-41-51,,2300048 10018005,2023-03-04,22310280.0,Gulf Beauty Salon - Abu Dhabi,1138.0,Jessie Tolntion Matitu,2300048,-320.0,-293.9242316,SPA and Co LLC
2300049,2300049,2,10018006,SVTA Radio Hand Pice 6,1,2380,0,2499.0,119.0,2023-5-29 22-41-51,,2300048 10018006,2023-03-04,22310280.0,Gulf Beauty Salon - Abu Dhabi,1138.0,Jessie Tolntion Matitu,2300048,2380.0,2186.061472,SPA and Co LLC
