id,siRef,sno,itmCod,desc,qty,price,disc,tot,vat,traDate,action,unique,siDat,cusCode,cusName,spCode,spCName,dlRef,wac
2300005,2300005,1,10018007,SVTA Radio Hand Pice 7,2,2520,500,4767,227,2023-5-29 22-28-59,,2300007 10018007,2/28/2023,22310097,Sahar Pharmacy,365,Allen Joseph Anora,2300007,3691.548
2300005,2300005,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1438.5,68.5,2023-5-29 22-28-59,,2300007 10018008,2/28/2023,22310097,Sahar Pharmacy,365,Allen Joseph Anora,2300007,1018.43
2300005,2300005,3,10018000,SVTA Radio,1,25200,3200,23100,1100,2023-5-29 22-28-59,,2300007 10018000,2/28/2023,22310097,Sahar Pharmacy,365,Allen Joseph Anora,2300007,18709.74
2300006,2300006,1,10018003,SVTA Radio Hand Pice 3,3,1960,1880,4200,200,2023-5-29 22-29-9,,2300005 10018003,2/17/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300005,4306.806
2300006,2300006,2,10018004,SVTA Radio Hand Pice 4,1,1820,320,1575,75,2023-5-29 22-29-9,,2300005 10018004,2/17/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300005,1323.959
2300007,2300007,1,10008000,DeodLeaser,1,15400,300,15855,755,2023-5-29 22-29-30,,2300006 10008000,1/23/2023,22310029,Al Jameya Pharmacy,370,Ariel Abapo Naciogoyo,2300006,11125.73
2300007,2300007,2,10009001,G5 Slimming Applicators,1,2800,255,2672.25,127.25,2023-5-29 22-29-30,,2300006 10009001,1/23/2023,22310029,Al Jameya Pharmacy,370,Ariel Abapo Naciogoyo,2300006,2050.86
2300007,2300007,3,10014000,Konmision,1,39200,1200,39900,1900,2023-5-29 22-29-30,,2300006 10014000,1/23/2023,22310029,Al Jameya Pharmacy,370,Ariel Abapo Naciogoyo,2300006,29104.04
2300008,2300008,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,500,7560,360,2023-5-29 22-29-42,,2300010 10004001,2/5/2023,22310097,Sahar Pharmacy,415,Tampos Antonio Magalona,2300010,5601.365
2300008,2300008,2,10004002,RF Fractional CO2 Laser - Accessories,2,1400,20,2919,139,2023-5-29 22-29-42,,2300010 10004002,2/5/2023,22310097,Sahar Pharmacy,415,Tampos Antonio Magalona,2300010,2078.86
2300009,2300009,1,10007000,Crio Lipo,1,36400,3400,34650,1650,2023-5-29 22-29-56,,2300008 10007000,2/12/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300008,26479.18
2300009,2300009,2,10008001,DeodLeaser Hand Piece,3,2100,1300,5250,250,2023-5-29 22-29-56,,2300008 10008001,2/12/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300008,4677.435
2300010,2300010,1,10007000,Crio Lipo,1,36400,4400,33600,1600,2023-5-29 22-30-10,,2300009 10007000,2/8/2023,22310131,Ali Bin Ali Medical,329,Sanjay Kumar Mandal,2300009,26479.18
2300010,2300010,2,10008001,DeodLeaser Hand Piece,1,2100,300,1890,90,2023-5-29 22-30-10,,2300009 10008001,2/8/2023,22310131,Ali Bin Ali Medical,329,Sanjay Kumar Mandal,2300009,1559.145
2300011,2300011,1,10008000,DeodLeaser,1,15400,2400,13650,650,2023-5-29 22-30-22,,2300012 10008000,2/2/2023,22310133,Al Samnan Clinic,598,Allen Madrid Gomez,2300012,11125.73
2300011,2300011,2,10009001,G5 Slimming Applicators,1,2800,240,2688,128,2023-5-29 22-30-22,,2300012 10009001,2/2/2023,22310133,Al Samnan Clinic,598,Allen Madrid Gomez,2300012,2050.86
2300012,2300012,1,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680,80,2023-5-29 22-30-43,,2300011 10018004,2/24/2023,22310093,Women's Medical Center (Dr. Ameena),417,Jaime  Endaya,2300011,1323.959
2300012,2300012,2,10018005,SVTA Radio Hand Pice 5,1,2240,240,2100,100,2023-5-29 22-30-43,,2300011 10018005,2/24/2023,22310093,Women's Medical Center (Dr. Ameena),417,Jaime  Endaya,2300011,1663.088
2300013,2300013,1,10018000,SVTA Radio,1,25200,500,25935,1235,2023-5-29 22-30-53,,2300015 10018000,2/3/2023,22310131,Ali Bin Ali Medical,1008,Jalil Khadim Hussain,2300015,18709.74
2300013,2300013,2,10018001,SVTA Radio Hand Pice 1,1,1680,180,1575,75,2023-5-29 22-30-53,,2300015 10018001,2/3/2023,22310131,Ali Bin Ali Medical,1008,Jalil Khadim Hussain,2300015,1247.316
2300013,2300013,3,10018002,SVTA Radio Hand Pice 2,1,2100,200,1995,95,2023-5-29 22-30-53,,2300015 10018002,2/3/2023,22310131,Ali Bin Ali Medical,1008,Jalil Khadim Hussain,2300015,1517.145
2300013,2300013,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1858.5,88.5,2023-5-29 22-30-53,,2300015 10018003,2/3/2023,22310131,Ali Bin Ali Medical,1008,Jalil Khadim Hussain,2300015,1435.602
2300013,2300013,5,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680,80,2023-5-29 22-30-53,,2300015 10018004,2/3/2023,22310131,Ali Bin Ali Medical,1008,Jalil Khadim Hussain,2300015,1323.959
2300014,2300014,1,10017000,SPA Slim,1,8400,400,8400,400,2023-5-29 22-31-7,,2300013 10017000,3/16/2023,22310093,Women's Medical Center (Dr. Ameena),370,Ariel Abapo Naciogoyo,2300013,6110.58
2300014,2300014,2,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150,150,2023-5-29 22-31-7,,2300013 10018001,3/16/2023,22310093,Women's Medical Center (Dr. Ameena),370,Ariel Abapo Naciogoyo,2300013,2494.632
2300015,2300015,1,10006000,Caviation Laser,2,24500,6000,45150,2150,2023-5-29 22-31-23,,2300016 10006000,2/15/2023,22310269,Flora Beauty Spa,1098,Joyson Joseph Kalaparambath,2300016,35890.05
2300016,2300016,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7350,350,2023-5-29 22-31-35,,2300014 10004001,2/14/2023,22310131,Ali Bin Ali Medical,418,Lucero Jackson Riconose,2300014,5601.365
2300016,2300016,2,10004002,RF Fractional CO2 Laser - Accessories,4,1400,1600,4200,200,2023-5-29 22-31-35,,2300014 10004002,2/14/2023,22310131,Ali Bin Ali Medical,418,Lucero Jackson Riconose,2300014,4157.72
2300017,2300017,1,10011000,Hydra Fresh,1,74200,14200,63000,3000,2023-5-29 22-31-46,,2300018 10011000,2/12/2023,22310439,NAS Medical,370,Ariel Abapo Naciogoyo,2300018,53605.79
2300017,2300017,2,10013000,Jumia,1,25200,5200,21000,1000,2023-5-29 22-31-46,,2300018 10013000,2/12/2023,22310439,NAS Medical,370,Ariel Abapo Naciogoyo,2300018,18331.74
2300017,2300017,3,10016000,My Ultrasonic,2,9800,1600,18900,900,2023-5-29 22-31-46,,2300018 10016000,2/12/2023,22310439,NAS Medical,370,Ariel Abapo Naciogoyo,2300018,14356.02
2300018,2300018,1,10019000,VCA Laser,1,39200,3200,37800,1800,2023-5-29 22-31-59,,2300017 10019000,2/20/2023,22310207,Delta Pharmacy,981,Raj Kumar Giri,2300017,28320.04
2300018,2300018,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800,1800,2023-5-29 22-31-59,,2300017 10019001,2/20/2023,22310207,Delta Pharmacy,981,Raj Kumar Giri,2300017,31788.33
2300019,2300019,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,43050,2050,2023-5-29 22-33-50,,2300020 10003000,2/25/2023,22310055,Al Noor Pharmacy,366,Franco Viola Parota,2300020,35028.791
2300019,2300019,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,3,6300,3900,15750,750,2023-5-29 22-33-50,,2300020 10003001,2/25/2023,22310055,Al Noor Pharmacy,366,Franco Viola Parota,2300020,13654.305
2300020,2300020,1,10012000,Hydra-new,1,16800,280,17346,826,2023-5-29 22-34-2,,2300019 10012000,2/21/2023,22310133,Al Samnan Clinic,366,Franco Viola Parota,2300019,12305.16
2300020,2300020,2,10013000,Jumia,1,25200,3200,23100,1100,2023-5-29 22-34-2,,2300019 10013000,2/21/2023,22310133,Al Samnan Clinic,366,Franco Viola Parota,2300019,18331.74
2300021,2300021,1,10018003,SVTA Radio Hand Pice 3,3,1960,880,5250,250,2023-5-29 22-34-15,,2300023 10018003,3/16/2023,22310093,Women's Medical Center (Dr. Ameena),370,Ariel Abapo Naciogoyo,2300023,4306.806
2300021,2300021,2,10018004,SVTA Radio Hand Pice 4,1,1820,220,1680,80,2023-5-29 22-34-15,,2300023 10018004,3/16/2023,22310093,Women's Medical Center (Dr. Ameena),370,Ariel Abapo Naciogoyo,2300023,1323.959
2300022,2300022,1,10018005,SVTA Radio Hand Pice 5,1,2240,240,2100,100,2023-5-29 22-36-3,,2300021 10018005,2/12/2023,22310210,Al Burg Clinic,994,Michael Cadiang Manza,2300021,1663.088
2300022,2300022,2,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3150,150,2023-5-29 22-36-3,,2300021 10018006,2/12/2023,22310210,Al Burg Clinic,994,Michael Cadiang Manza,2300021,3438.862
2300023,2300023,1,10018000,SVTA Radio,2,25200,4400,48300,2300,2023-5-29 22-36-27,,2300022 10018000,2/4/2023,22310269,Flora Beauty Spa,366,Franco Viola Parota,2300022,37419.48
2300023,2300023,2,10019000,VCA Laser,1,39200,320,40824,1944,2023-5-29 22-36-27,,2300022 10019000,2/4/2023,22310269,Flora Beauty Spa,366,Franco Viola Parota,2300022,28320.04
2300024,2300024,1,10019000,VCA Laser,2,39200,9400,72450,3450,2023-5-29 22-36-40,,2300026 10019000,3/5/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300026,56640.08
2300024,2300024,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800,1800,2023-5-29 22-36-40,,2300026 10019001,3/5/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300026,31788.33
2300025,2300025,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 22-36-52,,2300024 10001000,2/16/2023,22310182,Spaces Spa Center,709,Jinu Ambadan Jose,2300024,22731.88925
2300025,2300025,2,10001001,Microneedling RF - HandPiece,2,4725,2450,7350,350,2023-5-29 22-36-52,,2300024 10001001,2/16/2023,22310182,Spaces Spa Center,709,Jinu Ambadan Jose,2300024,6921.6525
2300026,2300026,1,10016000,My Ultrasonic,2,9800,2600,17850,850,2023-5-29 22-37-4,,2300025 10016000,3/21/2023,22310133,Al Samnan Clinic,598,Allen Madrid Gomez,2300025,14356.02
2300027,2300027,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3150,150,2023-5-29 22-37-16,,2300028 10018001,3/15/2023,22310055,Al Noor Pharmacy,365,Allen Joseph Anora,2300028,2494.632
2300027,2300027,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1890,90,2023-5-29 22-37-16,,2300028 10018002,3/15/2023,22310055,Al Noor Pharmacy,365,Allen Joseph Anora,2300028,1517.145
2300028,2300028,1,10015000,Mickcara,1,43400,4400,40950,1950,2023-5-29 22-37-33,,2300030 10015000,3/2/2023,22310097,Sahar Pharmacy,415,Tampos Antonio Magalona,2300030,31354.33
2300028,2300028,2,10016000,My Ultrasonic,2,9800,3600,16800,800,2023-5-29 22-37-33,,2300030 10016000,3/2/2023,22310097,Sahar Pharmacy,415,Tampos Antonio Magalona,2300030,14356.02
2300029,2300029,1,10008001,DeodLeaser Hand Piece,2,2100,300,4095,195,2023-5-29 22-37-45,,2300031 10008001,2/11/2023,22310252,Faith Pharmacy,1008,Jalil Khadim Hussain,2300031,3118.29
2300030,2300030,1,10004000,RF Fractional CO2 Laser,1,81900,3900,81900,3900,2023-5-29 22-37-56,,2300033 10004000,3/1/2023,22310207,Delta Pharmacy,981,Raj Kumar Giri,2300033,59987.655
2300031,2300031,1,10009000,G5 Slimming,1,51800,3800,50400,2400,2023-5-29 22-38-7,,2300027 10009000,2/3/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300027,37681.91
2300031,2300031,2,10009001,G5 Slimming Applicators,3,2800,1400,7350,350,2023-5-29 22-38-7,,2300027 10009001,2/3/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300027,6152.58
2300031,2300031,3,10010000,Hiemt A,1,85400,4400,85050,4050,2023-5-29 22-38-7,,2300027 10010000,2/3/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300027,63405.23
2300032,2300032,1,10008001,DeodLeaser Hand Piece,2,2100,300,4095,195,2023-5-29 22-38-18,,2300029 10008001,2/20/2023,22310029,Al Jameya Pharmacy,365,Allen Joseph Anora,2300029,3118.29
2300032,2300032,2,10008000,DeodLeaser,1,15400,3400,12600,600,2023-5-29 22-38-18,,2300029 10008000,2/20/2023,22310029,Al Jameya Pharmacy,365,Allen Joseph Anora,2300029,11125.73
2300033,2300033,1,10018001,SVTA Radio Hand Pice 1,1,1680,280,1470,70,2023-5-29 22-38-31,,2300032 10018001,2/22/2023,22310102,Health &amp; Aesthetic Medical Center,417,Jaime  Endaya,2300032,1247.316
2300033,2300033,2,10018000,SVTA Radio,1,25200,3200,23100,1100,2023-5-29 22-38-31,,2300032 10018000,2/22/2023,22310102,Health &amp; Aesthetic Medical Center,417,Jaime  Endaya,2300032,18709.74
2300034,2300034,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,500,15645,745,2023-5-29 22-38-49,,2300037 10004001,3/29/2023,22310055,Al Noor Pharmacy,415,Tampos Antonio Magalona,2300037,11202.73
2300034,2300034,2,10004002,RF Fractional CO2 Laser - Accessories,3,1400,20,4389,209,2023-5-29 22-38-49,,2300037 10004002,3/29/2023,22310055,Al Noor Pharmacy,415,Tampos Antonio Magalona,2300037,3118.29
2300035,2300035,1,10008000,DeodLeaser,1,15400,3400,12600,600,2023-5-29 22-39-1,,2300036 10008000,2/28/2023,22310269,Flora Beauty Spa,1098,Joyson Joseph Kalaparambath,2300036,11125.73
2300035,2300035,2,10008001,DeodLeaser Hand Piece,1,2100,300,1890,90,2023-5-29 22-39-1,,2300036 10008001,2/28/2023,22310269,Flora Beauty Spa,1098,Joyson Joseph Kalaparambath,2300036,1559.145
2300036,2300036,1,10008001,DeodLeaser Hand Piece,2,2100,350,4042.5,192.5,2023-5-29 22-39-13,,2300034 10008001,3/18/2023,22310131,Ali Bin Ali Medical,418,Lucero Jackson Riconose,2300034,3118.29
2300037,2300037,1,10019000,VCA Laser,1,39200,6200,34650,1650,2023-5-29 22-39-25,,2300035 10019000,3/21/2023,22310102,Health &amp; Aesthetic Medical Center,329,Sanjay Kumar Mandal,2300035,28320.04
2300037,2300037,2,10019001,VCA Leaser Hand Piece,2,40000,7500,76125,3625,2023-5-29 22-39-25,,2300035 10019001,3/21/2023,22310102,Health &amp; Aesthetic Medical Center,329,Sanjay Kumar Mandal,2300035,63576.66
2300038,2300038,1,10004000,RF Fractional CO2 Laser,2,81900,2900,168945,8045,2023-5-29 22-39-39,,2300039 10004000,3/22/2023,22310093,Women's Medical Center (Dr. Ameena),366,Franco Viola Parota,2300039,119975.31
2300038,2300038,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7770,370,2023-5-29 22-39-39,,2300039 10004001,3/22/2023,22310093,Women's Medical Center (Dr. Ameena),366,Franco Viola Parota,2300039,5601.365
2300039,2300039,1,10019000,VCA Laser,1,39200,3200,37800,1800,2023-5-29 22-39-50,,2300038 10019000,3/18/2023,22310097,Sahar Pharmacy,415,Tampos Antonio Magalona,2300038,28320.04
2300039,2300039,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800,1800,2023-5-29 22-39-50,,2300038 10019001,3/18/2023,22310097,Sahar Pharmacy,415,Tampos Antonio Magalona,2300038,31788.33
2300040,2300040,1,10013000,Jumia,1,25200,2200,24150,1150,2023-5-29 22-40-3,,2300041 10013000,3/14/2023,22310029,Al Jameya Pharmacy,418,Lucero Jackson Riconose,2300041,18331.74
2300040,2300040,2,10014000,Konmision,1,39200,3200,37800,1800,2023-5-29 22-40-3,,2300041 10014000,3/14/2023,22310029,Al Jameya Pharmacy,418,Lucero Jackson Riconose,2300041,29104.04
2300041,2300041,1,10018001,SVTA Radio Hand Pice 1,1,1680,360,1386,66,2023-5-29 22-40-15,,2300047 10018001,3/29/2023,22310286,Hamad Pharmacy,370,Ariel Abapo Naciogoyo,2300047,1247.316
2300041,2300041,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,4095,195,2023-5-29 22-40-15,,2300047 10018002,3/29/2023,22310286,Hamad Pharmacy,370,Ariel Abapo Naciogoyo,2300047,3034.29
2300042,2300042,1,10018001,SVTA Radio Hand Pice 1,3,1680,280,4998,238,2023-5-29 22-40-28,,2300040 10018001,4/19/2023,22310182,Spaces Spa Center,417,Jaime  Endaya,2300040,3741.948
2300042,2300042,2,10018000,SVTA Radio,1,25200,3200,23100,1100,2023-5-29 22-40-28,,2300040 10018000,4/19/2023,22310182,Spaces Spa Center,417,Jaime  Endaya,2300040,18709.74
2300043,2300043,1,10018004,SVTA Radio Hand Pice 4,3,1820,220,5502,262,2023-5-29 22-40-39,,2300042 10018004,4/9/2023,22310131,Ali Bin Ali Medical,417,Jaime  Endaya,2300042,3971.877
2300043,2300043,2,10018005,SVTA Radio Hand Pice 5,3,2240,240,6804,324,2023-5-29 22-40-39,,2300042 10018005,4/9/2023,22310131,Ali Bin Ali Medical,417,Jaime  Endaya,2300042,4989.264
2300044,2300044,1,10018004,SVTA Radio Hand Pice 4,1,1820,200,1701,81,2023-5-29 22-40-52,,2300043 10018004,3/15/2023,22310210,Al Burg Clinic,994,Michael Cadiang Manza,2300043,1323.959
2300044,2300044,2,10018005,SVTA Radio Hand Pice 5,1,2240,140,2205,105,2023-5-29 22-40-52,,2300043 10018005,3/15/2023,22310210,Al Burg Clinic,994,Michael Cadiang Manza,2300043,1663.088
2300045,2300045,1,10011000,Hydra Fresh,2,74200,15400,139650,6650,2023-5-29 22-41-2,,2300046 10011000,3/17/2023,22310182,Spaces Spa Center,709,Jinu Ambadan Jose,2300046,107211.58
2300045,2300045,2,10012000,Hydra-new,1,16800,3800,13650,650,2023-5-29 22-41-2,,2300046 10012000,3/17/2023,22310182,Spaces Spa Center,709,Jinu Ambadan Jose,2300046,12305.16
2300045,2300045,3,10013000,Jumia,1,25200,5200,21000,1000,2023-5-29 22-41-2,,2300046 10013000,3/17/2023,22310182,Spaces Spa Center,709,Jinu Ambadan Jose,2300046,18331.74
2300046,2300046,1,10006000,Caviation Laser,1,24500,3500,22050,1050,2023-5-29 22-41-13,,2300049 10006000,3/16/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300049,17945.025
2300046,2300046,2,10007000,Crio Lipo,1,36400,5400,32550,1550,2023-5-29 22-41-13,,2300049 10007000,3/16/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300049,26479.18
2300046,2300046,3,10009001,G5 Slimming Applicators,2,2800,550,5302.5,252.5,2023-5-29 22-41-13,,2300049 10009001,3/16/2023,22310200,German Clinic FZ LLC,894,Dev Kumar Rai,2300049,4101.72
2300047,2300047,1,10001000,Microneedling RF,1,31465,2465,30450,1450,2023-5-29 22-41-26,,2300044 10001000,4/18/2023,22310280,Gulf Beauty Salon - Abu Dhabi,709,Jinu Ambadan Jose,2300044,22731.88925
2300047,2300047,2,10001001,Microneedling RF - HandPiece,1,4725,2450,2388.75,113.75,2023-5-29 22-41-26,,2300044 10001001,4/18/2023,22310280,Gulf Beauty Salon - Abu Dhabi,709,Jinu Ambadan Jose,2300044,3460.82625
2300048,2300048,1,10012000,Hydra-new,1,16800,280,17346,826,2023-5-29 22-41-37,,2300045 10012000,4/20/2023,22310269,Flora Beauty Spa,366,Franco Viola Parota,2300045,12305.16
2300048,2300048,2,10013000,Jumia,1,25200,3200,23100,1100,2023-5-29 22-41-37,,2300045 10013000,4/20/2023,22310269,Flora Beauty Spa,366,Franco Viola Parota,2300045,18331.74
2300049,2300049,1,10018005,SVTA Radio Hand Pice 5,2,2240,4800,-336,-16,2023-5-29 22-41-51,,2300048 10018005,3/4/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300048,3326.176
2300049,2300049,2,10018006,SVTA Radio Hand Pice 6,1,2380,0,2499,119,2023-5-29 22-41-51,,2300048 10018006,3/4/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300048,1719.431
2300049,2300049,3,10018007,SVTA Radio Hand Pice 7,1,2520,0,2646,126,2023-5-29 22-41-51,,2300048 10018007,3/4/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300048,1845.774
2300049,2300049,4,10018008,SVTA Radio Hand Pice 8,1,1400,0,1470,70,2023-5-29 22-41-51,,2300048 10018008,3/4/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300048,1018.43
2300049,2300049,5,10018000,SVTA Radio,1,25200,3200,23100,1100,2023-5-29 22-41-51,,2300048 10018000,3/4/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300048,18709.74
2300050,2300050,1,10007000,Crio Lipo,1,36400,3400,34650,1650,2023-6-3 12-31-9,,2300052 10007000,4/12/2023,22310298,HANI Pharmacy Abu Dhabi,894,Dev Kumar Rai,2300052,26479.18
2300050,2300050,2,10008001,DeodLeaser Hand Piece,2,2100,1300,3045,145,2023-6-3 12-31-9,,2300052 10008001,4/12/2023,22310298,HANI Pharmacy Abu Dhabi,894,Dev Kumar Rai,2300052,3118.29
2300051,2300051,1,10008000,DeodLeaser,1,15400,2400,13650,650,2023-6-3 12-31-23,,2300050 10008000,3/27/2023,22310252,Faith Pharmacy,598,Allen Madrid Gomez,2300050,11125.73
2300051,2300051,2,10009001,G5 Slimming Applicators,1,2800,240,2688,128,2023-6-3 12-31-23,,2300050 10009001,3/27/2023,22310252,Faith Pharmacy,598,Allen Madrid Gomez,2300050,2050.86
2300052,2300052,1,10001000,Microneedling RF,1,31465,3465,29400,1400,2023-6-3 12-31-44,,2300051 10001000,3/13/2023,22310210,Al Burg Clinic,994,Michael Cadiang Manza,2300051,22731.88925
2300052,2300052,2,10001001,Microneedling RF - HandPiece,3,4725,2175,12600,600,2023-6-3 12-31-44,,2300051 10001001,3/13/2023,22310210,Al Burg Clinic,994,Michael Cadiang Manza,2300051,10382.47875
2300053,2300053,1,10018007,SVTA Radio Hand Pice 7,2,2520,1040,4200,200,2023-6-3 12-32-3,,2300055 10018007,3/3/2023,22310252,Faith Pharmacy,1008,Jalil Khadim Hussain,2300055,3691.548
2300053,2300053,2,10018008,SVTA Radio Hand Pice 8,1,1400,350,1102.5,52.5,2023-6-3 12-32-3,,2300055 10018008,3/3/2023,22310252,Faith Pharmacy,1008,Jalil Khadim Hussain,2300055,1018.43
2300054,2300054,1,10016000,My Ultrasonic,1,9800,1800,8400,400,2023-6-3 12-32-22,,2300053 10016000,3/2/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300053,7178.01
2300054,2300054,2,10017000,SPA Slim,1,8400,1400,7350,350,2023-6-3 12-32-22,,2300053 10017000,3/2/2023,22310280,Gulf Beauty Salon - Abu Dhabi,1138,Jessie Tolntion Matitu,2300053,6110.58
2300055,2300055,1,10008000,DeodLeaser,1,15400,300,15855,755,2023-6-3 12-32-41,,2300057 10008000,3/23/2023,22310097,Sahar Pharmacy,370,Ariel Abapo Naciogoyo,2300057,11125.73
2300055,2300055,2,10009001,G5 Slimming Applicators,2,2800,255,5612.25,267.25,2023-6-3 12-32-41,,2300057 10009001,3/23/2023,22310097,Sahar Pharmacy,370,Ariel Abapo Naciogoyo,2300057,4101.72
2300055,2300055,3,10014000,Konmision,1,39200,1200,39900,1900,2023-6-3 12-32-41,,2300057 10014000,3/23/2023,22310097,Sahar Pharmacy,370,Ariel Abapo Naciogoyo,2300057,29104.04
2300056,2300056,1,10019000,VCA Laser,1,39200,3200,37800,1800,2023-6-3 12-32-54,,2300054 10019000,4/13/2023,22310359,Life Pharmacy LLC,981,Raj Kumar Giri,2300054,28320.04
2300056,2300056,2,10019001,VCA Leaser Hand Piece,1,40000,4000,37800,1800,2023-6-3 12-32-54,,2300054 10019001,4/13/2023,22310359,Life Pharmacy LLC,981,Raj Kumar Giri,2300054,31788.33
2300057,2300057,1,10011000,Hydra Fresh,1,74200,14200,63000,3000,2023-6-3 12-33-5,,2300056 10011000,4/15/2023,22310747,Marjan Beauty Saloon JLT,370,Ariel Abapo Naciogoyo,2300056,53605.79
2300057,2300057,2,10013000,Jumia,1,25200,5200,21000,1000,2023-6-3 12-33-5,,2300056 10013000,4/15/2023,22310747,Marjan Beauty Saloon JLT,370,Ariel Abapo Naciogoyo,2300056,18331.74
2300057,2300057,3,10016000,My Ultrasonic,1,9800,1600,8610,410,2023-6-3 12-33-5,,2300056 10016000,4/15/2023,22310747,Marjan Beauty Saloon JLT,370,Ariel Abapo Naciogoyo,2300056,7178.01
2300058,2300058,1,10017000,SPA Slim,1,8400,400,8400,400,2023-6-3 12-33-20,,2300060 10017000,5/13/2023,22310827,Al Soor Pharmacy LLC,370,Ariel Abapo Naciogoyo,2300060,6110.58
