qotRefSt,opnCloSt,traDate,action
2300092,Open,2023-5-28 4-25-19,
2300093,Open,2023-5-28 4-25-21,
2300094,Open,2023-5-28 4-25-23,
2300095,Open,2023-5-28 4-25-25,
2300096,Open,2023-5-28 4-25-27,
2300097,Open,2023-5-28 4-25-29,
2300098,Open,2023-5-28 4-25-31,
2300099,Open,2023-5-28 4-25-33,
2300100,Open,2023-5-28 4-25-35,
2300101,Open,2023-5-28 4-25-37,
2300102,Open,2023-5-28 4-25-39,
2300103,Open,2023-5-28 4-25-41,
2300104,Open,2023-5-28 4-25-43,
2300105,Open,2023-5-28 4-25-45,
2300106,Open,2023-5-28 4-25-47,
2300107,Open,2023-5-28 4-25-49,
2300108,Open,2023-5-28 4-25-51,
2300109,Open,2023-5-28 4-25-53,
2300110,Open,2023-5-28 4-25-55,
2300111,Open,2023-5-28 4-25-57,
2300112,Open,2023-5-28 4-25-59,
2300113,Open,2023-5-28 4-26-1,
2300114,Open,2023-5-28 4-26-3,
2300115,Open,2023-5-28 4-26-5,
2300116,Open,2023-5-28 4-26-7,
2300117,Open,2023-5-28 4-26-9,
2300118,Open,2023-5-28 4-26-11,
2300119,Open,2023-5-28 4-26-13,
2300120,Open,2023-5-28 4-26-15,
2300121,Open,2023-5-28 4-26-17,
2300122,Open,2023-5-28 4-26-19,
2300123,Open,2023-5-28 4-26-21,
2300124,Open,2023-5-28 4-26-23,
2300125,Open,2023-5-28 4-26-25,
2300126,Open,2023-5-28 4-26-27,
2300127,Open,2023-5-28 4-26-29,
2300128,Open,2023-5-28 4-26-31,
2300129,Open,2023-5-28 4-26-33,
2300130,Open,2023-5-28 4-26-35,
2300131,Open,2023-5-28 4-26-37,
2300132,Open,2023-5-28 4-26-39,
2300133,Open,2023-5-28 4-26-41,
2300134,Open,2023-5-28 4-26-43,
2300135,Open,2023-5-28 4-26-45,
2300136,Open,2023-5-28 4-26-47,
2300137,Open,2023-5-28 4-26-49,
2300138,Open,2023-5-28 4-26-51,
2300139,Open,2023-5-28 4-26-53,
2300140,Open,2023-5-28 4-26-55,
2300141,Open,2023-5-28 4-26-57,
2300142,Open,2023-5-28 4-26-59,
2300143,Open,2023-5-28 4-27-2,
2300144,Open,2023-5-28 4-27-4,
2300145,Open,2023-5-28 4-27-6,
2300146,Open,2023-5-28 4-27-8,
2300147,Open,2023-5-28 4-27-10,
2300148,Open,2023-5-28 4-27-12,
2300149,Open,2023-5-28 4-27-14,
2300150,Open,2023-5-28 4-27-16,
2300151,Open,2023-5-28 4-27-18,
2300152,Open,2023-5-28 4-27-20,
2300153,Open,2023-5-28 4-27-22,
2300154,Open,2023-5-28 4-27-24,
2300155,Open,2023-5-28 4-27-26,
2300156,Open,2023-5-28 4-27-28,
2300157,Open,2023-5-28 4-27-30,
2300158,Open,2023-5-28 4-27-32,
2300159,Open,2023-5-28 4-27-34,
2300160,Open,2023-5-28 4-27-36,
2300161,Open,2023-5-28 4-27-38,
2300162,Open,2023-5-28 4-27-40,
2300163,Open,2023-5-28 4-27-42,
2300164,Open,2023-5-28 4-27-44,
2300165,Open,2023-5-28 4-27-46,
2300166,Open,2023-5-28 4-27-48,
2300167,Open,2023-5-28 4-27-50,
2300168,Open,2023-5-28 4-27-52,
2300169,Open,2023-5-28 4-27-54,
2300170,Open,2023-5-28 4-27-56,
2300171,Open,2023-5-28 4-27-58,
2300172,Open,2023-5-28 4-28-1,
2300173,Open,2023-5-28 4-28-3,
2300174,Open,2023-5-28 4-28-5,
2300175,Open,2023-5-28 4-28-7,
2300176,Open,2023-5-28 4-28-9,
2300177,Open,2023-5-28 4-28-11,
2300178,Open,2023-5-28 4-28-13,
2300179,Open,2023-5-28 4-28-15,
2300180,Open,2023-5-28 4-28-17,
2300181,Open,2023-5-28 4-28-19,
2300182,Open,2023-5-28 4-28-21,
2300183,Open,2023-5-28 4-28-23,
2300184,Open,2023-5-28 4-28-25,
2300185,Open,2023-5-28 4-28-27,
2300186,Open,2023-5-28 4-28-29,
2300187,Open,2023-5-28 4-28-31,
2300188,Open,2023-5-28 4-28-33,
2300189,Open,2023-5-28 4-28-35,
2300190,Open,2023-5-28 4-28-37,
2300191,Open,2023-5-28 4-28-39,
2300192,Open,2023-5-28 4-28-41,
2300193,Open,2023-5-28 4-28-43,
2300194,Open,2023-5-28 4-28-45,
2300195,Open,2023-5-28 4-28-47,
2300196,Open,2023-5-28 4-28-49,
2300197,Open,2023-5-28 4-28-51,
2300198,Open,2023-5-28 4-28-53,
2300199,Open,2023-5-28 4-28-55,
2300200,Open,2023-5-28 4-28-57,
2300201,Open,2023-5-28 4-28-59,
2300202,Open,2023-5-28 4-29-2,
2300203,Open,2023-5-28 4-29-4,
2300204,Open,2023-5-28 4-29-6,
2300205,Open,2023-5-28 4-29-8,
2300206,Open,2023-5-28 4-29-10,
2300207,Open,2023-5-28 4-29-12,
2300208,Open,2023-5-28 4-29-14,
2300209,Open,2023-5-28 4-29-16,
2300210,Open,2023-5-28 4-29-18,
2300211,Open,2023-5-28 4-29-20,
2300212,Open,2023-5-28 4-29-22,
2300213,Open,2023-5-28 4-29-24,
2300214,Open,2023-5-28 4-29-26,
2300215,Open,2023-5-28 4-29-28,
2300216,Open,2023-5-28 4-29-30,
2300217,Open,2023-5-28 4-29-32,
2300218,Open,2023-5-28 4-29-34,
2300219,Open,2023-5-28 4-29-36,
2300220,Open,2023-5-28 4-29-38,
2300221,Open,2023-5-28 4-29-40,
2300222,Open,2023-5-28 4-29-42,
2300223,Open,2023-5-28 4-29-44,
2300224,Open,2023-5-28 4-29-46,
2300225,Open,2023-5-28 4-29-48,
2300226,Open,2023-5-28 4-29-50,
2300227,Open,2023-5-28 4-29-52,
2300228,Open,2023-5-28 4-29-54,
2300229,Open,2023-5-28 4-29-56,
2300230,Open,2023-5-28 4-29-58,
2300231,Open,2023-5-28 4-30-2,
2300232,Open,2023-5-28 4-30-4,
2300233,Open,2023-5-28 4-30-6,
2300234,Open,2023-5-28 4-30-8,
2300235,Open,2023-5-28 4-30-10,
2300236,Open,2023-5-28 4-30-12,
2300237,Open,2023-5-28 4-30-14,
2300238,Open,2023-5-28 4-30-16,
2300239,Open,2023-5-28 4-30-18,
2300240,Open,2023-5-28 4-30-20,
2300241,Open,2023-5-28 4-30-22,
2300242,Open,2023-5-28 4-30-24,
2300243,Open,2023-5-28 4-30-26,
2300244,Open,2023-5-28 4-30-28,
2300245,Open,2023-5-28 4-30-30,
2300246,Open,2023-5-28 4-30-32,
2300247,Open,2023-5-28 4-30-34,
2300248,Open,2023-5-28 4-30-36,
2300249,Open,2023-5-28 4-30-38,
2300250,Open,2023-5-28 4-30-40,
2300251,Open,2023-5-28 4-30-42,
2300252,Open,2023-5-28 4-30-44,
2300253,Open,2023-5-28 4-30-46,
2300254,Open,2023-5-28 4-30-48,
2300255,Open,2023-5-28 4-30-50,
2300256,Open,2023-5-28 4-30-52,
2300257,Open,2023-5-28 4-30-54,
2300258,Open,2023-5-28 4-30-56,
2300259,Open,2023-5-28 4-30-58,
2300260,Open,2023-5-28 4-31-1,
2300261,Open,2023-5-28 4-31-3,
2300262,Open,2023-5-28 4-31-5,
2300263,Open,2023-5-28 4-31-7,
2300264,Open,2023-5-28 4-31-9,
2300265,Open,2023-5-28 4-31-11,
2300266,Open,2023-5-28 4-31-13,
2300267,Open,2023-5-28 4-31-15,
2300268,Open,2023-5-28 4-31-17,
2300269,Open,2023-5-28 4-31-19,
2300270,Open,2023-5-28 4-31-21,
2300271,Open,2023-5-28 4-31-23,
