id,qotRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300037,2300037,3,10009001,G5 Slimming Applicators,2,2800,550,5050,2023-5-28 4-16-36,
2300038,2300038,1,10019000,VCA Laser,2,39200,9400,69000,2023-5-28 4-17-42,
2300038,2300038,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 4-17-42,
2300039,2300039,1,10004000,RF Fractional CO2 Laser,1,81900,3900,78000,2023-5-28 4-18-43,
2300040,2300040,1,10001000,Microneedling RF,1,31465,3465,28000,2023-5-28 4-20-19,
2300040,2300040,2,10001001,Microneedling RF - HandPiece,3,4725,2175,12000,2023-5-28 4-20-19,
2300041,2300041,1,10018004,SVTA Radio Hand Pice 4,1,1820,200,1620,2023-5-28 4-21-16,
2300041,2300041,2,10018005,SVTA Radio Hand Pice 5,1,2240,140,2100,2023-5-28 4-21-16,
2300042,2300042,1,10018007,SVTA Radio Hand Pice 7,2,2520,1040,4000,2023-5-28 4-22-29,
2300042,2300042,2,10018008,SVTA Radio Hand Pice 8,1,1400,350,1050,2023-5-28 4-22-29,
2300043,2300043,1,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 4-23-58,
2300043,2300043,2,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-28 4-23-58,
2300044,2300044,1,10016000,My Ultrasonic,1,9800,1800,8000,2023-5-28 4-25-20,
2300044,2300044,2,10017000,SPA Slim,1,8400,1400,7000,2023-5-28 4-25-20,
2300045,2300045,1,10018005,SVTA Radio Hand Pice 5,2,2240,4800,-320,2023-5-28 4-26-49,
2300045,2300045,2,10018006,SVTA Radio Hand Pice 6,1,2380,0,2380,2023-5-28 4-26-49,
2300045,2300045,3,10018007,SVTA Radio Hand Pice 7,1,2520,0,2520,2023-5-28 4-26-49,
2300045,2300045,4,10018008,SVTA Radio Hand Pice 8,1,1400,0,1400,2023-5-28 4-26-49,
2300045,2300045,5,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 4-26-49,
2300047,2300047,1,10001000,Microneedling RF,2,31465,2465,60465,2023-5-28 2-54-35,
2300047,2300047,2,10001001,Microneedling RF - HandPiece,3,4725,1450,12725,2023-5-28 2-54-35,
2300047,2300047,3,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,1700,13700,2023-5-28 2-54-35,
2300047,2300047,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2400,2023-5-28 2-54-35,
2300048,2300048,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,500,14900,2023-5-28 2-56-52,
2300048,2300048,2,10004002,RF Fractional CO2 Laser - Accessories,3,1400,20,4180,2023-5-28 2-56-52,
2300049,2300049,1,10004000,RF Fractional CO2 Laser,2,81900,2900,160900,2023-5-28 2-58-28,
2300049,2300049,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7400,2023-5-28 2-58-28,
2300050,2300050,1,10008000,DeodLeaser,1,15400,300,15100,2023-5-28 3-0-34,
2300050,2300050,2,10009001,G5 Slimming Applicators,2,2800,255,5345,2023-5-28 3-0-34,
2300050,2300050,3,10014000,Konmision,1,39200,1200,38000,2023-5-28 3-0-34,
2300051,2300051,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 3-2-26,
2300051,2300051,2,10001001,Microneedling RF - HandPiece,2,4725,650,8800,2023-5-28 3-2-26,
2300052,2300052,1,10018004,SVTA Radio Hand Pice 4,3,1820,220,5240,2023-5-28 3-4-40,
2300052,2300052,2,10018005,SVTA Radio Hand Pice 5,3,2240,240,6480,2023-5-28 3-4-40,
2300053,2300053,1,10018007,SVTA Radio Hand Pice 7,1,2520,500,2020,2023-5-28 3-7-55,
2300053,2300053,2,10018008,SVTA Radio Hand Pice 8,3,1400,30,4170,2023-5-28 3-7-55,
2300053,2300053,3,10018000,SVTA Radio,2,25200,3200,47200,2023-5-28 3-7-55,
2300054,2300054,1,10018001,SVTA Radio Hand Pice 1,3,1680,280,4760,2023-5-28 3-14-18,
2300054,2300054,2,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 3-14-18,
2300055,2300055,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,700,14700,2023-5-28 3-16-53,
2300055,2300055,2,10004002,RF Fractional CO2 Laser - Accessories,5,1400,1600,5400,2023-5-28 3-16-53,
2300056,2300056,1,10007000,Crio Lipo,1,36400,4400,32000,2023-5-28 3-19-16,
2300056,2300056,2,10008001,DeodLeaser Hand Piece,3,2100,300,6000,2023-5-28 3-19-16,
2300057,2300057,1,10018000,SVTA Radio,1,25200,500,24700,2023-5-28 3-22-7,
2300057,2300057,2,10018001,SVTA Radio Hand Pice 1,1,1680,180,1500,2023-5-28 3-22-7,
2300057,2300057,3,10018002,SVTA Radio Hand Pice 2,1,2100,200,1900,2023-5-28 3-22-7,
2300057,2300057,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1770,2023-5-28 3-22-7,
2300057,2300057,5,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 3-22-7,
2300058,2300058,1,10008000,DeodLeaser,1,15400,2400,13000,2023-5-28 3-24-49,
2300058,2300058,2,10009001,G5 Slimming Applicators,1,2800,240,2560,2023-5-28 3-24-49,
2300059,2300059,1,10012000,Hydra-new,1,16800,280,16520,2023-5-28 3-27-6,
2300059,2300059,2,10013000,Jumia,1,25200,3200,22000,2023-5-28 3-27-6,
2300060,2300060,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 3-28-36,
2300060,2300060,2,10001001,Microneedling RF - HandPiece,1,4725,2450,2275,2023-5-28 3-28-36,
2300061,2300061,1,10018001,SVTA Radio Hand Pice 1,1,1680,360,1320,2023-5-28 3-31-43,
2300061,2300061,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,3900,2023-5-28 3-31-43,
2300062,2300062,1,10007000,Crio Lipo,1,36400,3400,33000,2023-5-28 3-34-17,
2300062,2300062,2,10008001,DeodLeaser Hand Piece,2,2100,1300,2900,2023-5-28 3-34-17,
2300063,2300063,1,10018003,SVTA Radio Hand Pice 3,1,1960,1880,80,2023-5-28 3-35-36,
2300063,2300063,2,10018004,SVTA Radio Hand Pice 4,2,1820,320,3320,2023-5-28 3-35-36,
2300064,2300064,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 3-37-17,
2300064,2300064,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 3-37-17,
2300065,2300065,1,10018005,SVTA Radio Hand Pice 5,2,2240,240,4240,2023-5-28 3-38-42,
2300065,2300065,2,10018006,SVTA Radio Hand Pice 6,1,2380,1760,620,2023-5-28 3-38-42,
2300066,2300066,1,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-28 3-40-43,
2300067,2300067,1,10006000,Caviation Laser,1,24500,6000,18500,2023-5-28 3-42-10,
2300068,2300068,1,10018000,SVTA Radio,1,25200,4400,20800,2023-5-28 3-45-5,
2300068,2300068,2,10019000,VCA Laser,2,39200,320,78080,2023-5-28 3-45-5,
2300069,2300069,1,10009000,G5 Slimming,1,51800,3800,48000,2023-5-28 3-48-11,
2300069,2300069,2,10009001,G5 Slimming Applicators,2,2800,1400,4200,2023-5-28 3-48-11,
2300069,2300069,3,10010000,Hiemt A,1,85400,4400,81000,2023-5-28 3-48-11,
2300070,2300070,1,10011000,Hydra Fresh,1,74200,14200,60000,2023-5-28 3-50-31,
2300070,2300070,2,10013000,Jumia,1,25200,5200,20000,2023-5-28 3-50-31,
2300070,2300070,3,10016000,My Ultrasonic,1,9800,1600,8200,2023-5-28 3-50-31,
2300071,2300071,1,10008001,DeodLeaser Hand Piece,3,2100,300,6000,2023-5-28 3-57-53,
2300071,2300071,2,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 3-57-53,
2300072,2300072,1,10013000,Jumia,1,25200,2200,23000,2023-5-28 3-59-12,
2300072,2300072,2,10014000,Konmision,1,39200,3200,36000,2023-5-28 3-59-12,
2300073,2300073,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,41000,2023-5-28 4-0-22,
2300073,2300073,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,2,6300,3900,8700,2023-5-28 4-0-22,
2300074,2300074,1,10018001,SVTA Radio Hand Pice 1,4,1680,360,6360,2023-5-28 4-1-44,
2300074,2300074,2,10018002,SVTA Radio Hand Pice 2,3,2100,300,6000,2023-5-28 4-1-44,
2300075,2300075,1,10017000,SPA Slim,1,8400,400,8000,2023-5-28 4-3-31,
2300075,2300075,2,10018001,SVTA Radio Hand Pice 1,3,1680,360,4680,2023-5-28 4-3-31,
2300076,2300076,1,10018003,SVTA Radio Hand Pice 3,2,1960,880,3040,2023-5-28 4-5-2,
2300076,2300076,2,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 4-5-2,
2300077,2300077,1,10015000,Mickcara,1,43400,4400,39000,2023-5-28 4-6-20,
2300077,2300077,2,10016000,My Ultrasonic,1,9800,3600,6200,2023-5-28 4-6-20,
2300078,2300078,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 4-7-27,
2300078,2300078,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 4-7-27,
2300079,2300079,1,10019000,VCA Laser,1,39200,6200,33000,2023-5-28 4-8-58,
2300079,2300079,2,10019001,VCA Leaser Hand Piece,2,40000,7500,72500,2023-5-28 4-8-58,
2300080,2300080,1,10008001,DeodLeaser Hand Piece,4,2100,350,8050,2023-5-28 4-10-39,
2300081,2300081,1,10016000,My Ultrasonic,1,9800,2600,7200,2023-5-28 4-11-47,
2300082,2300082,1,10011000,Hydra Fresh,2,74200,15400,133000,2023-5-28 4-14-33,
2300082,2300082,2,10012000,Hydra-new,1,16800,3800,13000,2023-5-28 4-14-33,
2300082,2300082,3,10013000,Jumia,1,25200,5200,20000,2023-5-28 4-14-33,
2300083,2300083,1,10006000,Caviation Laser,1,24500,3500,21000,2023-5-28 4-16-36,
2300083,2300083,2,10007000,Crio Lipo,1,36400,5400,31000,2023-5-28 4-16-36,
2300083,2300083,3,10009001,G5 Slimming Applicators,4,2800,550,10650,2023-5-28 4-16-36,
2300084,2300084,1,10019000,VCA Laser,2,39200,9400,69000,2023-5-28 4-17-42,
2300084,2300084,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 4-17-42,
2300085,2300085,1,10004000,RF Fractional CO2 Laser,1,81900,3900,78000,2023-5-28 4-18-43,
2300086,2300086,1,10001000,Microneedling RF,1,31465,3465,28000,2023-5-28 4-20-19,
2300086,2300086,2,10001001,Microneedling RF - HandPiece,4,4725,2175,16725,2023-5-28 4-20-19,
2300087,2300087,1,10018004,SVTA Radio Hand Pice 4,2,1820,200,3440,2023-5-28 4-21-16,
2300087,2300087,2,10018005,SVTA Radio Hand Pice 5,2,2240,140,4340,2023-5-28 4-21-16,
2300088,2300088,1,10018007,SVTA Radio Hand Pice 7,2,2520,1040,4000,2023-5-28 4-22-29,
2300088,2300088,2,10018008,SVTA Radio Hand Pice 8,3,1400,350,3850,2023-5-28 4-22-29,
2300089,2300089,1,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 4-23-58,
2300089,2300089,2,10008001,DeodLeaser Hand Piece,2,2100,300,3900,2023-5-28 4-23-58,
2300090,2300090,1,10016000,My Ultrasonic,2,9800,1800,17800,2023-5-28 4-25-20,
2300090,2300090,2,10017000,SPA Slim,1,8400,1400,7000,2023-5-28 4-25-20,
2300091,2300091,1,10018005,SVTA Radio Hand Pice 5,3,2240,4800,1920,2023-5-28 4-26-49,
2300091,2300091,2,10018006,SVTA Radio Hand Pice 6,4,2380,0,9520,2023-5-28 4-26-49,
2300091,2300091,3,10018007,SVTA Radio Hand Pice 7,4,2520,0,10080,2023-5-28 4-26-49,
2300091,2300091,4,10018008,SVTA Radio Hand Pice 8,3,1400,0,4200,2023-5-28 4-26-49,
2300091,2300091,5,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 4-26-49,
2300092,2300092,1,10001000,Microneedling RF,2,31465,2465,60465,2023-5-28 4-25-19,
2300092,2300092,2,10001001,Microneedling RF - HandPiece,3,4725,1450,12725,2023-5-28 4-25-19,
2300092,2300092,3,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,1700,13700,2023-5-28 4-25-19,
2300092,2300092,4,10004002,RF Fractional CO2 Laser - Accessories,1,1400,400,1000,2023-5-28 4-25-19,
2300093,2300093,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,500,14900,2023-5-28 4-25-21,
2300093,2300093,2,10004002,RF Fractional CO2 Laser - Accessories,1,1400,20,1380,2023-5-28 4-25-21,
2300094,2300094,1,10004000,RF Fractional CO2 Laser,1,81900,2900,79000,2023-5-28 4-25-23,
2300094,2300094,2,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,300,15100,2023-5-28 4-25-23,
2300095,2300095,1,10008000,DeodLeaser,2,15400,300,30500,2023-5-28 4-25-25,
2300095,2300095,2,10009001,G5 Slimming Applicators,2,2800,255,5345,2023-5-28 4-25-25,
2300095,2300095,3,10014000,Konmision,1,39200,1200,38000,2023-5-28 4-25-25,
2300096,2300096,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 4-25-27,
2300096,2300096,2,10001001,Microneedling RF - HandPiece,2,4725,650,8800,2023-5-28 4-25-27,
2300097,2300097,1,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 4-25-29,
2300097,2300097,2,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-28 4-25-29,
2300098,2300098,1,10018007,SVTA Radio Hand Pice 7,1,2520,500,2020,2023-5-28 4-25-31,
2300098,2300098,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1370,2023-5-28 4-25-31,
2300098,2300098,3,10018000,SVTA Radio,2,25200,3200,47200,2023-5-28 4-25-31,
2300099,2300099,1,10018001,SVTA Radio Hand Pice 1,1,1680,280,1400,2023-5-28 4-25-33,
2300099,2300099,2,10018000,SVTA Radio,2,25200,3200,47200,2023-5-28 4-25-33,
2300100,2300100,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7000,2023-5-28 4-25-35,
2300100,2300100,2,10004002,RF Fractional CO2 Laser - Accessories,1,1400,1600,-200,2023-5-28 4-25-35,
2300101,2300101,1,10007000,Crio Lipo,1,36400,4400,32000,2023-5-28 4-25-37,
2300101,2300101,2,10008001,DeodLeaser Hand Piece,2,2100,300,3900,2023-5-28 4-25-37,
2300102,2300102,1,10018000,SVTA Radio,1,25200,500,24700,2023-5-28 4-25-39,
2300102,2300102,2,10018001,SVTA Radio Hand Pice 1,2,1680,180,3180,2023-5-28 4-25-39,
2300102,2300102,3,10018002,SVTA Radio Hand Pice 2,2,2100,200,4000,2023-5-28 4-25-39,
2300102,2300102,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1770,2023-5-28 4-25-39,
2300102,2300102,5,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 4-25-39,
2300103,2300103,1,10008000,DeodLeaser,1,15400,2400,13000,2023-5-28 4-25-41,
2300103,2300103,2,10009001,G5 Slimming Applicators,2,2800,240,5360,2023-5-28 4-25-41,
2300104,2300104,1,10012000,Hydra-new,1,16800,280,16520,2023-5-28 4-25-43,
2300104,2300104,2,10013000,Jumia,1,25200,3200,22000,2023-5-28 4-25-43,
2300105,2300105,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 4-25-45,
2300105,2300105,2,10001001,Microneedling RF - HandPiece,1,4725,2450,2275,2023-5-28 4-25-45,
2300106,2300106,1,10018001,SVTA Radio Hand Pice 1,1,1680,360,1320,2023-5-28 4-25-47,
2300106,2300106,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,3900,2023-5-28 4-25-47,
2300107,2300107,1,10007000,Crio Lipo,1,36400,3400,33000,2023-5-28 4-25-49,
2300107,2300107,2,10008001,DeodLeaser Hand Piece,2,2100,1300,2900,2023-5-28 4-25-49,
2300108,2300108,1,10018003,SVTA Radio Hand Pice 3,1,1960,1880,80,2023-5-28 4-25-51,
2300108,2300108,2,10018004,SVTA Radio Hand Pice 4,2,1820,320,3320,2023-5-28 4-25-51,
2300109,2300109,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 4-25-53,
2300109,2300109,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 4-25-53,
2300110,2300110,1,10018005,SVTA Radio Hand Pice 5,3,2240,240,6480,2023-5-28 4-25-55,
2300110,2300110,2,10018006,SVTA Radio Hand Pice 6,1,2380,1760,620,2023-5-28 4-25-55,
2300111,2300111,1,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-28 4-25-57,
2300112,2300112,1,10006000,Caviation Laser,1,24500,6000,18500,2023-5-28 4-25-59,
2300113,2300113,1,10018000,SVTA Radio,1,25200,4400,20800,2023-5-28 4-26-1,
2300113,2300113,2,10019000,VCA Laser,2,39200,320,78080,2023-5-28 4-26-1,
2300114,2300114,1,10009000,G5 Slimming,1,51800,3800,48000,2023-5-28 4-26-3,
2300114,2300114,2,10009001,G5 Slimming Applicators,2,2800,1400,4200,2023-5-28 4-26-3,
2300114,2300114,3,10010000,Hiemt A,1,85400,4400,81000,2023-5-28 4-26-3,
2300115,2300115,1,10011000,Hydra Fresh,1,74200,14200,60000,2023-5-28 4-26-5,
2300115,2300115,2,10013000,Jumia,1,25200,5200,20000,2023-5-28 4-26-5,
2300115,2300115,3,10016000,My Ultrasonic,1,9800,1600,8200,2023-5-28 4-26-5,
2300116,2300116,1,10008001,DeodLeaser Hand Piece,3,2100,300,6000,2023-5-28 4-26-7,
2300116,2300116,2,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 4-26-7,
2300117,2300117,1,10013000,Jumia,1,25200,2200,23000,2023-5-28 4-26-9,
2300117,2300117,2,10014000,Konmision,1,39200,3200,36000,2023-5-28 4-26-9,
2300118,2300118,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,41000,2023-5-28 4-26-11,
2300118,2300118,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,2,6300,3900,8700,2023-5-28 4-26-11,
2300119,2300119,1,10018001,SVTA Radio Hand Pice 1,3,1680,360,4680,2023-5-28 4-26-13,
2300119,2300119,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,3900,2023-5-28 4-26-13,
2300120,2300120,1,10017000,SPA Slim,1,8400,400,8000,2023-5-28 4-26-15,
2300120,2300120,2,10018001,SVTA Radio Hand Pice 1,3,1680,360,4680,2023-5-28 4-26-15,
2300121,2300121,1,10018003,SVTA Radio Hand Pice 3,2,1960,880,3040,2023-5-28 4-26-17,
2300121,2300121,2,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 4-26-17,
2300122,2300122,1,10015000,Mickcara,1,43400,4400,39000,2023-5-28 4-26-19,
2300122,2300122,2,10016000,My Ultrasonic,1,9800,3600,6200,2023-5-28 4-26-19,
2300123,2300123,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 4-26-21,
2300123,2300123,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 4-26-21,
2300124,2300124,1,10019000,VCA Laser,1,39200,6200,33000,2023-5-28 4-26-23,
2300124,2300124,2,10019001,VCA Leaser Hand Piece,2,40000,7500,72500,2023-5-28 4-26-23,
2300125,2300125,1,10008001,DeodLeaser Hand Piece,3,2100,350,5950,2023-5-28 4-26-25,
2300126,2300126,1,10016000,My Ultrasonic,1,9800,2600,7200,2023-5-28 4-26-27,
