id,soRef,sno,itmCod,desc,qty,price,disc,tot,traDate,action
2300009,2300009,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7400,2023-5-28 15-12-37, 
2300010,2300010,1,10018003,SVTA Radio Hand Pice 3,3,1960,1880,4000,2023-5-28 15-12-42, 
2300010,2300010,2,10018004,SVTA Radio Hand Pice 4,1,1820,320,1500,2023-5-28 15-12-42, 
2300011,2300011,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 15-12-48, 
2300011,2300011,2,10001001,Microneedling RF - HandPiece,1,4725,650,4075,2023-5-28 15-12-48, 
2300012,2300012,1,10007000,Crio Lipo,1,36400,3400,33000,2023-5-28 15-12-57, 
2300012,2300012,2,10008001,DeodLeaser Hand Piece,3,2100,1300,5000,2023-5-28 15-12-57, 
2300013,2300013,1,10018004,SVTA Radio Hand Pice 4,1,1820,220,1600,2023-5-28 15-13-2, 
2300013,2300013,2,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-28 15-13-2, 
2300014,2300014,1,10006000,Caviation Laser,2,24500,6000,43000,2023-5-28 15-13-8, 
2300015,2300015,1,10007000,Crio Lipo,1,36400,4400,32000,2023-5-28 15-13-13, 
2300015,2300015,2,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-28 15-13-13, 
2300016,2300016,1,10018000,SVTA Radio,1,25200,500,24700,2023-5-28 15-13-18, 
2300016,2300016,2,10018001,SVTA Radio Hand Pice 1,1,1680,180,1500,2023-5-28 15-13-18, 
2300016,2300016,3,10018002,SVTA Radio Hand Pice 2,1,2100,200,1900,2023-5-28 15-13-18, 
2300016,2300016,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1770,2023-5-28 15-13-18, 
2300016,2300016,5,10018004,SVTA Radio Hand Pice 4,1,1820,220,1600,2023-5-28 15-13-18, 
2300017,2300017,1,10011000,Hydra Fresh,1,74200,14200,60000,2023-5-28 15-13-24, 
2300017,2300017,2,10013000,Jumia,1,25200,5200,20000,2023-5-28 15-13-24, 
2300017,2300017,3,10016000,My Ultrasonic,2,9800,1600,18000,2023-5-28 15-13-24, 
2300018,2300018,1,10012000,Hydra-new,1,16800,280,16520,2023-5-28 15-13-29, 
2300018,2300018,2,10013000,Jumia,1,25200,3200,22000,2023-5-28 15-13-29, 
2300019,2300019,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,41000,2023-5-28 15-13-35, 
2300019,2300019,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,3,6300,3900,15000,2023-5-28 15-13-35, 
2300020,2300020,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 15-13-40, 
2300020,2300020,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-13-40, 
2300021,2300021,1,10018003,SVTA Radio Hand Pice 3,3,1960,880,5000,2023-5-28 15-13-46, 
2300021,2300021,2,10018004,SVTA Radio Hand Pice 4,1,1820,220,1600,2023-5-28 15-13-46, 
2300022,2300022,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 15-13-52, 
2300022,2300022,2,10001001,Microneedling RF - HandPiece,2,4725,2450,7000,2023-5-28 15-13-52, 
2300023,2300023,1,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-28 15-14-0, 
2300023,2300023,2,10018006,SVTA Radio Hand Pice 6,2,2380,1760,3000,2023-5-28 15-14-0, 
2300024,2300024,1,10016000,My Ultrasonic,2,9800,2600,17000,2023-5-28 15-14-11, 
2300025,2300025,1,10018000,SVTA Radio,2,25200,4400,46000,2023-5-28 15-14-16, 
2300025,2300025,2,10019000,VCA Laser,1,39200,320,38880,2023-5-28 15-14-16, 
2300026,2300026,1,10018001,SVTA Radio Hand Pice 1,2,1680,360,3000,2023-5-28 15-14-23, 
2300026,2300026,2,10018002,SVTA Radio Hand Pice 2,1,2100,300,1800,2023-5-28 15-14-23, 
2300027,2300027,1,10018001,SVTA Radio Hand Pice 1,1,1680,280,1400,2023-5-28 15-14-31, 
2300027,2300027,2,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 15-14-31, 
2300028,2300028,1,10019000,VCA Laser,2,39200,9400,69000,2023-5-28 15-14-39, 
2300028,2300028,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-14-39, 
2300029,2300029,1,10004000,RF Fractional CO2 Laser,1,81900,3900,78000,2023-5-28 15-14-48, 
2300030,2300030,1,10009000,G5 Slimming,1,51800,3800,48000,2023-5-28 15-14-54, 
2300030,2300030,2,10009001,G5 Slimming Applicators,3,2800,1400,7000,2023-5-28 15-14-54, 
2300030,2300030,3,10010000,Hiemt A,1,85400,4400,81000,2023-5-28 15-14-54, 
2300031,2300031,1,10008001,DeodLeaser Hand Piece,2,2100,350,3850,2023-5-28 15-15-7, 
2300032,2300032,1,10008001,DeodLeaser Hand Piece,2,2100,300,3900,2023-5-28 15-15-13, 
2300032,2300032,2,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 15-15-13, 
2300033,2300033,1,10008001,DeodLeaser Hand Piece,2,2100,300,3900,2023-5-28 15-15-21, 
2300034,2300034,1,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 15-15-26, 
2300034,2300034,2,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-28 15-15-26, 
2300035,2300035,1,10015000,Mickcara,1,43400,4400,39000,2023-5-28 15-15-32, 
2300035,2300035,2,10016000,My Ultrasonic,2,9800,3600,16000,2023-5-28 15-15-32, 
2300036,2300036,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,500,14900,2023-5-28 15-15-39, 
2300036,2300036,2,10004002,RF Fractional CO2 Laser - Accessories,3,1400,20,4180,2023-5-28 15-15-39, 
2300037,2300037,1,10019000,VCA Laser,1,39200,6200,33000,2023-5-28 15-15-43, 
2300037,2300037,2,10019001,VCA Leaser Hand Piece,2,40000,7500,72500,2023-5-28 15-15-43, 
2300038,2300038,1,10004000,RF Fractional CO2 Laser,2,81900,2900,160900,2023-5-28 15-15-50, 
2300038,2300038,2,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,300,7400,2023-5-28 15-15-50, 
2300039,2300039,1,10013000,Jumia,1,25200,2200,23000,2023-5-28 15-15-55, 
2300039,2300039,2,10014000,Konmision,1,39200,3200,36000,2023-5-28 15-15-55, 
2300040,2300040,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 15-16-2, 
2300040,2300040,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-16-2, 
2300041,2300041,1,10018004,SVTA Radio Hand Pice 4,3,1820,220,5240,2023-5-28 15-16-10, 
2300041,2300041,2,10018005,SVTA Radio Hand Pice 5,3,2240,240,6480,2023-5-28 15-16-10, 
2300042,2300042,1,10018001,SVTA Radio Hand Pice 1,3,1680,280,4760,2023-5-28 15-16-16, 
2300042,2300042,2,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 15-16-16, 
2300043,2300043,1,10011000,Hydra Fresh,2,74200,15400,133000,2023-5-28 15-16-21, 
2300043,2300043,2,10012000,Hydra-new,1,16800,3800,13000,2023-5-28 15-16-21, 
2300043,2300043,3,10013000,Jumia,1,25200,5200,20000,2023-5-28 15-16-21, 
2300044,2300044,1,10018004,SVTA Radio Hand Pice 4,1,1820,200,1620,2023-5-28 15-16-27, 
2300044,2300044,2,10018005,SVTA Radio Hand Pice 5,1,2240,140,2100,2023-5-28 15-16-27, 
2300045,2300045,1,10006000,Caviation Laser,1,24500,3500,21000,2023-5-28 15-16-32, 
2300045,2300045,2,10007000,Crio Lipo,1,36400,5400,31000,2023-5-28 15-16-32, 
2300045,2300045,3,10009001,G5 Slimming Applicators,2,2800,550,5050,2023-5-28 15-16-32, 
2300046,2300046,1,10008000,DeodLeaser,1,15400,2400,13000,2023-5-28 15-16-37, 
2300046,2300046,2,10009001,G5 Slimming Applicators,1,2800,240,2560,2023-5-28 15-16-37, 
2300047,2300047,1,10001000,Microneedling RF,1,31465,3465,28000,2023-5-28 15-16-42, 
2300047,2300047,2,10001001,Microneedling RF - HandPiece,3,4725,2175,12000,2023-5-28 15-16-42, 
2300048,2300048,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 15-17-12, 
2300048,2300048,2,10001001,Microneedling RF - HandPiece,1,4725,2450,2275,2023-5-28 15-17-12, 
2300049,2300049,1,10012000,Hydra-new,1,16800,280,16520,2023-5-28 15-17-17, 
2300049,2300049,2,10013000,Jumia,1,25200,3200,22000,2023-5-28 15-17-17, 
2300050,2300050,1,10018001,SVTA Radio Hand Pice 1,1,1680,360,1320,2023-5-28 15-17-21, 
2300050,2300050,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,3900,2023-5-28 15-17-21, 
2300051,2300051,1,10007000,Crio Lipo,1,36400,3400,33000,2023-5-28 15-17-26, 
2300051,2300051,2,10008001,DeodLeaser Hand Piece,2,2100,1300,2900,2023-5-28 15-17-26, 
2300052,2300052,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 15-17-32, 
2300052,2300052,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-17-32, 
2300053,2300053,1,10018005,SVTA Radio Hand Pice 5,2,2240,4800,-320,2023-5-28 15-17-36, 
2300053,2300053,2,10018006,SVTA Radio Hand Pice 6,1,2380,0,2380,2023-5-28 15-17-36, 
2300053,2300053,3,10018007,SVTA Radio Hand Pice 7,1,2520,0,2520,2023-5-28 15-17-36, 
2300053,2300053,4,10018008,SVTA Radio Hand Pice 8,1,1400,0,1400,2023-5-28 15-17-36, 
2300053,2300053,5,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 15-17-36, 
2300054,2300054,1,10018007,SVTA Radio Hand Pice 7,2,2520,1040,4000,2023-5-28 15-17-41, 
2300054,2300054,2,10018008,SVTA Radio Hand Pice 8,1,1400,350,1050,2023-5-28 15-17-41, 
2300055,2300055,1,10008000,DeodLeaser,1,15400,300,15100,2023-5-28 15-17-46, 
2300055,2300055,2,10009001,G5 Slimming Applicators,2,2800,255,5345,2023-5-28 15-17-46, 
2300055,2300055,3,10014000,Konmision,1,39200,1200,38000,2023-5-28 15-17-46, 
2300056,2300056,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 15-17-52, 
2300056,2300056,2,10001001,Microneedling RF - HandPiece,2,4725,650,8800,2023-5-28 15-17-52, 
2300057,2300057,1,10016000,My Ultrasonic,1,9800,1800,8000,2023-5-28 15-17-57, 
2300057,2300057,2,10017000,SPA Slim,1,8400,1400,7000,2023-5-28 15-17-57, 
2300058,2300058,1,10011000,Hydra Fresh,1,74200,14200,60000,2023-5-28 15-18-1, 
2300058,2300058,2,10013000,Jumia,1,25200,5200,20000,2023-5-28 15-18-1, 
2300058,2300058,3,10016000,My Ultrasonic,1,9800,1600,8200,2023-5-28 15-18-1, 
2300059,2300059,1,10008001,DeodLeaser Hand Piece,3,2100,300,6000,2023-5-28 15-18-6, 
2300059,2300059,2,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 15-18-6, 
2300060,2300060,1,10018007,SVTA Radio Hand Pice 7,1,2520,500,2020,2023-5-28 15-18-10, 
2300060,2300060,2,10018008,SVTA Radio Hand Pice 8,3,1400,30,4170,2023-5-28 15-18-10, 
2300060,2300060,3,10018000,SVTA Radio,2,25200,3200,47200,2023-5-28 15-18-10, 
2300061,2300061,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,700,14700,2023-5-28 15-18-15, 
2300061,2300061,2,10004002,RF Fractional CO2 Laser - Accessories,5,1400,1600,5400,2023-5-28 15-18-15, 
2300062,2300062,1,10003000,Portable Diode Laser Hair Removal Equipment,1,47180,6180,41000,2023-5-28 15-18-20, 
2300062,2300062,2,10003001,Portable Diode Laser Hair Removal Equipment - Hand Piece,2,6300,3900,8700,2023-5-28 15-18-20, 
2300063,2300063,1,10018000,SVTA Radio,1,25200,500,24700,2023-5-28 15-18-26, 
2300063,2300063,2,10018001,SVTA Radio Hand Pice 1,1,1680,180,1500,2023-5-28 15-18-26, 
2300063,2300063,3,10018002,SVTA Radio Hand Pice 2,1,2100,200,1900,2023-5-28 15-18-26, 
2300063,2300063,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1770,2023-5-28 15-18-26, 
2300063,2300063,5,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 15-18-26, 
2300064,2300064,1,10017000,SPA Slim,1,8400,400,8000,2023-5-28 15-18-30, 
2300064,2300064,2,10018001,SVTA Radio Hand Pice 1,3,1680,360,4680,2023-5-28 15-18-30, 
2300065,2300065,1,10007000,Crio Lipo,1,36400,4400,32000,2023-5-28 15-18-35, 
2300065,2300065,2,10008001,DeodLeaser Hand Piece,3,2100,300,6000,2023-5-28 15-18-35, 
2300066,2300066,1,10001000,Microneedling RF,2,31465,2465,60465,2023-5-28 15-18-40, 
2300066,2300066,2,10001001,Microneedling RF - HandPiece,3,4725,1450,12725,2023-5-28 15-18-40, 
2300066,2300066,3,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,1700,13700,2023-5-28 15-18-40, 
2300066,2300066,4,10004002,RF Fractional CO2 Laser - Accessories,2,1400,400,2400,2023-5-28 15-18-40, 
2300067,2300067,1,10018003,SVTA Radio Hand Pice 3,1,1960,1880,80,2023-5-28 15-18-45, 
2300067,2300067,2,10018004,SVTA Radio Hand Pice 4,2,1820,320,3320,2023-5-28 15-18-45, 
2300068,2300068,1,10019000,VCA Laser,1,39200,6200,33000,2023-5-28 15-18-50, 
2300068,2300068,2,10019001,VCA Leaser Hand Piece,2,40000,7500,72500,2023-5-28 15-18-50, 
2300069,2300069,1,10016000,My Ultrasonic,1,9800,2600,7200,2023-5-28 15-18-55, 
2300070,2300070,1,10018005,SVTA Radio Hand Pice 5,2,2240,240,4240,2023-5-28 15-19-0, 
2300070,2300070,2,10018006,SVTA Radio Hand Pice 6,1,2380,1760,620,2023-5-28 15-19-0, 
2300071,2300071,1,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-28 15-19-6, 
2300072,2300072,1,10019000,VCA Laser,2,39200,9400,69000,2023-5-28 15-19-15, 
2300072,2300072,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-19-15, 
2300073,2300073,1,10013000,Jumia,1,25200,2200,23000,2023-5-28 15-19-21, 
2300073,2300073,2,10014000,Konmision,1,39200,3200,36000,2023-5-28 15-19-21, 
2300074,2300074,1,10018000,SVTA Radio,1,25200,4400,20800,2023-5-28 15-19-34, 
2300074,2300074,2,10019000,VCA Laser,2,39200,320,78080,2023-5-28 15-19-34, 
2300075,2300075,1,10018004,SVTA Radio Hand Pice 4,2,1820,200,3440,2023-5-28 15-19-39, 
2300075,2300075,2,10018005,SVTA Radio Hand Pice 5,2,2240,140,4340,2023-5-28 15-19-39, 
2300076,2300076,1,10006000,Caviation Laser,1,24500,6000,18500,2023-5-28 15-19-47, 
2300077,2300077,1,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 15-19-54, 
2300077,2300077,2,10008001,DeodLeaser Hand Piece,2,2100,300,3900,2023-5-28 15-19-54, 
2300078,2300078,1,10016000,My Ultrasonic,2,9800,1800,17800,2023-5-28 15-19-58, 
2300078,2300078,2,10017000,SPA Slim,1,8400,1400,7000,2023-5-28 15-19-58, 
2300079,2300079,1,10018005,SVTA Radio Hand Pice 5,3,2240,4800,1920,2023-5-28 15-20-3, 
2300079,2300079,2,10018006,SVTA Radio Hand Pice 6,4,2380,0,9520,2023-5-28 15-20-3, 
2300079,2300079,3,10018007,SVTA Radio Hand Pice 7,4,2520,0,10080,2023-5-28 15-20-3, 
2300079,2300079,4,10018008,SVTA Radio Hand Pice 8,3,1400,0,4200,2023-5-28 15-20-3, 
2300079,2300079,5,10018000,SVTA Radio,1,25200,3200,22000,2023-5-28 15-20-3, 
2300080,2300080,1,10001000,Microneedling RF,2,31465,2465,60465,2023-5-28 15-20-7, 
2300080,2300080,2,10001001,Microneedling RF - HandPiece,3,4725,1450,12725,2023-5-28 15-20-7, 
2300080,2300080,3,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,1700,13700,2023-5-28 15-20-7, 
2300080,2300080,4,10004002,RF Fractional CO2 Laser - Accessories,1,1400,400,1000,2023-5-28 15-20-7, 
2300081,2300081,1,10018001,SVTA Radio Hand Pice 1,4,1680,360,6360,2023-5-28 15-20-12, 
2300081,2300081,2,10018002,SVTA Radio Hand Pice 2,3,2100,300,6000,2023-5-28 15-20-12, 
2300082,2300082,1,10009000,G5 Slimming,1,51800,3800,48000,2023-5-28 15-20-17, 
2300082,2300082,2,10009001,G5 Slimming Applicators,2,2800,1400,4200,2023-5-28 15-20-17, 
2300082,2300082,3,10010000,Hiemt A,1,85400,4400,81000,2023-5-28 15-20-17, 
2300083,2300083,1,10018003,SVTA Radio Hand Pice 3,2,1960,880,3040,2023-5-28 15-20-23, 
2300083,2300083,2,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 15-20-23, 
2300084,2300084,1,10015000,Mickcara,1,43400,4400,39000,2023-5-28 15-20-28, 
2300084,2300084,2,10016000,My Ultrasonic,1,9800,3600,6200,2023-5-28 15-20-28, 
2300085,2300085,1,10008001,DeodLeaser Hand Piece,4,2100,350,8050,2023-5-28 15-20-33, 
2300086,2300086,1,10011000,Hydra Fresh,2,74200,15400,133000,2023-5-28 15-20-37, 
2300086,2300086,2,10012000,Hydra-new,1,16800,3800,13000,2023-5-28 15-20-37, 
2300086,2300086,3,10013000,Jumia,1,25200,5200,20000,2023-5-28 15-20-37, 
2300087,2300087,1,10006000,Caviation Laser,1,24500,3500,21000,2023-5-28 15-20-42, 
2300087,2300087,2,10007000,Crio Lipo,1,36400,5400,31000,2023-5-28 15-20-42, 
2300087,2300087,3,10009001,G5 Slimming Applicators,4,2800,550,10650,2023-5-28 15-20-42, 
2300088,2300088,1,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,500,14900,2023-5-28 15-20-45, 
2300088,2300088,2,10004002,RF Fractional CO2 Laser - Accessories,1,1400,20,1380,2023-5-28 15-20-45, 
2300089,2300089,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 15-20-50, 
2300089,2300089,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-20-50, 
2300090,2300090,1,10004000,RF Fractional CO2 Laser,1,81900,3900,78000,2023-5-28 15-20-54, 
2300091,2300091,1,10018007,SVTA Radio Hand Pice 7,2,2520,1040,4000,2023-5-28 15-20-58, 
2300091,2300091,2,10018008,SVTA Radio Hand Pice 8,3,1400,350,3850,2023-5-28 15-20-58, 
2300092,2300092,1,10008000,DeodLeaser,2,15400,300,30500,2023-5-28 15-21-3, 
2300092,2300092,2,10009001,G5 Slimming Applicators,2,2800,255,5345,2023-5-28 15-21-3, 
2300092,2300092,3,10014000,Konmision,1,39200,1200,38000,2023-5-28 15-21-3, 
2300093,2300093,1,10001000,Microneedling RF,1,31465,3465,28000,2023-5-28 15-21-8, 
2300093,2300093,2,10001001,Microneedling RF - HandPiece,4,4725,2175,16725,2023-5-28 15-21-8, 
2300094,2300094,1,10018001,SVTA Radio Hand Pice 1,1,1680,360,1320,2023-5-28 15-21-13, 
2300094,2300094,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,3900,2023-5-28 15-21-13, 
2300095,2300095,1,10007000,Crio Lipo,1,36400,3400,33000,2023-5-28 15-21-19, 
2300095,2300095,2,10008001,DeodLeaser Hand Piece,2,2100,1300,2900,2023-5-28 15-21-19, 
2300096,2300096,1,10018003,SVTA Radio Hand Pice 3,1,1960,1880,80,2023-5-28 15-21-24, 
2300096,2300096,2,10018004,SVTA Radio Hand Pice 4,2,1820,320,3320,2023-5-28 15-21-24, 
2300097,2300097,1,10004000,RF Fractional CO2 Laser,1,81900,2900,79000,2023-5-28 15-21-29, 
2300097,2300097,2,10004001,RF Fractional CO2 Laser - Handpiece,2,7700,300,15100,2023-5-28 15-21-29, 
2300098,2300098,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 15-21-33, 
2300098,2300098,2,10001001,Microneedling RF - HandPiece,2,4725,650,8800,2023-5-28 15-21-33, 
2300099,2300099,1,10018005,SVTA Radio Hand Pice 5,3,2240,240,6480,2023-5-28 15-21-38, 
2300099,2300099,2,10018006,SVTA Radio Hand Pice 6,1,2380,1760,620,2023-5-28 15-21-38, 
2300100,2300100,1,10006000,Caviation Laser,1,24500,6000,18500,2023-5-28 15-21-42, 
2300101,2300101,1,10018000,SVTA Radio,1,25200,4400,20800,2023-5-28 15-21-46, 
2300101,2300101,2,10019000,VCA Laser,2,39200,320,78080,2023-5-28 15-21-46, 
2300102,2300102,1,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 15-21-50, 
2300102,2300102,2,10018005,SVTA Radio Hand Pice 5,1,2240,240,2000,2023-5-28 15-21-50, 
2300103,2300103,1,10018001,SVTA Radio Hand Pice 1,1,1680,280,1400,2023-5-28 15-21-54, 
2300103,2300103,2,10018000,SVTA Radio,2,25200,3200,47200,2023-5-28 15-21-54, 
2300104,2300104,1,10018007,SVTA Radio Hand Pice 7,1,2520,500,2020,2023-5-28 15-21-59, 
2300104,2300104,2,10018008,SVTA Radio Hand Pice 8,1,1400,30,1370,2023-5-28 15-21-59, 
2300104,2300104,3,10018000,SVTA Radio,2,25200,3200,47200,2023-5-28 15-21-59, 
2300105,2300105,1,10008001,DeodLeaser Hand Piece,3,2100,300,6000,2023-5-28 15-22-4, 
2300105,2300105,2,10008000,DeodLeaser,1,15400,3400,12000,2023-5-28 15-22-4, 
2300106,2300106,1,10011000,Hydra Fresh,1,74200,14200,60000,2023-5-28 15-22-9, 
2300106,2300106,2,10013000,Jumia,1,25200,5200,20000,2023-5-28 15-22-9, 
2300106,2300106,3,10016000,My Ultrasonic,1,9800,1600,8200,2023-5-28 15-22-9, 
2300107,2300107,1,10019000,VCA Laser,1,39200,3200,36000,2023-5-28 15-22-13, 
2300107,2300107,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-22-13, 
2300108,2300108,1,10018001,SVTA Radio Hand Pice 1,3,1680,360,4680,2023-5-28 15-22-17, 
2300108,2300108,2,10018002,SVTA Radio Hand Pice 2,2,2100,300,3900,2023-5-28 15-22-17, 
2300109,2300109,1,10007000,Crio Lipo,1,36400,4400,32000,2023-5-28 15-22-21, 
2300109,2300109,2,10008001,DeodLeaser Hand Piece,2,2100,300,3900,2023-5-28 15-22-21, 
2300110,2300110,1,10012000,Hydra-new,1,16800,280,16520,2023-5-28 15-22-25, 
2300110,2300110,2,10013000,Jumia,1,25200,3200,22000,2023-5-28 15-22-25, 
2300111,2300111,1,10015000,Mickcara,1,43400,4400,39000,2023-5-28 15-22-28, 
2300111,2300111,2,10016000,My Ultrasonic,1,9800,3600,6200,2023-5-28 15-22-28, 
2300112,2300112,1,10018000,SVTA Radio,1,25200,500,24700,2023-5-28 15-22-35, 
2300112,2300112,2,10018001,SVTA Radio Hand Pice 1,2,1680,180,3180,2023-5-28 15-22-35, 
2300112,2300112,3,10018002,SVTA Radio Hand Pice 2,2,2100,200,4000,2023-5-28 15-22-35, 
2300112,2300112,4,10018003,SVTA Radio Hand Pice 3,1,1960,190,1770,2023-5-28 15-22-35, 
2300112,2300112,5,10018004,SVTA Radio Hand Pice 4,2,1820,220,3420,2023-5-28 15-22-35, 
2300113,2300113,1,10008001,DeodLeaser Hand Piece,3,2100,350,5950,2023-5-28 15-22-39, 
2300114,2300114,1,10001000,Microneedling RF,1,31465,2465,29000,2023-5-28 15-22-44, 
2300114,2300114,2,10001001,Microneedling RF - HandPiece,1,4725,2450,2275,2023-5-28 15-22-44, 
2300115,2300115,1,10004001,RF Fractional CO2 Laser - Handpiece,1,7700,700,7000,2023-5-28 15-22-49, 
2300115,2300115,2,10004002,RF Fractional CO2 Laser - Accessories,1,1400,1600,-200,2023-5-28 15-22-49, 
2300116,2300116,1,10006000,Caviation Laser,1,24500,3500,21000,2023-5-28 15-22-54, 
2300116,2300116,2,10007000,Crio Lipo,1,36400,5400,31000,2023-5-28 15-22-54, 
2300116,2300116,3,10009001,G5 Slimming Applicators,3,2800,550,7850,2023-5-28 15-22-54, 
2300117,2300117,1,10008001,DeodLeaser Hand Piece,1,2100,300,1800,2023-5-28 15-23-1, 
2300118,2300118,1,10004000,RF Fractional CO2 Laser,1,81900,3900,78000,2023-5-28 15-23-5, 
2300119,2300119,1,10019000,VCA Laser,1,39200,9400,29800,2023-5-28 15-23-10, 
2300119,2300119,2,10019001,VCA Leaser Hand Piece,1,40000,4000,36000,2023-5-28 15-23-10, 
2300120,2300120,1,10001000,Microneedling RF,2,31465,3465,59465,2023-5-28 15-23-14, 
2300120,2300120,2,10001001,Microneedling RF - HandPiece,1,4725,2175,2550,2023-5-28 15-23-14, 
2300121,2300121,1,10018004,SVTA Radio Hand Pice 4,3,1820,200,5260,2023-5-28 15-23-19, 
2300121,2300121,2,10018005,SVTA Radio Hand Pice 5,2,2240,140,4340,2023-5-28 15-23-19, 
2300122,2300122,1,10009000,G5 Slimming,1,51800,3800,48000,2023-5-28 15-23-25, 
2300122,2300122,2,10009001,G5 Slimming Applicators,2,2800,1400,4200,2023-5-28 15-23-25, 
2300122,2300122,3,10010000,Hiemt A,1,85400,4400,81000,2023-5-28 15-23-25, 
