soRefSt,opnCloSt,traDate,action
2300129,Open,2023-5-28 15-23-56, 
2300130,Open,2023-5-28 15-24-1, 
2300131,Open,2023-5-28 15-24-5, 
2300132,Open,2023-5-28 15-24-12, 
2300133,Open,2023-5-28 15-24-16, 
2300134,Open,2023-5-28 15-24-21, 
2300135,Open,2023-5-28 15-24-25, 
2300136,Open,2023-5-28 15-24-30, 
2300137,Open,2023-5-28 15-24-36, 
2300138,Open,2023-5-28 15-24-40, 
2300139,Open,2023-5-28 15-24-45, 
2300140,Open,2023-5-28 15-24-50, 
2300141,Open,2023-5-28 15-24-54, 
2300142,Open,2023-5-28 15-25-1, 
2300143,Open,2023-5-28 15-25-6, 
2300144,Open,2023-5-28 15-25-14, 
2300145,Open,2023-5-28 15-25-19, 
2300146,Open,2023-5-28 15-25-25, 
2300147,Open,2023-5-28 15-25-30, 
2300148,Open,2023-5-28 15-25-35, 
2300149,Open,2023-5-28 15-25-47, 
2300150,Open,2023-5-28 15-25-52, 
2300151,Open,2023-5-28 15-25-57, 
2300152,Open,2023-5-28 15-26-2, 
2300153,Open,2023-5-28 15-26-6, 
2300154,Open,2023-5-28 15-26-12, 
2300155,Open,2023-5-28 15-26-16, 
2300156,Open,2023-5-28 15-26-26, 
2300157,Open,2023-5-28 15-26-36, 
2300158,Open,2023-5-28 15-26-40, 
2300159,Open,2023-5-28 15-26-43, 
2300160,Open,2023-5-28 15-26-48, 
2300161,Open,2023-5-28 15-26-53, 
2300162,Open,2023-5-28 15-27-2, 
2300163,Open,2023-5-28 15-27-6, 
2300164,Open,2023-5-28 15-27-10, 
2300165,Open,2023-5-28 15-27-14, 
2300166,Open,2023-5-28 15-27-18, 
2300167,Open,2023-5-28 15-27-22, 
2300168,Open,2023-5-28 15-27-26, 
2300169,Open,2023-5-28 15-27-30, 
2300170,Open,2023-5-28 15-27-34, 
2300171,Open,2023-5-28 15-27-38, 
2300172,Open,2023-5-28 15-27-42, 
2300173,Open,2023-5-28 15-27-48, 
2300174,Open,2023-5-28 15-27-53, 
2300175,Open,2023-5-28 15-28-1, 
2300176,Open,2023-5-28 15-28-6, 
2300177,Open,2023-5-28 15-28-10, 
2300178,Open,2023-5-28 15-28-15, 
2300179,Open,2023-5-28 15-28-19, 
2300180,Open,2023-5-28 15-28-24, 
2300181,Open,2023-5-28 15-28-28, 
2300182,Open,2023-5-28 15-28-32, 
2300183,Open,2023-5-28 15-28-36, 
2300184,Open,2023-5-28 15-28-40, 
2300185,Open,2023-5-28 15-28-45, 
2300186,Open,2023-5-28 15-28-49, 
2300187,Open,2023-5-28 15-28-53, 
2300188,Open,2023-5-28 15-28-58, 
2300189,Open,2023-5-28 15-29-5, 
2300190,Open,2023-5-28 15-29-9, 
2300191,Open,2023-5-28 15-29-13, 
2300192,Open,2023-5-28 15-29-17, 
2300193,Open,2023-5-28 15-29-21, 
2300194,Open,2023-5-28 15-29-25, 
2300195,Open,2023-5-28 15-29-31, 
2300196,Open,2023-5-28 15-29-35, 
2300197,Open,2023-5-28 15-29-39, 
2300198,Open,2023-5-28 15-29-46, 
2300199,Open,2023-5-28 15-29-50, 
2300200,Open,2023-5-28 15-29-54, 
2300201,Open,2023-5-28 15-29-58, 
2300202,Open,2023-5-28 15-30-2, 
2300203,Open,2023-5-28 15-30-5, 
2300204,Open,2023-5-28 15-30-13, 
2300205,Open,2023-5-28 15-30-17, 
2300206,Open,2023-5-28 15-30-22, 
2300207,Open,2023-5-28 15-30-26, 
2300208,Open,2023-5-28 15-30-30, 
2300209,Open,2023-5-28 15-30-35, 
2300210,Open,2023-5-28 15-30-39, 
2300211,Open,2023-5-28 15-30-43, 
2300212,Open,2023-5-28 15-30-47, 
2300213,Open,2023-5-28 15-30-52, 
2300214,Open,2023-5-28 15-30-56, 
2300215,Open,2023-5-28 15-31-0, 
2300216,Open,2023-5-28 15-31-5, 
2300217,Open,2023-5-28 15-31-9, 
2300218,Open,2023-5-28 15-31-15, 
2300219,Open,2023-5-28 15-31-19, 
2300220,Open,2023-5-28 15-31-23, 
2300221,Open,2023-5-28 15-31-27, 
2300222,Open,2023-5-28 15-31-31, 
2300223,Open,2023-5-28 15-32-16, 
2300224,Open,2023-5-28 15-32-22, 
2300225,Open,2023-5-28 15-32-27, 
2300226,Open,2023-5-28 15-32-32, 
2300227,Open,2023-5-28 15-32-37, 
2300228,Open,2023-5-28 15-32-43, 
2300229,Open,2023-5-28 15-32-47, 
2300230,Open,2023-5-28 15-32-52, 
2300231,Open,2023-5-28 15-32-56, 
2300232,Open,2023-5-28 15-33-0, 
2300233,Open,2023-5-28 15-33-4, 
2300234,Open,2023-5-28 15-33-10, 
2300235,Open,2023-5-28 15-33-15, 
2300236,Open,2023-5-28 15-33-18, 
2300237,Open,2023-5-28 15-33-23, 
2300238,Open,2023-5-28 15-33-30, 
2300239,Open,2023-5-28 15-33-37, 
2300240,Open,2023-5-28 15-33-42, 
2300241,Open,2023-5-28 15-33-47, 
2300242,Open,2023-5-28 15-33-51, 
2300243,Open,2023-5-28 15-33-57, 
2300244,Open,2023-5-28 15-34-1, 
2300245,Open,2023-5-28 15-34-5, 
2300246,Open,2023-5-28 15-34-9, 
2300247,Open,2023-5-28 15-34-12, 
2300248,Open,2023-5-28 15-34-17, 
2300249,Open,2023-5-28 15-34-22, 
2300250,Open,2023-5-28 15-34-28, 
2300251,Open,2023-5-28 15-34-33, 
2300252,Open,2023-5-28 15-34-38, 
2300253,Open,2023-5-28 15-34-43, 
2300254,Open,2023-5-28 15-34-46, 
2300255,Open,2023-5-28 15-34-52, 
2300256,Open,2023-5-28 15-34-58, 
2300257,Open,2023-5-28 15-35-5, 
2300258,Open,2023-5-28 15-35-9, 
2300259,Open,2023-5-28 15-35-13, 
