id,qotRef,qotDat,cusCode,cusName,qotTBD,qotTAD,qotTax,qotTAT,shipTo,qotComm,spCode,spName,opnClo,traDate,action,
2300011,2300011,1/27/2023,22310210,Al Burg Clinic,32780,22500,1125,23625,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,VCA Leaser Hand Piece & SVTA Radio Hand Pice to Al Burg Clinic,345,Pune Pratap Panjiyar,Open,2023-5-22 23-39-42,,
2300012,2300012,1/30/2023,22310029,Al Jameya Pharmacy,139475,111000,5550,116550,Union Cooperative Society  Ghusais,Microneedling RF and Portable Diode Laser Hair Removal Equipment to Al Jameya Pharmacy,415,Tampos Antonio Magalona,Open,2023-5-22 23-41-16,,
2300013,2300013,2/1/2023,22310097,Sahar Pharmacy,389200,317000,15850,332850,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,"Microneedling RF, Bruun Mci,  Caviation Laser, Crio Lipo to Sahar Pharmacy",417,Jaime  Endaya,Open,2023-5-22 23-45-34,,
2300016,2300016,5/11/2023,22310029,Al Jameya Pharmacy,400295,340200,17010,357210,Union Cooperative Society  Ghusais,"Microneedling RF,  RF Fractional CO2 Laser, Portable Diode Laser Hair Removal Equipment with hand piece to Al Jameya Pharmacy",329,Sanjay Kumar Mandal,Open,2023-4-22 23-15-29,,
2300017,2300017,5/20/2023,22310055,Al Noor Pharmacy,298410,260000,13000,273000,Mina Road Sharjah Industrial Area 6,"Microneedling RF, Caviation Laser and Crio Lipo to Al Noor Pharmacy",345,Pune Pratap Panjiyar,Open,2023-4-22 23-17-59,,
2300018,2300018,5/20/2023,22310093,Women's Medical Center (Dr. Ameena),79100,68000,3400,71400,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SVTA Radio and All Hand Pieces Women's Medical Center (Dr. Ameena),365,Allen Joseph Anora,Open,2023-4-22 23-20-26,,
2300019,2300019,5/22/2023,22310097,Sahar Pharmacy,203800,166000,8300,174300,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,"VCA Laser, Mickcara, My Ultrasonic and SPA Slim to Sahar Pharmacy.",366,Franco Viola Parota,Open,2023-4-22 23-22-45,,
2300020,2300020,2/1/2023,22310029,Al Jameya Pharmacy,184800,143000,7150,150150,Union Cooperative Society  Ghusais,"Bruun Mci, Caviation Laser, Crio Lipo and other Products to Al Jameya Pharmacy",366,Franco Viola Parota,Open,2023-4-22 23-26-39,,
2300021,2300021,2/10/2023,22310131,Ali Bin Ali Medical,258300,225000,11250,236250,Doha Qatar,"RF Fractional CO2 Laser, Bruun Mci, Crio Lipo to Ali Bin Ali Medical",415,Tampos Antonio Magalona,Open,2023-4-22 23-29-22,,
2300022,2300022,2/15/2023,22310133,Al Samnan Clinic,163100,148080,7404,155484,Al Wasit Street Samnan Sharjah United Arab Emirates,"Microneedling RF,  Microneedling RF - HandPiece, Diode Laser Hair Removal Device to Al Samnan Clinic",345,Pune Pratap Panjiyar,Open,2023-4-22 23-33-18,,
2300023,2300023,2/18/2023,22310055,Al Noor Pharmacy,111300,88000,4400,92400,Mina Road Sharjah Industrial Area 6,"Bruun Mci, Caviation Laser to Al Noor Pharmacy",329,Sanjay Kumar Mandal,Open,2023-4-22 23-34-38,,
2300024,2300024,2/22/2023,22310029,Al Jameya Pharmacy,75600,61000,3050,64050,Union Cooperative Society  Ghusais,"Crio Lipo, DeodLeaser Hand Piece, DeodLeaser to Al Jameya Pharmacy",370,Ariel Abapo Naciogoyo,Open,2023-4-22 23-36-7,,
2300025,2300025,2/25/2023,22310207,Delta Pharmacy,39480,31000,1550,32550,Sharjah United Arab Emirates,"DeodLeaser Hand Piece, SPA Slim to Delta Pharmacy",329,Sanjay Kumar Mandal,Open,2023-4-22 23-38-3,,
2300026,2300026,2/26/2023,22310210,Al Burg Clinic,32780,22500,1125,23625,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,VCA Leaser Hand Piece & SVTA Radio Hand Pice to Al Burg Clinic,345,Pune Pratap Panjiyar,Open,2023-4-22 23-39-42,,
2300027,2300027,3/1/2023,22310029,Al Jameya Pharmacy,139475,111000,5550,116550,Union Cooperative Society  Ghusais,Microneedling RF and Portable Diode Laser Hair Removal Equipment to Al Jameya Pharmacy,415,Tampos Antonio Magalona,Open,2023-4-22 23-41-16,,
2300028,2300028,3/3/2023,22310097,Sahar Pharmacy,389200,317000,15850,332850,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,"Microneedling RF, Bruun Mci,  Caviation Laser, Crio Lipo to Sahar Pharmacy",417,Jaime  Endaya,Open,2023-4-22 23-45-34,,
